Year Arable Meat Dairy Wool Pasture Wood_Index Farm_Index
1770 64.0 57.6 50.6 29.3 51.3 89.1 58.2
1771 75.9 60.2 50.8 32.5 53.6 85.4 65.0
1772 82.3 63.4 56.2 30.5 57.4 91.8 70.1
1773 86.1 63.8 56.6 31.9 58.7 101.4 72.7
1774 86.1 61.8 56.6 34.6 57.0 96.0 71.7
1775 83.1 61.9 55.0 36.1 57.1 101.6 70.4
1776 70.1 61.8 56.0 35.4 58.6 102.1 65.0
1777 73.6 61.6 57.9 33.6 58.3 100.2 66.6
1778 69.8 62.5 60.7 29.7 57.1 103.4 64.1
1779 60.4 62.8 60.8 26.9 55.8 96.7 58.6
1780 60.9 61.6 58.7 29.4 56.2 82.1 58.9
1781 70.2 60.5 56.2 27.1 54.8 83.8 62.9
1782 74.8 59.0 55.8 24.3 53.1 89.0 64.3
1783 88.1 61.0 56.9 28.3 56.2 86.2 71.9
1784 88.1 63.1 57.4 32.6 59.2 86.5 73.6
1785 76.2 66.6 57.0 30.2 60.5 84.1 68.7
1786 77.5 63.3 59.3 31.7 59.6 83.8 68.9
1787 75.4 67.4 59.2 40.5 62.1 80.3 69.0
1788 76.0 68.9 58.8 40.6 63.3 86.5 70.0
1789 80.5 67.0 57.4 40.6 62.7 81.9 71.9
1790 82.5 67.8 59.3 42.7 63.1 85.0 73.1
1791 80.9 69.6 60.7 41.9 63.4 87.8 72.5
1792 79.6 70.2 60.6 53.2 67.6 81.6 73.8
1793 88.8 71.5 63.0 41.5 67.0 84.1 78.1
1794 95.9 71.4 63.3 42.8 67.4 86.3 81.6
1795 109.6 75.4 64.5 47.0 70.9 88.7 89.7
1796 119.5 86.2 69.1 48.8 79.1 89.5 98.7
1797 92.4 96.6 79.0 47.4 84.7 97.1 88.7
1798 86.7 90.9 79.8 45.3 79.1 105.6 83.3
1799 110.5 88.3 80.4 58.2 83.1 113.9 97.1
1800 171.4 102.9 87.9 57.4 94.4 107.4 130.1
1801 191.8 123.0 93.5 63.7 106.8 107.7 145.9
1802 107.4 122.8 91.7 66.2 105.4 104.0 106.0
1803 100.5 115.2 91.6 65.8 103.1 117.9 101.6
1804 99.2 110.6 95.5 72.7 102.6 120.4 100.6
1805 137.7 109.5 99.0 80.7 103.4 123.0 120.6
1806 123.3 109.8 99.1 75.0 101.9 128.2 113.0
1807 131.5 107.8 103.6 66.9 101.1 133.9 116.7
1808 131.0 114.2 108.7 61.6 105.5 144.5 118.9
1809 143.0 121.2 109.8 81.9 113.9 144.2 128.9
1810 156.7 122.8 114.3 78.8 117.0 153.3 137.1
1811 148.4 124.0 121.8 58.6 116.6 142.5 132.8
1812 188.9 128.5 124.4 66.5 118.3 150.6 152.4
1813 174.2 146.1 120.7 75.3 125.7 158.8 150.0
1814 125.4 151.5 123.5 94.1 133.5 161.1 129.0
1815 106.7 126.8 124.0 97.3 122.5 153.5 113.7
1816 118.6 101.9 108.8 65.0 99.1 136.4 109.4
1817 152.5 99.5 102.9 76.3 98.4 132.4 124.9
1818 153.0 103.8 117.1 101.5 110.7 142.0 132.0
1819 132.5 123.3 118.3 73.3 116.7 128.5 124.7
1820 106.5 118.7 110.7 70.9 107.7 127.3 107.0
1821 91.9 101.7 105.9 59.7 93.9 125.1 93.0
1822 81.6 79.0 97.0 55.2 80.5 123.8 81.4
1823 96.1 77.3 95.0 57.4 81.5 130.7 89.5
1824 113.1 89.4 101.3 61.4 92.4 127.3 103.3
1825 124.5 101.2 112.5 71.9 102.2 125.5 113.7
1826 109.3 103.5 109.6 43.8 94.9 128.0 102.6
1827 107.5 100.9 106.2 42.9 94.0 117.8 101.1
1828 104.5 99.5 105.5 46.8 92.0 120.4 98.7
1829 103.1 94.8 99.8 37.4 83.8 121.2 94.1
1830 114.4 83.4 96.7 45.1 79.9 117.4 97.4
1831 108.8 87.9 102.0 54.2 85.9 116.9 97.8
1832 98.4 89.0 98.8 57.4 88.0 120.5 93.7
1833 89.1 84.7 97.1 62.3 84.6 119.7 87.2
1834 85.6 81.4 90.0 82.3 86.2 136.5 86.3
1835 84.4 73.6 90.7 78.7 81.5 123.4 83.4
1836 91.3 82.3 99.3 86.0 89.1 119.1 90.5
1837 99.5 85.5 101.4 66.5 88.3 127.3 94.5
1838 104.1 89.8 99.7 71.7 92.5 123.7 98.8
1839 118.9 86.6 100.7 76.5 91.0 130.5 105.5
1840 111.2 88.1 102.1 66.6 89.0 127.7 100.7
1841 108.8 94.4 101.7 54.3 90.6 122.7 100.2
1842 95.2 84.7 97.6 49.7 82.5 119.0 89.4
1843 92.3 70.5 92.1 49.3 73.7 119.7 83.7
1844 94.1 72.7 89.7 59.3 76.4 121.2 85.9
1845 95.0 73.2 92.4 67.1 80.3 119.7 88.3
1846 96.6 86.5 96.8 59.8 85.3 112.0 91.3
1847 125.2 96.2 97.8 55.9 88.5 101.4 106.6
1848 87.6 93.2 91.6 51.3 84.6 94.7 86.1
1849 88.2 80.6 89.1 47.5 76.6 97.7 82.7
