Year,OLD1,OLD2,GDP
1,182741034742,183,182.74
1000,210144734815,210,210.14
1500,430527281153,431,430.52
1600,574468657288,574,574.46
1700,643322924320,643,643.32
1820,1202360833070,1202,1202.36
1870,1923917324845,1924,1923.91
1900,3418753774526,3419,3418.75
1913,4738675759006,4739,4738.67
1940,7806368561993,7806,7806.36
1950,9251063284512,9251,9251.06
1951,9795630620603,9796,9795.63
1952,10248695160030,10249,10248.69
1953,10764850470285,10765,10764.85
1954,11132816333836,11133,11132.81
1955,11842436437898,11842,11842.43
1956,12399315121993,12399,12399.31
1957,12871201566888,12871,12871.2
1958,13284511884217,13285,13284.51
1959,13893343261790,13893,13893.34
1960,14620430825834,14620,14620.43
1961,15127545002955,15128,15127.54
1962,15840374754695,15840,15840.37
1963,16528823694955,16529,16528.82
1964,17727426671105,17727,17727.42
1965,18655619723574,18656,18655.61
1966,19672778021487,19673,19672.77
1967,20404807077048,20405,20404.8
1968,21527596152531,21528,21527.59
1969,22715480785233,22715,22715.48
1970,23866740464570,23867,23866.74
1971,24855936938791,24856,24855.93
1972,26038225943803,26038,26038.22
1973,27766317544847,27766,27766.31
1974,28412736979320,28413,28412.73
1975,28846052528336,28846,28846.05
1976,30253175726899,30253,30253.17
1977,31479913873331,31480,31479.91
1978,32864033374977,32864,32864.03
1979,34039054922029,34039,34039.05
1980,34727063368723,34727,34727.06
1981,35407765287205,35408,35407.76
1982,35799147251980,35799,35799.14
1983,36817346837589,36817,36817.34
1984,38496721899136,38497,38496.72
1985,39823610828513,39824,39823.61
1986,41231971101066,41232,41231.97
1987,42812896221875,42813,42812.89
1988,44649649324231,44650,44649.64
1989,46076842304123,46077,46076.84
1990,47043800000000,47044,47043.8
1991,47650900000000,47651,47650.9
1992,48485100000000,48485,48485.1
1993,49415500000000,49416,49415.5
1994,50886600000000,50887,50886.6
1995,52576600000000,52577,52576.6
1996,54605200000000,54605,54605.2
1997,56772100000000,56772,56772.1
1998,58159500000000,58160,58159.5
1999,60247500000000,60248,60247.5
2000,63100900000000,63102,63101.9
2001,64639200000000,64639,64639.2
2002,66420900000000,66421,66420.9
2003,68894900000000,68895,68894.9
2004,72618200000000,72618,72618.2
2005,76089200000000,76089,76089.2
2006,80202600000000,80203,80202.6
2007,84576500000000,84577,84576.5
2008,87020700000000,87021,87020.7
2009,86750100000000,86750,86750.1
2010,91329700000000,91330,91329.7
2011,94982400000000,94982,94982.4
2012,98032300000000,98032,98032.3
2013,101270000000000,101270,101270
2014,104720000000000,104720,104720
2015,108120000000000,108120,108120
