Year,OLD1,OLD2,GDP_OLD,GDP
1000,2.10145E+11,210,210.14,0.21
1500,4.30527E+11,431,430.52,0.43
1600,5.74469E+11,574,574.46,0.57
1700,6.43323E+11,643,643.32,0.64
1820,1.20236E+12,1202,1202.36,1.20
1870,1.92392E+12,1924,1923.91,1.92
1900,3.41875E+12,3419,3418.75,3.42
1913,4.73868E+12,4739,4738.67,4.74
1940,7.80637E+12,7806,7806.36,7.81
1950,9.25106E+12,9251,9251.06,9.25
1951,9.79563E+12,9796,9795.63,9.80
1952,1.02487E+13,10249,10248.69,10.25
1953,1.07649E+13,10765,10764.85,10.76
1954,1.11328E+13,11133,11132.81,11.13
1955,1.18424E+13,11842,11842.43,11.84
1956,1.23993E+13,12399,12399.31,12.40
1957,1.28712E+13,12871,12871.2,12.87
1958,1.32845E+13,13285,13284.51,13.28
1959,1.38933E+13,13893,13893.34,13.89
1960,1.46204E+13,14620,14620.43,14.62
1961,1.51275E+13,15128,15127.54,15.13
1962,1.58404E+13,15840,15840.37,15.84
1963,1.65288E+13,16529,16528.82,16.53
1964,1.77274E+13,17727,17727.42,17.73
1965,1.86556E+13,18656,18655.61,18.66
1966,1.96728E+13,19673,19672.77,19.67
1967,2.04048E+13,20405,20404.8,20.40
1968,2.15276E+13,21528,21527.59,21.53
1969,2.27155E+13,22715,22715.48,22.72
1970,2.38667E+13,23867,23866.74,23.87
1971,2.48559E+13,24856,24855.93,24.86
1972,2.60382E+13,26038,26038.22,26.04
1973,2.77663E+13,27766,27766.31,27.77
1974,2.84127E+13,28413,28412.73,28.41
1975,2.88461E+13,28846,28846.05,28.85
1976,3.02532E+13,30253,30253.17,30.25
1977,3.14799E+13,31480,31479.91,31.48
1978,3.2864E+13,32864,32864.03,32.86
1979,3.40391E+13,34039,34039.05,34.04
1980,3.47271E+13,34727,34727.06,34.73
1981,3.54078E+13,35408,35407.76,35.41
1982,3.57991E+13,35799,35799.14,35.80
1983,3.68173E+13,36817,36817.34,36.82
1984,3.84967E+13,38497,38496.72,38.50
1985,3.98236E+13,39824,39823.61,39.82
1986,4.1232E+13,41232,41231.97,41.23
1987,4.28129E+13,42813,42812.89,42.81
1988,4.46496E+13,44650,44649.64,44.65
1989,4.60768E+13,46077,46076.84,46.08
1990,4.70438E+13,47044,47043.8,47.04
1991,4.76509E+13,47651,47650.9,47.65
1992,4.84851E+13,48485,48485.1,48.49
1993,4.94155E+13,49416,49415.5,49.42
1994,5.08866E+13,50887,50886.6,50.89
1995,5.25766E+13,52577,52576.6,52.58
1996,5.46052E+13,54605,54605.2,54.61
1997,5.67721E+13,56772,56772.1,56.77
1998,5.81595E+13,58160,58159.5,58.16
1999,6.02475E+13,60248,60247.5,60.25
2000,6.31009E+13,63102,63101.9,63.10
2001,6.46392E+13,64639,64639.2,64.64
2002,6.64209E+13,66421,66420.9,66.42
2003,6.88949E+13,68895,68894.9,68.89
2004,7.26182E+13,72618,72618.2,72.62
2005,7.60892E+13,76089,76089.2,76.09
2006,8.02026E+13,80203,80202.6,80.20
2007,8.45765E+13,84577,84576.5,84.58
2008,8.70207E+13,87021,87020.7,87.02
2009,8.67501E+13,86750,86750.1,86.75
2010,9.13297E+13,91330,91329.7,91.33
2011,9.49824E+13,94982,94982.4,94.98
2012,9.80323E+13,98032,98032.3,98.03
2013,1.0127E+14,101270,101270,101.27
2014,1.0472E+14,104720,104720,104.72
2015,1.0812E+14,108120,108120,108.12
