WEO code,ISO3,WEO Subject Code,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,p21,GrowthLatest
512,AFG,NGDPRPPPPC,Afghanistan,,,1442.769,1506.218,1459.345,1576.698,1611.291,1758.615,1781.227,2093.415,2207.108,2278.485,2513.139,2569.343,2555.967,2506.346,2492.647,2515.553,2392.418,2439.677,2328.757,,,,2019.0,0,
914,ALB,NGDPRPPPPC,Albania,6038.985,6601.478,6921.684,7331.739,7768.469,8239.854,8781.447,9377.463,10158.433,10570.167,11016.55,11327.398,11506.954,11643.566,11874.74,12173.622,12597.301,13039.696,13570.554,13862.63,13394.458,14559.682,15138.76,15522.487,2021.0,0,0.025347320388195527
612,DZA,NGDPRPPPPC,Algeria,8716.752,8848.312,9206.994,9724.101,9991.511,10423.527,10441.479,10632.029,10652.344,10618.398,10785.246,10874.65,11011.073,11082.337,11263.186,11431.788,11545.393,11458.695,11362.794,11252.835,10574.954,10756.482,10897.173,11018.37,2019.0,0,0.01112187537079572
171,AND,NGDPRPPPPC,Andorra,,,,,,,,,,,60467.086,60911.089,57892.718,55672.916,56578.793,56460.538,57455.308,56352.197,56208.168,56330.948,49728.236,53143.211,56644.686,56284.453,2021.0,0,-0.006359519761483013
614,AGO,NGDPRPPPPC,Angola,4704.042,4743.472,5214.845,5190.531,5560.617,6172.758,6642.628,7302.588,7825.396,7606.389,7683.606,7657.088,8004.574,8093.129,8176.552,7960.448,7481.876,7210.026,6872.837,6596.752,6024.653,5900.638,5863.093,5890.969,2017.0,0,0.004754487094098662
311,ATG,NGDPRPPPPC,Antigua and Barbuda,18413.063,17280.973,17283.486,18158.988,19016.09,20042.067,22351.826,24170.775,23896.361,20795.887,18939.337,18363.32,18714.416,18332.513,18747.152,19171.551,19917.683,20231.285,21297.867,22000.223,17299.228,17946.514,18822.626,19587.428,2011.0,0,0.0406320563347537
213,ARG,NGDPRPPPPC,Argentina,18669.294,17667.361,15591.767,16829.225,18158.055,19577.843,20947.873,22610.957,23297.922,21706.683,23521.27,24647.629,24118.867,24424.136,23550.099,23933.887,23189.527,23597.118,22747.242,22071.748,19680.299,21511.59,22415.299,22237.762,2010.0,0,-0.007920349400648204
911,ARM,NGDPRPPPPC,Armenia,3968.862,4373.031,5037.008,5763.714,6388.343,7338.391,8334.602,9512.249,10207.267,8792.453,8996.936,9414.576,10079.399,10388.322,10744.185,11074.408,11087.768,11974.031,12644.049,13637.865,12667.555,13384.879,15070.693,15898.32,2020.0,0,0.05491632003916479
314,ABW,NGDPRPPPPC,Aruba,36636.954,37813.882,37198.234,37185.647,39054.937,37910.693,37655.071,38530.061,38939.16,34159.064,33137.608,33940.915,33020.155,34779.682,34405.799,35264.562,35736.798,37690.148,39609.103,39757.361,32552.072,37998.945,40012.084,40482.89,2021.0,0,0.0117665953115563
193,AUS,NGDPRPPPPC,Australia,39442.185,39976.881,41176.545,41945.367,43193.304,43906.754,44365.32,45450.146,45608.295,45667.999,46123.518,46661.967,47563.094,47839.539,48353.125,48747.23,49235.172,49643.812,50251.872,50473.316,49341.842,51647.873,53113.792,53321.48,2021.0,0,0.0039102461371992026
