Year,Country,Value
1960,ARG,1
1961,ARG,1.037409028
1962,ARG,1.011947556
1963,ARG,0.942817438
1964,ARG,1.021851481
1965,ARG,1.112171402
1966,ARG,1.087600362
1967,ARG,1.104863203
1968,ARG,1.140308939
1969,ARG,1.231553417
1970,ARG,1.249327192
1971,ARG,1.299276858
1972,ARG,1.299543046
1973,ARG,1.314307067
1974,ARG,1.363648253
1975,ARG,1.340827212
1976,ARG,1.293042778
1977,ARG,1.36078274
1978,ARG,1.278768337
1979,ARG,1.387112215
1980,ARG,1.386036888
1981,ARG,1.293496926
1982,ARG,1.263938575
1983,ARG,1.298508939
1984,ARG,1.298786557
1985,ARG,1.212896591
1986,ARG,1.268218187
1987,ARG,1.282988997
1988,ARG,1.250011152
1989,ARG,1.143411308
1990,ARG,1.099076794
1991,ARG,1.182496719
1992,ARG,1.258768622
1993,ARG,1.343704002
1994,ARG,1.403097342
1995,ARG,1.345333497
1996,ARG,1.401904331
1997,ARG,1.497560764
1998,ARG,1.537311233
1999,ARG,1.468253488
2000,ARG,1.440254078
2001,ARG,1.361705544
2002,ARG,1.200398581
2003,ARG,1.293060104
2004,ARG,1.39557594
2005,ARG,1.503488808
2006,ARG,1.607755482
2007,ARG,1.735028791
2008,ARG,1.78759644
2009,ARG,1.664825117
2010,ARG,1.828715436
2011,ARG,1.916286824
2012,ARG,1.875177021
2013,ARG,1.898910858
2014,ARG,1.830956805
2015,ARG,1.860795254
2016,ARG,1.802923332
2017,ARG,1.834612381
2018,ARG,1.768536803
2019,ARG,1.716018997
2020,ARG,1.530472541
2021,ARG,1.673681548
1960,AUS,1
1961,AUS,1.004636705
1962,AUS,0.993106493
1963,AUS,1.034801933
1964,AUS,1.085519616
1965,AUS,1.128112583
1966,AUS,1.128879926
1967,AUS,1.185002372
1968,AUS,1.223589207
1969,AUS,1.282668739
1970,AUS,1.347892614
1971,AUS,1.355227166
1972,AUS,1.382571705
1973,AUS,1.397260772
1974,AUS,1.418287698
1975,AUS,1.419653802
1976,AUS,1.441875579
1977,AUS,1.476973841
1978,AUS,1.472936883
1979,AUS,1.516118555
1980,AUS,1.543215651
1981,AUS,1.570038012
1982,AUS,1.594356388
1983,AUS,1.537701151
1984,AUS,1.589115378
1985,AUS,1.650854658
1986,AUS,1.691684001
1987,AUS,1.70878683
1988,AUS,1.777840141
1989,AUS,1.815739078
