Year,GDP
1,182741034742
1000,210144734815
1500,430527281153
1600,574468657288
1700,643322924320
1820,1202360833070
1870,1923917324845
1900,3418753774526
1913,4738675759006
1940,7806368561993
1950,9251063284512
1951,9795630620603
1952,10248695160030
1953,10764850470285
1954,11132816333836
1955,11842436437898
1956,12399315121993
1957,12871201566888
1958,13284511884217
1959,13893343261790
1960,14620430825834
1961,15127545002955
1962,15840374754695
1963,16528823694955
1964,17727426671105
1965,18655619723574
1966,19672778021487
1967,20404807077048
1968,21527596152531
1969,22715480785233
1970,23866740464570
1971,24855936938791
1972,26038225943803
1973,27766317544847
1974,28412736979320
1975,28846052528336
1976,30253175726899
1977,31479913873331
1978,32864033374977
1979,34039054922029
1980,34727063368723
1981,35407765287205
1982,35799147251980
1983,36817346837589
1984,38496721899136
1985,39823610828513
1986,41231971101066
1987,42812896221875
1988,44649649324231
1989,46076842304123
1990,47043800000000
1991,47650900000000
1992,48485100000000
1993,49415500000000
1994,50886600000000
1995,52576600000000
1996,54605200000000
1997,56772100000000
1998,58159500000000
1999,60247500000000
2000,63100900000000
2001,64639200000000
2002,66420900000000
2003,68894900000000
2004,72618200000000
2005,76089200000000
2006,80202600000000
2007,84576500000000
2008,87020700000000
2009,86750100000000
2010,91329700000000
2011,94982400000000
2012,98032300000000
2013,101270000000000
2014,104720000000000
2015,108120000000000
