Date,Country,Gender,Value,Temp,Timestamp
1971-02-01,UK,Male,92.1,25965.00,34214400
1971-03-01,UK,Male,91.9,25993.00,36633600
1971-04-01,UK,Male,91.8,26024.00,39312000
1971-05-01,UK,Male,91.7,26054.00,41904000
1971-06-01,UK,Male,91.6,26085.00,44582400
1971-07-01,UK,Male,91.4,26115.00,47174400
1971-08-01,UK,Male,91.2,26146.00,49852800
1971-09-01,UK,Male,91,26177.00,52531200
1971-10-01,UK,Male,90.8,26207.00,55123200
1971-11-01,UK,Male,90.8,26238.00,57801600
1971-12-01,UK,Male,90.8,26268.00,60393600
1972-01-01,UK,Male,90.9,26299.00,63072000
1972-02-01,UK,Male,91,26330.00,65750400
1972-03-01,UK,Male,91.1,26359.00,68256000
1972-04-01,UK,Male,91.1,26390.00,70934400
1972-05-01,UK,Male,91.1,26420.00,73526400
1972-06-01,UK,Male,91,26451.00,76204800
1972-07-01,UK,Male,91,26481.00,78796800
1972-08-01,UK,Male,91,26512.00,81475200
1972-09-01,UK,Male,91.1,26543.00,84153600
1972-10-01,UK,Male,91.2,26573.00,86745600
1972-11-01,UK,Male,91.2,26604.00,89424000
1972-12-01,UK,Male,91.4,26634.00,92016000
1973-01-01,UK,Male,91.6,26665.00,94694400
1973-02-01,UK,Male,91.8,26696.00,97372800
1973-03-01,UK,Male,91.9,26724.00,99792000
1973-04-01,UK,Male,91.9,26755.00,102470400
1973-05-01,UK,Male,91.9,26785.00,105062400
1973-06-01,UK,Male,91.7,26816.00,107740800
1973-07-01,UK,Male,91.6,26846.00,110332800
1973-08-01,UK,Male,91.6,26877.00,113011200
1973-09-01,UK,Male,91.5,26908.00,115689600
1973-10-01,UK,Male,91.5,26938.00,118281600
1973-11-01,UK,Male,91.4,26969.00,120960000
1973-12-01,UK,Male,91.3,26999.00,123552000
1974-01-01,UK,Male,91.2,27030.00,126230400
1974-02-01,UK,Male,91.1,27061.00,128908800
1974-03-01,UK,Male,91,27089.00,131328000
1974-04-01,UK,Male,90.9,27120.00,134006400
1974-05-01,UK,Male,90.9,27150.00,136598400
1974-06-01,UK,Male,90.9,27181.00,139276800
1974-07-01,UK,Male,91,27211.00,141868800
1974-08-01,UK,Male,90.9,27242.00,144547200
1974-09-01,UK,Male,90.9,27273.00,147225600
1974-10-01,UK,Male,90.8,27303.00,149817600
1974-11-01,UK,Male,90.8,27334.00,152496000
1974-12-01,UK,Male,90.6,27364.00,155088000
1975-01-01,UK,Male,90.5,27395.00,157766400
1975-02-01,UK,Male,90.4,27426.00,160444800
1975-03-01,UK,Male,90.2,27454.00,162864000
1975-04-01,UK,Male,90.1,27485.00,165542400
1975-05-01,UK,Male,90.1,27515.00,168134400
1975-06-01,UK,Male,90,27546.00,170812800
1975-07-01,UK,Male,89.9,27576.00,173404800
1975-08-01,UK,Male,89.8,27607.00,176083200
1975-09-01,UK,Male,89.7,27638.00,178761600
1975-10-01,UK,Male,89.6,27668.00,181353600
1975-11-01,UK,Male,89.5,27699.00,184032000
1975-12-01,UK,Male,89.3,27729.00,186624000
1976-01-01,UK,Male,89.2,27760.00,189302400
1976-02-01,UK,Male,89.1,27791.00,191980800
1976-03-01,UK,Male,89,27820.00,194486400
1976-04-01,UK,Male,88.9,27851.00,197164800
1976-05-01,UK,Male,88.8,27881.00,199756800
1976-06-01,UK,Male,88.8,27912.00,202435200
1976-07-01,UK,Male,88.7,27942.00,205027200
1976-08-01,UK,Male,88.6,27973.00,207705600
1976-09-01,UK,Male,88.6,28004.00,210384000
1976-10-01,UK,Male,88.5,28034.00,212976000
1976-11-01,UK,Male,88.5,28065.00,215654400
1976-12-01,UK,Male,88.5,28095.00,218246400
1977-01-01,UK,Male,88.4,28126.00,220924800
1977-02-01,UK,Male,88.3,28157.00,223603200
1977-03-01,UK,Male,88.3,28185.00,226022400
1977-04-01,UK,Male,88.2,28216.00,228700800
1977-05-01,UK,Male,88.1,28246.00,231292800
1977-06-01,UK,Male,88,28277.00,233971200
1977-07-01,UK,Male,88,28307.00,236563200
1977-08-01,UK,Male,87.9,28338.00,239241600
1977-09-01,UK,Male,87.8,28369.00,241920000
1977-10-01,UK,Male,87.8,28399.00,244512000
1977-11-01,UK,Male,87.7,28430.00,247190400
1977-12-01,UK,Male,87.7,28460.00,249782400
1978-01-01,UK,Male,87.7,28491.00,252460800
1978-02-01,UK,Male,87.6,28522.00,255139200
1978-03-01,UK,Male,87.5,28550.00,257558400
1978-04-01,UK,Male,87.5,28581.00,260236800
1978-05-01,UK,Male,87.4,28611.00,262828800
1978-06-01,UK,Male,87.4,28642.00,265507200
1978-07-01,UK,Male,87.3,28672.00,268099200
1978-08-01,UK,Male,87.3,28703.00,270777600
1978-09-01,UK,Male,87.3,28734.00,273456000
1978-10-01,UK,Male,87.4,28764.00,276048000
1978-11-01,UK,Male,87.4,28795.00,278726400
1978-12-01,UK,Male,87.4,28825.00,281318400
1979-01-01,UK,Male,87.4,28856.00,283996800
1979-02-01,UK,Male,87.3,28887.00,286675200
1979-03-01,UK,Male,87.3,28915.00,289094400
1979-04-01,UK,Male,87.2,28946.00,291772800
1979-05-01,UK,Male,87.2,28976.00,294364800
1979-06-01,UK,Male,87.1,29007.00,297043200
1979-07-01,UK,Male,87.1,29037.00,299635200
1979-08-01,UK,Male,87,29068.00,302313600
1979-09-01,UK,Male,86.9,29099.00,304992000
1979-10-01,UK,Male,86.9,29129.00,307584000
1979-11-01,UK,Male,86.7,29160.00,310262400
1979-12-01,UK,Male,86.6,29190.00,312854400
1980-01-01,UK,Male,86.4,29221.00,315532800
1980-02-01,UK,Male,86.3,29252.00,318211200
1980-03-01,UK,Male,86.1,29281.00,320716800
1980-04-01,UK,Male,86,29312.00,323395200
1980-05-01,UK,Male,85.7,29342.00,325987200
1980-06-01,UK,Male,85.5,29373.00,328665600
1980-07-01,UK,Male,85.2,29403.00,331257600
1980-08-01,UK,Male,84.9,29434.00,333936000
1980-09-01,UK,Male,84.5,29465.00,336614400
1980-10-01,UK,Male,84.1,29495.00,339206400
1980-11-01,UK,Male,83.7,29526.00,341884800
1980-12-01,UK,Male,83.4,29556.00,344476800
1981-01-01,UK,Male,83,29587.00,347155200
1981-02-01,UK,Male,82.7,29618.00,349833600
1981-03-01,UK,Male,82.4,29646.00,352252800
1981-04-01,UK,Male,82.1,29677.00,354931200
1981-05-01,UK,Male,81.8,29707.00,357523200
1981-06-01,UK,Male,81.5,29738.00,360201600
1981-07-01,UK,Male,81.3,29768.00,362793600
1981-08-01,UK,Male,81.1,29799.00,365472000
1981-09-01,UK,Male,80.8,29830.00,368150400
1981-10-01,UK,Male,80.6,29860.00,370742400
1981-11-01,UK,Male,80.4,29891.00,373420800
1981-12-01,UK,Male,80.2,29921.00,376012800
1982-01-01,UK,Male,80,29952.00,378691200
1982-02-01,UK,Male,79.9,29983.00,381369600
1982-03-01,UK,Male,79.8,30011.00,383788800
1982-04-01,UK,Male,79.7,30042.00,386467200
1982-05-01,UK,Male,79.5,30072.00,389059200
1982-06-01,UK,Male,79.3,30103.00,391737600
1982-07-01,UK,Male,79.1,30133.00,394329600
1982-08-01,UK,Male,78.9,30164.00,397008000
1982-09-01,UK,Male,78.7,30195.00,399686400
1982-10-01,UK,Male,78.5,30225.00,402278400
1982-11-01,UK,Male,78.2,30256.00,404956800
1982-12-01,UK,Male,78.1,30286.00,407548800
1983-01-01,UK,Male,77.9,30317.00,410227200
1983-02-01,UK,Male,77.8,30348.00,412905600
1983-03-01,UK,Male,77.6,30376.00,415324800
1983-04-01,UK,Male,77.5,30407.00,418003200
1983-05-01,UK,Male,77.4,30437.00,420595200
1983-06-01,UK,Male,77.4,30468.00,423273600
1983-07-01,UK,Male,77.5,30498.00,425865600
1983-08-01,UK,Male,77.6,30529.00,428544000
1983-09-01,UK,Male,77.7,30560.00,431222400
1983-10-01,UK,Male,77.8,30590.00,433814400
1983-11-01,UK,Male,77.8,30621.00,436492800
1983-12-01,UK,Male,77.9,30651.00,439084800
1984-01-01,UK,Male,77.9,30682.00,441763200
1984-02-01,UK,Male,78,30713.00,444441600
1984-03-01,UK,Male,78,30742.00,446947200
1984-04-01,UK,Male,78.1,30773.00,449625600
1984-05-01,UK,Male,78.1,30803.00,452217600
1984-06-01,UK,Male,78.1,30834.00,454896000
1984-07-01,UK,Male,78.1,30864.00,457488000
1984-08-01,UK,Male,78.2,30895.00,460166400
1984-09-01,UK,Male,78.2,30926.00,462844800
1984-10-01,UK,Male,78.3,30956.00,465436800
1984-11-01,UK,Male,78.3,30987.00,468115200
1984-12-01,UK,Male,78.3,31017.00,470707200
1985-01-01,UK,Male,78.3,31048.00,473385600
1985-02-01,UK,Male,78.4,31079.00,476064000
1985-03-01,UK,Male,78.4,31107.00,478483200
1985-04-01,UK,Male,78.4,31138.00,481161600
1985-05-01,UK,Male,78.3,31168.00,483753600
1985-06-01,UK,Male,78.3,31199.00,486432000
1985-07-01,UK,Male,78.3,31229.00,489024000
1985-08-01,UK,Male,78.2,31260.00,491702400
1985-09-01,UK,Male,78.2,31291.00,494380800
1985-10-01,UK,Male,78.2,31321.00,496972800
1985-11-01,UK,Male,78.1,31352.00,499651200
1985-12-01,UK,Male,78.1,31382.00,502243200
1986-01-01,UK,Male,78,31413.00,504921600
