Year,Value,Percent of total working time,Workers Involved,Notes,Source
1947,25720000,Not available,1629000,"Annual work stoppages involving 1,000 or more workers, 1947 - Present",https://www.bls.gov/wsp/
1948,26127000,0.22%,1435000,"[1] Number of workers involved includes only those workers who participated in work stoppages in the calendar year. Workers are counted more than once if they are involved in more than one stoppage during the reference period. Numbers are rounded to the nearest thousand. Starting 1981 the numbers are rounded to the nearest hundred.",
1949,43420000,0.38%,2537000,"[2] Days idle includes all stoppages in effect during the reference period. For work stoppages that are still ongoing at the end of the calendar year, only those days of idleness in the calendar year are counted. ",
1950,30390000,0.26%,1698000,[3] Percent of estimated working time is calculated using employment estimates from the Current Employment Statistics program and the number of workdays in the month and number of days idle from the Work Stoppages program.,
1951,15070000,0.12%,1462000,,
1952,48820000,0.38%,2746000,,
1953,18130000,0.14%,1623000,,
1954,16630000,0.13%,1075000,,
1955,21180000,0.16%,2055000,,
1956,26840000,0.2%,1370000,,
1957,10340000,0.07%,887000,,
1958,17900000,0.13%,1587000,,
1959,60850000,0.43%,1381000,,
1960,13260000,0.09%,896000,,
1961,10140000,0.07%,1031000,,
1962,11760000,0.08%,793000,,
1963,10020000,0.07%,512000,,
1964,16220000,0.11%,1183000,,
1965,15140000,0.1%,999000,,
1966,16000000,0.1%,1300000,,
1967,31320000,0.18%,2192000,,
1968,35367000,0.2%,1855000,,
1969,29397000,0.16%,1576000,,
1970,52761000,0.29%,2468000,,
1971,35538000,0.19%,2516000,,
1972,16764000,0.09%,975000,,
1973,16260000,0.08%,1400000,,
1974,31809000,0.16%,1796000,,
1975,17563000,0.09%,965000,,
1976,23962000,0.12%,1519000,,
1977,21258000,0.1%,1212000,,
1978,23774000,0.11%,1006000,,
1979,20409000,0.09%,1021000,,
1980,20844000,0.09%,795000,,
1981,16908400,0.07%,728900,,
1982,9061200,0.04%,655800,,
1983,17460700,0.08%,909400,,
1984,8498800,0.04%,376000,,
1985,7079100,0.03%,323900,,
1986,11860500,0.05%,533100,,
1987,4481400,0.02%,174400,,
1988,4381400,0.02%,118300,,
1989,16996300,0.07%,452100,,
1990,5926100,0.02%,184900,,
1991,4583600,0.02%,392000,,
1992,3989000,0.01%,363800,,
1993,3981200,0.01%,181900,,
1994,5020500,0.02%,322200,,
1995,5771200,0.02%,191500,,
1996,4888600,0.02%,272700,,
1997,4497100,0.01%,338600,,
1998,5115700,0.02%,386800,,
1999,1995800,0.01%,72600,,
2000,20419400,0.06%,393700,,
2001,1151300,< 0.005%,99100,,
2002,659600,< 0.005%,45900,,
2003,4091200,0.01%,129200,,
2004,3344100,0.01%,170700,,
2005,1736100,0.01%,99600,,
2006,2687500,0.01%,70100,,
2007,1264800,< 0.005%,189200,,
2008,1954100,0.01%,72200,,
2009,124100,< 0.005%,12500,,
2010,302300,< 0.005%,44500,,
2011,1020200,< 0.005%,112500,,
2012,1130800,< 0.005%,148100,,
2013,289900,< 0.005%,54500,,
2014,200200,< 0.005%,34300,,
2015,740000,< 0.005%,47300,,
2016,1543400,< 0.005%,99400,,
2017,439800,< 0.005%,25300,,
2018,2815400,0.01%,485200,,
2019,3244300,0.01%,425500,,
2020,965700,< 0.005%,27000,,
2021,1551900,< 0.005%,80700,,
2022,2312700,0.01%,120600,,
