Date,Bitcoins,Cost per Bitcoin,Total Invested,MA Cost,Bitcoin Total
2021-09-06,400,46811,18724400,46811,400
2021-09-07,150,46091,6913650,46615,550
2021-09-19,150,42843,6426450,45806,700
2021-10-27,420,60622,25461240,51362,1120
2021-11-26,100,54815,5481500,51645,1220
2021-12-03,150,48670,7300500,51320,1370
2021-12-21,21,49220,1033620,51288,1391
2022-01-21,410,36585,15000000,47941,1801
2022-05-09,500,30744,15372000,44204,2301
2022-06-30,80,19000,1520000,43357,2381
2023-07-10,,,,43357,2381
