Date,Value
1948-01-01,0.1024
1948-02-01,0.0948
1948-03-01,0.0682
1948-04-01,0.0827
1948-05-01,0.0938
1948-06-01,0.0938
1948-07-01,0.0976
1948-08-01,0.0906
1948-09-01,0.0665
1948-10-01,0.0611
1948-11-01,0.0477
1948-12-01,0.0273
1949-01-01,0.0139
1949-02-01,0.0101
1949-03-01,0.0174
1949-04-01,0.0042
1949-05-01,-0.0042
1949-06-01,-0.0095
1949-07-01,-0.0287
1949-08-01,-0.0299
1949-09-01,-0.0250
1949-10-01,-0.0263
1949-11-01,-0.0190
1949-12-01,-0.0183
1950-01-01,-0.0208
1950-02-01,-0.0125
1950-03-01,-0.0113
1950-04-01,-0.0113
1950-05-01,-0.0059
1950-06-01,-0.0017
1950-07-01,0.0156
1950-08-01,0.0211
1950-09-01,0.0248
1950-10-01,0.0351
1950-11-01,0.0380
1950-12-01,0.0580
1951-01-01,0.0795
1951-02-01,0.0940
1951-03-01,0.0948
1951-04-01,0.0960
1951-05-01,0.0934
1951-06-01,0.0858
1951-07-01,0.0764
1951-08-01,0.0686
1951-09-01,0.0694
1951-10-01,0.0678
1951-11-01,0.0699
1951-12-01,0.0596
1952-01-01,0.0422
1952-02-01,0.0225
1952-03-01,0.0197
1952-04-01,0.0208
1952-05-01,0.0185
1952-06-01,0.0231
1952-07-01,0.0297
1952-08-01,0.0321
1952-09-01,0.0231
1952-10-01,0.0203
1952-11-01,0.0141
1952-12-01,0.0091
1953-01-01,0.0072
1953-02-01,0.0068
1953-03-01,0.0091
1953-04-01,0.0087
1953-05-01,0.0087
1953-06-01,0.0090
1953-07-01,0.0041
1953-08-01,0.0060
1953-09-01,0.0098
1953-10-01,0.0097
1953-11-01,0.0060
1953-12-01,0.0060
1954-01-01,0.0113
1954-02-01,0.0150
1954-03-01,0.0113
1954-04-01,0.0064
1954-05-01,0.0086
1954-06-01,0.0064
1954-07-01,0.0026
1954-08-01,0.0000
1954-09-01,-0.0030
1954-10-01,-0.0085
1954-11-01,-0.0026
1954-12-01,-0.0037
1955-01-01,-0.0063
1955-02-01,-0.0063
1955-03-01,-0.0052
1955-04-01,-0.0026
1955-05-01,-0.0059
1955-06-01,-0.0085
1955-07-01,-0.0037
1955-08-01,-0.0048
1955-09-01,0.0015
1955-10-01,0.0037
1955-11-01,0.0037
1955-12-01,0.0037
1956-01-01,0.0022
1956-02-01,0.0015
1956-03-01,0.0037
1956-04-01,0.0052
1956-05-01,0.0097
1956-06-01,0.0165
1956-07-01,0.0198
1956-08-01,0.0221
1956-09-01,0.0186
1956-10-01,0.0257
1956-11-01,0.0234
1956-12-01,0.0283
1957-01-01,0.0313
1957-02-01,0.0350
1957-03-01,0.0361
1957-04-01,0.0371
1957-05-01,0.0359
1957-06-01,0.0354
1957-07-01,0.0330
1957-08-01,0.0355
1957-09-01,0.0355
1957-10-01,0.0294
1957-11-01,0.0327
1957-12-01,0.0304
1958-01-01,0.0351
1958-02-01,0.0324
1958-03-01,0.0363
1958-04-01,0.0362
1958-05-01,0.0336
1958-06-01,0.0285
1958-07-01,0.0248
1958-08-01,0.0233
1958-09-01,0.0208
1958-10-01,0.0208
1958-11-01,0.0190
1958-12-01,0.0176
1959-01-01,0.0129
1959-02-01,0.0105
1959-03-01,0.0035
1959-04-01,0.0014
1959-05-01,0.0035
1959-06-01,0.0069
1959-07-01,0.0090
1959-08-01,0.0083
1959-09-01,0.0118
1959-10-01,0.0152
1959-11-01,0.0138
1959-12-01,0.0152
1960-01-01,0.0124
1960-02-01,0.0141
1960-03-01,0.0152
1960-04-01,0.0193
1960-05-01,0.0183
1960-06-01,0.0172
1960-07-01,0.0137
1960-08-01,0.0147
1960-09-01,0.0123
1960-10-01,0.0136
1960-11-01,0.0147
1960-12-01,0.0136
1961-01-01,0.0160
1961-02-01,0.0146
1961-03-01,0.0146
1961-04-01,0.0091
1961-05-01,0.0091
1961-06-01,0.0078
1961-07-01,0.0125
1961-08-01,0.0111
1961-09-01,0.0125
1961-10-01,0.0077
1961-11-01,0.0067
1961-12-01,0.0067
1962-01-01,0.0067
1962-02-01,0.0090
1962-03-01,0.0111
1962-04-01,0.0134
1962-05-01,0.0134
1962-06-01,0.0124
1962-07-01,0.0100
1962-08-01,0.0114
1962-09-01,0.0147
1962-10-01,0.0133
1962-11-01,0.0133
1962-12-01,0.0123
1963-01-01,0.0133
1963-02-01,0.0123
1963-03-01,0.0113
1963-04-01,0.0089
1963-05-01,0.0089
1963-06-01,0.0132
1963-07-01,0.0156
1963-08-01,0.0155
1963-09-01,0.0099
1963-10-01,0.0122
1963-11-01,0.0132
1963-12-01,0.0165
1964-01-01,0.0164
1964-02-01,0.0141
1964-03-01,0.0141
1964-04-01,0.0154
1964-05-01,0.0154
1964-06-01,0.0131
1964-07-01,0.0108
1964-08-01,0.0098
1964-09-01,0.0117
1964-10-01,0.0120
1964-11-01,0.0140
1964-12-01,0.0120
1965-01-01,0.0110
1965-02-01,0.0120
1965-03-01,0.0120
1965-04-01,0.0139
1965-05-01,0.0161
1965-06-01,0.0193
1965-07-01,0.0181
1965-08-01,0.0161
1965-09-01,0.0174
1965-10-01,0.0170
1965-11-01,0.0173
1965-12-01,0.0192
1966-01-01,0.0192
1966-02-01,0.0256
1966-03-01,0.0278
1966-04-01,0.0287
1966-05-01,0.0276
1966-06-01,0.0244
1966-07-01,0.0275
1966-08-01,0.0349
1966-09-01,0.0357
1966-10-01,0.0379
1966-11-01,0.0356
1966-12-01,0.0336
1967-01-01,0.0320
1967-02-01,0.0287
1967-03-01,0.0255
1967-04-01,0.0254
1967-05-01,0.0232
1967-06-01,0.0284
1967-07-01,0.0293
1967-08-01,0.0260
1967-09-01,0.0260
1967-10-01,0.0259
1967-11-01,0.0310
1967-12-01,0.0328
1968-01-01,0.0365
1968-02-01,0.0364
1968-03-01,0.0394
1968-04-01,0.0393
1968-05-01,0.0423
1968-06-01,0.0420
1968-07-01,0.0449
1968-08-01,0.0448
1968-09-01,0.0446
1968-10-01,0.0475
1968-11-01,0.0442
1968-12-01,0.0471
1969-01-01,0.0469
1969-02-01,0.0468
1969-03-01,0.0525
1969-04-01,0.0552
1969-05-01,0.0551
1969-06-01,0.0548
1969-07-01,0.0544
1969-08-01,0.0543
1969-09-01,0.0570
1969-10-01,0.0567
1969-11-01,0.0593
1969-12-01,0.0590
1970-01-01,0.0616
1970-02-01,0.0642
1970-03-01,0.0609
1970-04-01,0.0606
1970-05-01,0.0604
1970-06-01,0.0601
1970-07-01,0.0571
1970-08-01,0.0569
1970-09-01,0.0566
1970-10-01,0.0563
1970-11-01,0.0560
1970-12-01,0.0557
1971-01-01,0.0528
1971-02-01,0.0472
1971-03-01,0.0444
1971-04-01,0.0416
1971-05-01,0.0440
1971-06-01,0.0438
1971-07-01,0.0437
1971-08-01,0.0436
1971-09-01,0.0408
1971-10-01,0.0381
1971-11-01,0.0354
1971-12-01,0.0327
1972-01-01,0.0326
1972-02-01,0.0376
1972-03-01,0.0350
1972-04-01,0.0349
1972-05-01,0.0323
1972-06-01,0.0296
1972-07-01,0.0296
1972-08-01,0.0295
1972-09-01,0.0319
1972-10-01,0.0318
1972-11-01,0.0341
1972-12-01,0.0341
1973-01-01,0.0364
1973-02-01,0.0386
1973-03-01,0.0483
1973-04-01,0.0530
1973-05-01,0.0553
1973-06-01,0.0600
1973-07-01,0.0574
1973-08-01,0.0740
1973-09-01,0.0736
1973-10-01,0.0806
1973-11-01,0.0825
1973-12-01,0.0894
1974-01-01,0.0960
1974-02-01,0.1000
1974-03-01,0.1014
1974-04-01,0.1007
1974-05-01,0.1071
1974-06-01,0.1086
1974-07-01,0.1154
1974-08-01,0.1089
1974-09-01,0.1195
1974-10-01,0.1184
1974-11-01,0.1220
1974-12-01,0.1210
1975-01-01,0.1175
1975-02-01,0.1121
1975-03-01,0.1046
1975-04-01,0.1019
1975-05-01,0.0926
1975-06-01,0.0918
1975-07-01,0.0953
1975-08-01,0.0862
1975-09-01,0.0791
1975-10-01,0.0765
1975-11-01,0.0738
1975-12-01,0.0713
1976-01-01,0.0669
1976-02-01,0.0627
1976-03-01,0.0606
1976-04-01,0.0585
1976-05-01,0.0621
1976-06-01,0.0598
1976-07-01,0.0556
1976-08-01,0.0572
1976-09-01,0.0549
1976-10-01,0.0546
1976-11-01,0.0506
1976-12-01,0.0504
1977-01-01,0.0520
1977-02-01,0.0608
1977-03-01,0.0643
1977-04-01,0.0695
1977-05-01,0.0674
1977-06-01,0.0670
1977-07-01,0.0667
1977-08-01,0.0663
1977-09-01,0.0642
1977-10-01,0.0639
1977-11-01,0.0671
1977-12-01,0.0668
1978-01-01,0.0681
1978-02-01,0.0624
1978-03-01,0.0638
1978-04-01,0.0650
