Date,Series,Value
1980-01-01,Tuition,100.0
1980-02-01,Tuition,100.88757396449705
1980-03-01,Tuition,101.77514792899409
1980-04-01,Tuition,102.51479289940828
1980-05-01,Tuition,103.55029585798819
1980-06-01,Tuition,104.4378698224852
1980-07-01,Tuition,105.02958579881658
1980-08-01,Tuition,106.06508875739647
1980-09-01,Tuition,108.87573964497041
1980-10-01,Tuition,109.31952662721895
1980-11-01,Tuition,110.20710059171599
1980-12-01,Tuition,111.09467455621302
1981-01-01,Tuition,112.1301775147929
1981-02-01,Tuition,113.01775147928996
1981-03-01,Tuition,113.90532544378699
1981-04-01,Tuition,114.79289940828403
1981-05-01,Tuition,115.82840236686391
1981-06-01,Tuition,116.8639053254438
1981-07-01,Tuition,118.04733727810653
1981-08-01,Tuition,119.08284023668641
1981-09-01,Tuition,122.0414201183432
1981-10-01,Tuition,123.07692307692308
1981-11-01,Tuition,124.26035502958581
1981-12-01,Tuition,125.44378698224851
1982-01-01,Tuition,127.21893491124261
1982-02-01,Tuition,128.40236686390534
1982-03-01,Tuition,129.73372781065092
1982-04-01,Tuition,130.9171597633136
1982-05-01,Tuition,132.10059171597635
1982-06-01,Tuition,133.28402366863907
1982-07-01,Tuition,134.4674556213018
1982-08-01,Tuition,135.50295857988166
1982-09-01,Tuition,137.1301775147929
1982-10-01,Tuition,138.01775147928993
1982-11-01,Tuition,139.3491124260355
1982-12-01,Tuition,140.53254437869825
1983-01-01,Tuition,141.42011834319527
1983-02-01,Tuition,142.75147928994082
1983-03-01,Tuition,143.63905325443787
1983-04-01,Tuition,144.8224852071006
1983-05-01,Tuition,146.15384615384616
1983-06-01,Tuition,147.18934911242604
1983-07-01,Tuition,148.52071005917162
1983-08-01,Tuition,149.55621301775147
1983-09-01,Tuition,147.92899408284026
1983-10-01,Tuition,151.33136094674558
1983-11-01,Tuition,152.5147928994083
1983-12-01,Tuition,153.69822485207104
1984-01-01,Tuition,155.02958579881658
1984-02-01,Tuition,156.36094674556216
1984-03-01,Tuition,158.28402366863907
1984-04-01,Tuition,159.31952662721895
1984-05-01,Tuition,160.35502958579883
1984-06-01,Tuition,161.68639053254438
1984-07-01,Tuition,163.01775147928996
1984-08-01,Tuition,163.75739644970415
1984-09-01,Tuition,166.12426035502958
1984-10-01,Tuition,167.01183431952666
1984-11-01,Tuition,168.19526627218937
1984-12-01,Tuition,169.3786982248521
1985-01-01,Tuition,170.5621301775148
1985-02-01,Tuition,171.89349112426038
1985-03-01,Tuition,172.92899408284026
1985-04-01,Tuition,173.96449704142012
1985-05-01,Tuition,175.14792899408286
1985-06-01,Tuition,176.33136094674558
1985-07-01,Tuition,177.81065088757398
1985-08-01,Tuition,178.40236686390534
1985-09-01,Tuition,180.32544378698228
1985-10-01,Tuition,181.2130177514793
1985-11-01,Tuition,182.6923076923077
1985-12-01,Tuition,183.87573964497042
1986-01-01,Tuition,185.05917159763314
1986-02-01,Tuition,186.24260355029588
1986-03-01,Tuition,187.4260355029586
1986-04-01,Tuition,188.6094674556213
1986-05-01,Tuition,189.79289940828406
1986-06-01,Tuition,190.8284023668639
1986-07-01,Tuition,191.8639053254438
1986-08-01,Tuition,192.60355029585799
1986-09-01,Tuition,195.8579881656805
1986-10-01,Tuition,196.301775147929
1986-11-01,Tuition,197.3372781065089
1986-12-01,Tuition,198.5207100591716
1987-01-01,Tuition,200.2958579881657
1987-02-01,Tuition,201.33136094674558
1987-03-01,Tuition,202.66272189349115
1987-04-01,Tuition,204.14201183431953
1987-05-01,Tuition,205.4733727810651
1987-06-01,Tuition,206.80473372781069
1987-07-01,Tuition,208.1360946745562
1987-08-01,Tuition,209.17159763313612
1987-09-01,Tuition,209.17159763313612
1987-10-01,Tuition,211.094674556213
1987-11-01,Tuition,212.42603550295857
1987-12-01,Tuition,214.2011834319527
1988-01-01,Tuition,215.23668639053258
1988-02-01,Tuition,217.45562130177518
1988-03-01,Tuition,218.6390532544379
1988-04-01,Tuition,220.11834319526628
1988-05-01,Tuition,221.44970414201183
1988-06-01,Tuition,223.07692307692312
1988-07-01,Tuition,224.11242603550298
1988-08-01,Tuition,226.7751479289941
1988-09-01,Tuition,226.6272189349112
1988-10-01,Tuition,227.81065088757398
1988-11-01,Tuition,229.28994082840237
1988-12-01,Tuition,230.62130177514794
1989-01-01,Tuition,232.39644970414201
1989-02-01,Tuition,233.87573964497045
1989-03-01,Tuition,235.50295857988166
1989-04-01,Tuition,236.83431952662724
1989-05-01,Tuition,238.31360946745562
1989-06-01,Tuition,239.34911242603553
1989-07-01,Tuition,240.97633136094677
1989-08-01,Tuition,243.04733727810657
1989-09-01,Tuition,244.67455621301778
1989-10-01,Tuition,246.15384615384616
1989-11-01,Tuition,247.6331360946746
1989-12-01,Tuition,248.96449704142017
1990-01-01,Tuition,250.73964497041425
1990-02-01,Tuition,252.2189349112426
1990-03-01,Tuition,253.69822485207104
1990-04-01,Tuition,255.32544378698225
1990-05-01,Tuition,257.396449704142
1990-06-01,Tuition,258.87573964497045
1990-07-01,Tuition,261.094674556213
1990-08-01,Tuition,263.905325443787
1990-09-01,Tuition,263.905325443787
1990-10-01,Tuition,265.5325443786983
1990-11-01,Tuition,267.15976331360946
1990-12-01,Tuition,268.9349112426036
1991-01-01,Tuition,271.44970414201185
1991-02-01,Tuition,273.5207100591716
1991-03-01,Tuition,275.4437869822485
1991-04-01,Tuition,277.36686390532543
1991-05-01,Tuition,279.14201183431953
1991-06-01,Tuition,281.0650887573965
1991-07-01,Tuition,283.13609467455626
1991-08-01,Tuition,284.1715976331361
1991-09-01,Tuition,290.6804733727811
1991-10-01,Tuition,291.86390532544385
1991-11-01,Tuition,293.49112426035504
1991-12-01,Tuition,295.26627218934914
1992-01-01,Tuition,296.8934911242604
1992-02-01,Tuition,298.6686390532545
1992-03-01,Tuition,301.0355029585799
1992-04-01,Tuition,303.2544378698225
1992-05-01,Tuition,305.17751479289944
1992-06-01,Tuition,307.39644970414207
1992-07-01,Tuition,308.87573964497045
1992-08-01,Tuition,310.6508875739645
1992-09-01,Tuition,313.7573964497042
1992-10-01,Tuition,316.1242603550296
1992-11-01,Tuition,318.0473372781065
1992-12-01,Tuition,320.5621301775148
1993-01-01,Tuition,322.9289940828403
1993-02-01,Tuition,324.8520710059172
1993-03-01,Tuition,326.7751479289941
1993-04-01,Tuition,328.698224852071
1993-05-01,Tuition,330.47337278106517
1993-06-01,Tuition,332.54437869822493
1993-07-01,Tuition,334.319526627219
1993-08-01,Tuition,335.79881656804736
1993-09-01,Tuition,338.01775147929
1993-10-01,Tuition,339.64497041420117
1993-11-01,Tuition,341.715976331361
1993-12-01,Tuition,343.49112426035504
1994-01-01,Tuition,345.26627218934914
1994-02-01,Tuition,347.0414201183432
1994-03-01,Tuition,348.81656804733734
1994-04-01,Tuition,350.4437869822485
1994-05-01,Tuition,352.51479289940835
1994-06-01,Tuition,354.2899408284024
1994-07-01,Tuition,355.7692307692308
1994-08-01,Tuition,357.396449704142
1994-09-01,Tuition,358.87573964497045
1994-10-01,Tuition,360.65088757396455
1994-11-01,Tuition,362.4260355029586
1994-12-01,Tuition,364.05325443786984
1995-01-01,Tuition,365.82840236686394
1995-02-01,Tuition,368.49112426035504
1995-03-01,Tuition,369.9704142011834
1995-04-01,Tuition,371.301775147929
1995-05-01,Tuition,372.78106508875743
1995-06-01,Tuition,374.2603550295858
1995-07-01,Tuition,376.03550295857985
1995-08-01,Tuition,378.1065088757397
1995-09-01,Tuition,379.8816568047338
1995-10-01,Tuition,381.36094674556216
1995-11-01,Tuition,383.13609467455626
1995-12-01,Tuition,384.7633136094675
1996-01-01,Tuition,386.3905325443787
1996-02-01,Tuition,388.1656804733728
1996-03-01,Tuition,389.64497041420117
1996-04-01,Tuition,391.715976331361
1996-05-01,Tuition,393.0473372781065
1996-06-01,Tuition,394.52662721893495
1996-07-01,Tuition,396.1538461538462
1996-08-01,Tuition,397.48520710059177
1996-09-01,Tuition,398.81656804733734
1996-10-01,Tuition,400.4437869822485
1996-11-01,Tuition,402.0710059171598
1996-12-01,Tuition,403.698224852071
1997-01-01,Tuition,405.47337278106517
1997-02-01,Tuition,406.95266272189355
1997-03-01,Tuition,408.431952662722
1997-04-01,Tuition,409.91124260355036
1997-05-01,Tuition,411.98224852071013
1997-06-01,Tuition,413.60946745562137
1997-07-01,Tuition,415.23668639053255
1997-08-01,Tuition,417.3076923076923
1997-09-01,Tuition,419.3786982248521
1997-10-01,Tuition,421.1538461538462
1997-11-01,Tuition,422.7810650887575
1997-12-01,Tuition,424.7041420118344
1998-01-01,Tuition,426.4792899408285
1998-02-01,Tuition,427.66272189349127
1998-03-01,Tuition,429.58579881656806
1998-04-01,Tuition,431.6568047337278
1998-05-01,Tuition,433.7278106508876
1998-06-01,Tuition,434.76331360946745
1998-07-01,Tuition,436.2426035502959
1998-08-01,Tuition,437.72189349112426
