Date,Series,Value
1915-12-01,Chicago_Change,2.0202
1916-12-01,Chicago_Change,11.88119
1917-12-01,Chicago_Change,22.12389
1918-12-01,Chicago_Change,21.73913
1919-12-01,Chicago_Change,14.88095
1920-06-01,Chicago_Change,22.22222
1920-12-01,Chicago_Change,1.03627
1921-12-01,Chicago_Change,-8.20513
1922-09-01,Chicago_Change,-3.93258
1922-12-01,Chicago_Change,-2.7933
1923-03-01,Chicago_Change,1.16959
1923-06-01,Chicago_Change,1.16279
1923-09-01,Chicago_Change,2.92398
1923-12-01,Chicago_Change,2.29885
1924-03-01,Chicago_Change,0.57803
1924-06-01,Chicago_Change,0.0
1924-09-01,Chicago_Change,-1.13636
1924-12-01,Chicago_Change,-0.5618
1925-06-01,Chicago_Change,1.72414
1925-12-01,Chicago_Change,4.51977
1926-06-01,Chicago_Change,2.25989
1926-12-01,Chicago_Change,-2.16216
1927-06-01,Chicago_Change,-0.55249
1927-12-01,Chicago_Change,0.0
1928-06-01,Chicago_Change,-1.66667
1928-12-01,Chicago_Change,-1.65746
1929-06-01,Chicago_Change,0.56497
1929-12-01,Chicago_Change,0.5618
1930-06-01,Chicago_Change,-2.24719
1930-12-01,Chicago_Change,-5.02793
1931-06-01,Chicago_Change,-8.04598
1931-12-01,Chicago_Change,-9.41176
1932-06-01,Chicago_Change,-8.125
1932-12-01,Chicago_Change,-7.79221
1933-06-01,Chicago_Change,-6.80272
1933-12-01,Chicago_Change,-1.40845
1934-06-01,Chicago_Change,4.37956
1936-07-01,Chicago_Change,1.3986
1937-09-01,Chicago_Change,3.40136
1937-12-01,Chicago_Change,3.44828
1938-03-01,Chicago_Change,-2.02703
1938-06-01,Chicago_Change,-2.02703
1938-09-01,Chicago_Change,-3.94737
1938-12-01,Chicago_Change,-2.66667
1939-03-01,Chicago_Change,0.0
1939-06-01,Chicago_Change,-1.37931
1939-09-01,Chicago_Change,1.36986
1939-12-01,Chicago_Change,0.0
1940-03-01,Chicago_Change,1.37931
1940-06-01,Chicago_Change,3.4965
1940-09-01,Chicago_Change,-0.67568
1940-12-01,Chicago_Change,0.68493
1941-03-01,Chicago_Change,0.68027
1941-06-01,Chicago_Change,2.7027
1941-09-01,Chicago_Change,6.12245
1941-10-01,Chicago_Change,7.53425
1941-11-01,Chicago_Change,7.48299
1941-12-01,Chicago_Change,7.48299
1942-01-01,Chicago_Change,9.52381
1942-02-01,Chicago_Change,9.45946
1942-03-01,Chicago_Change,10.13514
1942-04-01,Chicago_Change,10.06711
1942-05-01,Chicago_Change,10.0
1942-06-01,Chicago_Change,9.86842
1942-07-01,Chicago_Change,9.80392
1942-08-01,Chicago_Change,9.74026
1942-09-01,Chicago_Change,8.33333
1942-10-01,Chicago_Change,8.9172
1942-11-01,Chicago_Change,9.49367
1942-12-01,Chicago_Change,10.12658
1943-01-01,Chicago_Change,8.69565
1943-02-01,Chicago_Change,8.02469
1943-03-01,Chicago_Change,9.20245
1943-04-01,Chicago_Change,9.14634
1943-05-01,Chicago_Change,9.69697
1943-06-01,Chicago_Change,8.38323
1943-07-01,Chicago_Change,7.7381
1943-08-01,Chicago_Change,5.91716
1943-09-01,Chicago_Change,7.10059
1943-10-01,Chicago_Change,6.43275
1943-11-01,Chicago_Change,5.20231
1943-12-01,Chicago_Change,4.5977
1944-01-01,Chicago_Change,4.0
1944-02-01,Chicago_Change,3.42857
1944-03-01,Chicago_Change,2.24719
1944-04-01,Chicago_Change,2.23464
1944-05-01,Chicago_Change,1.65746
1944-06-01,Chicago_Change,1.65746
1944-07-01,Chicago_Change,2.20994
1944-08-01,Chicago_Change,3.35196
1944-09-01,Chicago_Change,2.20994
1944-10-01,Chicago_Change,1.64835
1944-11-01,Chicago_Change,2.1978
1944-12-01,Chicago_Change,2.1978
1945-01-01,Chicago_Change,2.1978
1945-02-01,Chicago_Change,2.76243
1945-03-01,Chicago_Change,1.64835
1945-04-01,Chicago_Change,1.63934
1945-05-01,Chicago_Change,1.63043
1945-06-01,Chicago_Change,2.71739
1945-07-01,Chicago_Change,3.24324
1945-08-01,Chicago_Change,2.7027
1945-09-01,Chicago_Change,2.16216
1945-10-01,Chicago_Change,2.16216
1945-11-01,Chicago_Change,2.15054
1945-12-01,Chicago_Change,2.68817
1946-01-01,Chicago_Change,3.22581
1946-02-01,Chicago_Change,3.22581
1946-03-01,Chicago_Change,4.32432
1946-04-01,Chicago_Change,4.83871
1946-05-01,Chicago_Change,4.81283
1946-06-01,Chicago_Change,4.7619
1946-07-01,Chicago_Change,9.94764
1946-08-01,Chicago_Change,12.10526
1946-09-01,Chicago_Change,15.34392
1946-10-01,Chicago_Change,17.98942
1946-11-01,Chicago_Change,18.42105
1946-12-01,Chicago_Change,18.84817
1947-01-01,Chicago_Change,17.70833
1947-02-01,Chicago_Change,17.1875
1947-03-01,Chicago_Change,19.17098
1947-04-01,Chicago_Change,17.4359
1947-05-01,Chicago_Change,15.81633
1947-06-01,Chicago_Change,15.65657
1947-07-01,Chicago_Change,9.52381
1947-08-01,Chicago_Change,8.92019
1947-09-01,Chicago_Change,8.25688
1947-10-01,Chicago_Change,5.8296
1947-11-01,Chicago_Change,6.22222
1947-12-01,Chicago_Change,6.1674
