date,LM152010005.Q,FL154090005.Q,FL153165105.Q,FL153166000.Q,FL154199005.Q
2023:Q1,54124072,114329754,12519667,4777413,2321400
2022:Q4,54652893,110752454,12474615,4785749,2335129
2022:Q3,55517334,108047967,12320306,4681075,2373002
2022:Q2,56575912,109671114,12107452,4583410,2355782
2022:Q1,54197996,117078673,11844869,4462622,2375416
2021:Q4,50530500,118358420,11704575,4430807,2343740
2021:Q3,49406000,114685060,11450596,4337419,2287569
2021:Q2,47166514,113232036,11210817,4259264,2240771
2021:Q1,44952408,108795308,10984894,4167191,2203635
2020:Q4,43462318,105092034,10862374,4184853,2130749
2020:Q3,42225436,97683778,10733155,4142672,2039564
2020:Q2,41225185,94200941,10583556,4097324,1982693
2020:Q1,40536967,87039187,10517465,4147835,1997662
2019:Q4,39779806,93581624,10476173,4192191,1936422
2019:Q3,39404322,90251517,10406337,4124135,1880783
2019:Q2,39074031,89738508,10316237,4052091,1841203
2019:Q1,38506858,87909165,10230606,3994488,1779474
2018:Q4,37793050,82365387,10204419,4007042,1762166
2018:Q3,37464449,86337386,10143409,3934569,1765938
2018:Q2,37045053,84598544,10047793,3858189,1767155
2018:Q1,36569829,83711546,9965925,3819911,1757863
2017:Q4,35831937,83280317,9928794,3830752,1732501
2017:Q3,35298453,81051313,9855208,3749203,1690196
2017:Q2,34813992,79725228,9773974,3682758,1689287
2017:Q1,34068547,78240749,9706328,3630450,1652614
2016:Q4,33615331,76207630,9658822,3636436,1634819
2016:Q3,33147809,76023610,9608794,3561637,1656350
2016:Q2,32522640,74838074,9535091,3476846,1639143
2016:Q1,31845493,73785090,9483081,3412265,1619468
2015:Q4,31525384,72832976,9492847,3400223,1609376
2015:Q3,31156185,71640738,9429257,3463137,1596839
2015:Q2,30677738,73023650,9387849,3377784,1603029
2015:Q1,30117627,72788726,9351461,3307110,1580128
2014:Q4,29636070,71435750,9387257,3309540,1561883
2014:Q3,29264546,70109602,9381093,3242981,1563363
2014:Q2,28778927,69951569,9377360,3164019,1653869
2014:Q1,28242407,68306939,9394417,3096842,1631824
2013:Q4,27950842,66860255,9437049,3090468,1599061
2013:Q3,27574040,64885403,9456278,3030297,1466570
2013:Q2,26922699,62959311,9449922,2960193,1486934
2013:Q1,26318653,62418102,9488087,2913773,1473824
2012:Q4,25835858,60095362,9537072,2912905,1455219
2012:Q3,25579556,59375845,9597673,2850453,1486250
2012:Q2,25280613,57741677,9649732,2790468,1480515
2012:Q1,25092192,57908638,9717273,2745041,1487431
2011:Q4,25230073,55826758,9785496,2756225,1466209
2011:Q3,25262431,54373087,9834572,2702175,1476181
2011:Q2,25338034,56196778,9888702,2653077,1481925
2011:Q1,25448104,55803023,9951762,2628309,1492679
2010:Q4,25670616,54445197,9992280,2646811,1461472
2010:Q3,25877284,52567064,10164689,2503726,1445697
2010:Q2,26028794,50410998,10243074,2478453,1464235
2010:Q1,26010767,51064234,10310617,2493057,1450097
2009:Q4,26061110,49814164,10441302,2555017,1363295
2009:Q3,26340128,49389949,10489449,2558711,1318648
2009:Q2,26715018,47267616,10546813,2548873,1274708
2009:Q1,27489300,46236559,10577027,2578142,1236157
2008:Q4,28145757,47554516,10577260,2643789,1264971
2008:Q3,28742744,50266414,10653878,2643813,1444074
2008:Q2,29320752,52058381,10682871,2620453,1322303
2008:Q1,29831652,52795751,10696598,2602008,1370519
2007:Q4,30621749,53985165,10624984,2609477,1313973
2007:Q3,30892969,54236845,10519448,2555552,1276612
2007:Q2,30992839,53050434,10337293,2476966,1295853
2007:Q1,30981667,52134661,10142446,2440172,1231646
2006:Q4,31094722,50785876,9940251,2456716,1230521
2006:Q3,30889280,49213136,9786662,2411441,1162465
2006:Q2,30502608,48120604,9546649,2349611,1136251
2006:Q1,30004604,48048771,9239541,2337585,1096800
2005:Q4,29783204,46019748,8940398,2320555,1052791
2005:Q3,28958088,45039742,8677991,2278385,1057670
2005:Q2,28051478,43912284,8379699,2232389,1040551
2005:Q1,27253301,42895214,8089019,2204974,1023383
2004:Q4,26449418,42562842,7859149,2220119,1028541
2004:Q3,25651621,40773974,7605404,2164875,980636
2004:Q2,24779689,40049146,7360240,2114539,995242
2004:Q1,24028921,39714857,7089700,2096472,966938
2003:Q4,23181697,37821998,6914875,2102932,940002
2003:Q3,22662834,36117049,6707863,2059675,931312
2003:Q2,22221099,35430110,6463499,2021930,956423
2003:Q1,21783157,33595561,6205332,1989123,859400
2002:Q4,21318574,33618455,6031127,1997008,836027
2002:Q3,20845561,32871169,5833621,1951608,830487
2002:Q2,20403234,34194880,5639129,1917644,835704
2002:Q1,20002448,35054346,5462408,1883516,856454
2001:Q4,19538805,34689646,5324935,1891827,850649
2001:Q3,19176271,33367693,5210501,1814351,912990
2001:Q2,18750513,34593777,5062201,1784249,836928
2001:Q1,18336618,33576272,4901360,1749724,829782
2000:Q4,17563331,34421109,4816784,1741267,868054
2000:Q3,17059115,35274081,4721811,1667073,899214
2000:Q2,16538670,34918190,4609105,1601771,891877
2000:Q1,15978434,35393182,4496731,1553765,905569
1999:Q4,15564928,34612644,4434475,1553622,860964
1999:Q3,15231271,32158362,4351224,1511895,813240
1999:Q2,14844501,32420442,4233199,1471581,809838
1999:Q1,14533357,31486460,4136676,1442398,779173
1998:Q4,14312599,31309352,4057442,1441272,770869
1998:Q3,14005089,29388082,3964840,1400718,756712
1998:Q2,13733039,30194571,3888138,1367744,749556
1998:Q1,13432904,29678814,3809490,1324043,731506
1997:Q4,13203636,28195930,3754238,1344165,709701
1997:Q3,12971062,27688673,3717007,1305805,688380
1997:Q2,12799252,26709821,3631924,1278038,679734
1997:Q1,12657851,25408780,3580473,1254175,658162
1996:Q4,12485357,25210025,3538132,1273878,638318
1996:Q3,12328790,24496066,3488838,1229847,630229
1996:Q2,12198916,24216354,3431661,1196579,621686
1996:Q1,12079108,23799887,3378306,1162207,608458
1995:Q4,11933669,23265952,3319925,1168160,589411
1995:Q3,11818499,22556939,3289771,1109599,582551
1995:Q2,11887640,21924169,3238302,1063126,566082
1995:Q1,11769931,21365141,3191926,1024546,558143
1994:Q4,11667543,20860643,3165940,1021168,556585
1994:Q3,11555221,20621072,3121049,959953,541876
1994:Q2,11411370,20291367,3074622,918580,540139
1994:Q1,11260133,20154693,3029469,883876,534150
1993:Q4,11141192,20058743,2999178,886169,529425
1993:Q3,10984940,19653705,2958017,842668,519848
1993:Q2,10842067,19288505,2907828,818662,506998
1993:Q1,10706449,19077947,2854188,807262,503597
1992:Q4,10669533,18751638,2840353,824769,491734
1992:Q3,10565588,18169123,2795327,801933,486400
1992:Q2,10467033,17849237,2740695,792332,482806
1992:Q1,10422052,17757343,2707721,793353,470664
1991:Q4,10324869,17777346,2667356,815581,468501
1991:Q3,10255175,17175694,2613968,802500,451167
1991:Q2,10208006,16879243,2590113,801306,434065
1991:Q1,10160722,16804302,2529152,802207,428781
1990:Q4,10098112,16288224,2489255,824391,420651
1990:Q3,10069809,15772268,2446737,812302,408591
1990:Q2,9988874,15950237,2395411,798712,409848
1990:Q1,9907516,15688988,2334912,792320,403640
1989:Q4,9817873,15616727,2260115,809285,393284
1989:Q3,9674310,15277223,2210690,784207,384337
1989:Q2,9433869,14893702,2146493,769617,378816
1989:Q1,9260692,14558146,2088877,753193,364467
1988:Q4,9095149,14243512,2054832,745206,361904
1988:Q3,8926826,13837287,1999589,725838,362020
1988:Q2,8752685,13611666,1942104,710128,354228
1988:Q1,8517332,13328948,1875598,693732,351397
1987:Q4,8330644,12960957,1828608,698640,348562
1987:Q3,8193125,13096908,1802929,679637,326759
1987:Q2,8011470,12786744,1752706,660313,318529
1987:Q1,7824031,12593492,1681564,644317,312377
1986:Q4,7644458,12140790,1649024,666355,317387
1986:Q3,7463403,11662524,1587994,649888,307728
1986:Q2,7267817,11591120,1525857,627891,305366
1986:Q1,7081602,11333627,1476952,606799,309657
1985:Q4,6938257,10953893,1450249,610574,308487
1985:Q3,6731397,10543840,1402164,585905,267764
1985:Q2,6524175,10455400,1343287,559592,260939
1985:Q1,6328668,10238198,1304981,536023,247217
1984:Q4,6150814,9938507,1243294,526584,244099
1984:Q3,5992617,9744480,1211497,501839,233556
1984:Q2,5828730,9525087,1177677,479799,233674
1984:Q1,5652372,9408428,1144101,452010,230026
1983:Q4,5444819,9340389,1116384,444878,232493
1983:Q3,5365194,9256069,1087568,420612,222967
1983:Q2,5290132,9112173,1053751,403838,215738
1983:Q1,5221734,8829889,1026258,391910,204054
1982:Q4,5147965,8571621,1031175,396718,201137
1982:Q3,5096901,8260498,1017736,386815,189774
1982:Q2,5075210,8051407,1019260,380887,184203
1982:Q1,5030606,7934577,1007909,373537,178690
1981:Q4,4916986,7904790,998261,377882,179922
1981:Q3,4842252,7635826,981849,371928,170808
1981:Q2,4716030,7626492,964154,361610,167831
1981:Q1,4514991,7502651,940590,353902,161701
1980:Q4,4451457,7361601,926526,358044,162377
1980:Q3,4369921,7075209,901374,350336,152785
1980:Q2,4224000,6790676,873960,345637,148897
1980:Q1,4113377,6536661,856228,349662,144353
1979:Q4,3962150,6465392,826724,354616,139888
1979:Q3,3845429,6257664,795927,341528,138305
1979:Q2,3717645,6052521,763421,327319,134613
1979:Q1,3562042,5887291,733605,313819,130373
1978:Q4,3408033,5702245,708641,311305,130306
1978:Q3,3288677,5597530,678951,298022,130754
1978:Q2,3172610,5419267,648036,284526,127595
1978:Q1,3042450,5251028,621021,266971,121804
1977:Q4,2947298,5149798,602997,264892,118996
1977:Q3,2839326,5061097,579911,252953,116186
1977:Q2,2742978,4978933,554091,242048,114727
1977:Q1,2630038,4874028,531310,229155,111668
1976:Q4,2543163,4835837,517073,228961,109319
1976:Q3,2471450,4710565,501121,220688,105410
1976:Q2,2420257,4620517,483990,213148,104921
1976:Q1,2334914,4502152,469994,204908,100405
1975:Q4,2286339,4341672,459087,206996,99693
1975:Q3,2228654,4208087,446324,201183,94550
1975:Q2,2216083,4204838,434575,195933,91464
1975:Q1,2142419,4031499,424313,195912,87717
1974:Q4,2064503,3857219,419339,201926,87353
1974:Q3,2002139,3767623,411381,201241,82805
1974:Q2,1962314,3828800,400439,196777,79791
1974:Q1,1944537,3843019,389858,190460,75896
1973:Q4,1943353,3809817,382218,192980,76765
1973:Q3,1891339,3881117,372134,186695,76720
1973:Q2,1819177,3751360,361814,180398,74243
1973:Q1,1758700,3753452,351550,171528,74468
1972:Q4,1714191,3760971,343552,168757,73114
1972:Q3,1649565,3560117,334408,161529,70787
1972:Q2,1600642,3468264,324462,156222,70588
1972:Q1,1570890,3413269,316038,148847,66448
1971:Q4,1517895,3300634,309454,149243,65389
1971:Q3,1490789,3189891,302822,143465,61604
1971:Q2,1461016,3146547,295363,138912,60871
1971:Q1,1427159,3092913,289592,134072,57831
1970:Q4,1390872,2963660,286015,133660,59066
1970:Q3,1362891,2859272,282347,131424,55968
1970:Q2,1356816,2730510,278674,129421,54705
1970:Q1,1318327,2826053,275814,126663,53764
1969:Q4,1308683,2815536,278689,129231,55860
1969:Q3,1278153,2816349,274512,125813,51856
1969:Q2,1259344,2807383,269738,123675,52919
1969:Q1,1233251,2814654,264857,118884,51179
1968:Q4,1200785,2831018,262934,119324,53886
1968:Q3,1152220,2696732,258183,114160,50438
1968:Q2,1130394,2649012,253675,111404,50103
1968:Q1,1104937,2523798,249378,107272,45818
1967:Q4,1074447,2540472,245974,108567,56328
1967:Q3,1047820,2477826,241547,105544,42118
1967:Q2,1028922,2403963,237076,104131,41940
1967:Q1,1013807,2370710,234221,101348,40243
1966:Q4,1005994,2272467,232742,103422,39858
1966:Q3,979823,2203091,230272,100989,38290
1966:Q2,971324,2236161,227232,100205,38223
1966:Q1,935825,2229852,223358,97096,35510
1965:Q4,930942,2224990,219449,97489,35848
1965:Q3,912547,2153544,215042,94391,33952
1965:Q2,903705,2077550,210329,92243,33897
1965:Q1,895205,2079561,205891,87645,33328
1964:Q4,884106,2043445,202335,87352,33682
1964:Q3,869243,2005057,198076,84142,32160
1964:Q2,860171,1960850,193368,81812,32386
1964:Q1,843875,1923323,188776,78041,31152
1963:Q4,839160,1877506,185106,77870,31028
1963:Q3,830885,1881819,180662,74362,29969
1963:Q2,817644,1845634,175801,72217,29458
