,Year,Annual Average Index,Annual Percent Change
0,1901,25.0,0.0
1,1902,26.0,4.0
2,1903,27.0,3.8
3,1904,27.0,0.0
4,1905,27.0,0.0
5,1906,27.0,0.0
6,1907,28.0,3.7
7,1908,27.0,-3.6
8,1909,27.0,0.0
9,1910,28.0,3.7
10,1911,28.0,0.0
11,1912,29.0,3.6
12,1913,29.7,2.4
13,1914,30.1,1.3
14,1915,30.4,0.9
15,1916,32.7,7.7
16,1917,38.5,17.8
17,1918,45.2,17.3
18,1919,52.1,15.2
19,1920,60.2,15.6
20,1921,53.6,-10.9
21,1922,50.3,-6.2
22,1923,51.2,1.8
23,1924,51.5,0.4
24,1925,52.7,2.4
25,1926,53.2,0.9
26,1927,52.2,-1.9
27,1928,51.6,-1.2
28,1929,51.6,0.0
29,1930,50.2,-2.7
30,1931,45.7,-8.9
31,1932,41.0,-10.3
32,1933,38.9,-5.2
33,1934,40.2,3.5
34,1935,41.2,2.6
35,1936,41.7,1.0
36,1937,43.2,3.7
37,1938,42.3,-2.0
38,1939,41.8,-1.3
39,1940,42.1,0.7
40,1941,44.2,5.1
41,1942,49.1,10.9
42,1943,52.0,6.0
43,1944,52.9,1.6
44,1945,54.1,2.3
45,1946,58.6,8.5
46,1947,67.1,14.4
47,1948,72.2,7.7
48,1949,71.5,-1.0
49,1950,72.3,1.1
50,1951,78.0,7.9
51,1952,79.8,2.3
52,1953,80.4,0.8
53,1954,80.7,0.3
54,1955,80.5,-0.3
55,1956,81.7,1.5
56,1957,84.4,3.3
57,1958,86.7,2.7
58,1959,87.6,1.0
59,1960,88.9,1.5
60,1961,89.8,1.1
61,1962,90.9,1.2
62,1963,92.0,1.2
63,1964,93.2,1.3
64,1965,94.7,1.6
65,1966,97.5,3.0
66,1967,100.2,2.8
67,1968,104.5,4.3
68,1969,110.2,5.5
69,1970,116.7,5.8
70,1971,121.7,4.3
71,1972,125.7,3.3
72,1973,133.4,6.2
73,1974,148.2,11.1
74,1975,161.7,9.1
75,1976,171.0,5.7
76,1977,182.1,6.5
77,1978,196.0,7.6
78,1979,218.1,11.3
79,1980,247.6,13.5
80,1981,273.2,10.3
81,1982,290.0,6.1
82,1983,299.3,3.2
83,1984,312.2,4.3
84,1985,323.2,3.5
85,1986,329.4,1.9
86,1987,341.4,3.7
87,1988,355.4,4.1
88,1989,372.5,4.8
89,1990,392.6,5.4
90,1991,409.3,4.2
91,1992,421.7,3.0
92,1993,434.1,3.0
93,1994,445.4,2.6
94,1995,457.9,2.8
95,1996,471.3,2.9
96,1997,482.4,2.3
97,1998,489.8,1.6
98,1999,500.6,2.2
99,2000,517.5,3.4
100,2001,532.1,2.8
101,2002,540.5,1.6
102,2003,552.8,2.3
103,2004,567.6,2.7
104,2005,586.9,3.4
105,2006,605.8,3.2
106,2007,623.1,2.9
107,2008,647.0,3.8
108,2009,644.7,-0.4
109,2010,655.3,1.6
110,2011,676.0,3.2
111,2012,689.9,2.1
112, 2013,700.0,1.5
113, 2014,711.4,1.6
114, 2015,712.3,0.1
115, 2016,721.2,1.3
116, 2017,736.6,2.1
117, 2018,754.6,2.4
118, 2019,768.3,1.8
119, 2020,777.7,1.2
120, 2021,814.3,4.7
121, 2022,879.4,8.0
122, 2023*,930.5,5.8
