date,FL152090005.Q,FL152000005.Q,FL154190005.Q
2023:Q1,148835347,168453826,19618480
2022:Q4,145809853,165405347,19595493
2022:Q3,144190918,163565301,19374383
2022:Q2,147200382,166247026,19046644
2022:Q1,152593762,171276669,18682907
2021:Q4,150409798,168888920,18479122
2021:Q3,146015476,164091060,18075584
2021:Q2,142687698,160398550,17710852
2021:Q1,136391996,153747716,17355720
2020:Q4,131376375,148554352,17177976
2020:Q3,122993823,139909214,16915391
2020:Q2,118762553,135426126,16663573
2020:Q1,110913192,127576154,16662962
2019:Q4,116756644,133361430,16604786
2019:Q3,113244584,129655839,16411255
2019:Q2,112603008,128812539,16209531
2019:Q1,110411455,126416023,16004568
2018:Q4,104184810,120158437,15973627
2018:Q3,107957919,123801835,15843916
2018:Q2,105970460,121643597,15673137
2018:Q1,104737676,120281375,15543699
2017:Q4,103620208,119112254,15492047
2017:Q3,101055159,116349766,15294607
2017:Q2,99393201,114539220,15146019
2017:Q1,97319904,112309296,14989392
2016:Q4,94892884,109822961,14930077
2016:Q3,94344638,109171419,14826781
2016:Q2,92709634,107360714,14651080
2016:Q1,91115769,105630583,14514814
2015:Q4,89855914,104358360,14502446
2015:Q3,88307690,102796923,14489233
2015:Q2,89332726,103701388,14368662
2015:Q1,88667654,102906353,14238699
2014:Q4,86813140,101071820,14258680
2014:Q3,85186711,99374148,14187437
2014:Q2,84535248,98730496,14195248
2014:Q1,82426263,96549346,14123083
2013:Q4,80684519,94811097,14126578
2013:Q3,78506298,92459443,13953145
2013:Q2,75984961,89882010,13897049
2013:Q1,74861071,88736755,13875684
2012:Q4,72026024,85931220,13905196
2012:Q3,71021025,84955401,13934376
2012:Q2,69101575,83022290,13920715
2012:Q1,69051085,83000830,13949745
2011:Q4,67048901,81056831,14007930
2011:Q3,65622590,79635518,14012928
2011:Q2,67511108,81534812,14023704
2011:Q1,67178377,81251127,14072750
2010:Q4,66015250,80115813,14100563
2010:Q3,64330236,78444348,14114112
2010:Q2,62254030,76439792,14185762
2010:Q1,62821230,77075001,14253771
2009:Q4,61515660,75875274,14359614
2009:Q3,61363269,75730077,14366808
2009:Q2,59612240,73982634,14370394
2009:Q1,59334533,73725859,14391326
2008:Q4,61214253,75700273,14486020
2008:Q3,64267393,79009158,14741765
2008:Q2,66753506,81379133,14625627
2008:Q1,67958278,82627403,14669125
2007:Q4,70058480,84606914,14548434
2007:Q3,70778202,85129814,14351612
2007:Q2,69933161,84043273,14110112
2007:Q1,69302064,83116328,13814264
2006:Q4,68253110,81880598,13627488
2006:Q3,66741848,80102416,13360568
2006:Q2,65590701,78623212,13032511
2006:Q1,65379449,78053375,12673926
2005:Q4,63489208,75802952,12313744
2005:Q3,61983784,73997830,12014046
2005:Q2,60311123,71963762,11652639
2005:Q1,58831139,70148515,11317376
2004:Q4,57904451,69012260,11107809
2004:Q3,55674681,66425595,10750914
2004:Q2,54358814,64828835,10470022
2004:Q1,53590668,63743778,10153110
2003:Q4,51045887,61003695,9957809
2003:Q3,49081033,58779883,9698850
2003:Q2,48209357,57651209,9441852
2003:Q1,46324863,55378718,9053855
2002:Q4,46072867,54937029,8864162
2002:Q3,45101014,53716730,8615716
2002:Q2,46205637,54598114,8392477
2002:Q1,46854415,55056794,8202378
2001:Q4,46161039,54228451,8067411
2001:Q3,44606122,52543964,7937842
2001:Q2,45660912,53344290,7683378
2001:Q1,44432025,51912890,7480866
2000:Q4,44558335,51984440,7426106
2000:Q3,45045099,52333196,7288098
2000:Q2,44354107,51456860,7102753
2000:Q1,44415551,51371616,6956065
1999:Q4,43328512,50177572,6849061
1999:Q3,40713273,47389633,6676360
1999:Q2,40750325,47264943,6514618
1999:Q1,39661570,46019817,6358247
1998:Q4,39352368,45621951,6269583
1998:Q3,37270901,43393171,6122270
1998:Q2,37922172,43927610,6005438
1998:Q1,37246679,43111718,5865039
1997:Q4,35591461,41399566,5808104
1997:Q3,34948544,40659735,5711192
1997:Q2,33919377,39509073,5589696
1997:Q1,32573821,38066631,5492810
1996:Q4,32245054,37695382,5450328
1996:Q3,31475942,36824856,5348914
1996:Q2,31165345,36415270,5249926
1996:Q1,30730025,35878995,5148970
1995:Q4,30122125,35199621,5077496
1995:Q3,29393518,34375438,4981921
1995:Q2,28944298,33811809,4867511
1995:Q1,28360458,33135072,4774615
1994:Q4,27784493,32528186,4743693
1994:Q3,27553415,32176293,4622878
1994:Q2,27169396,31702737,4533341
1994:Q1,26967330,31414826,4447496
1993:Q4,26785163,31199935,4414772
1993:Q3,26318112,30638645,4320533
1993:Q2,25897083,30130572,4233488
1993:Q1,25619348,29784396,4165047
1992:Q4,25264315,29421171,4156856
1992:Q3,24651051,28734711,4083660
1992:Q2,24300437,28316270,4015833
1992:Q1,24207657,28179395,3971738
1991:Q4,24150777,28102215,3951438
1991:Q3,23563234,27430869,3867635
1991:Q2,23261765,27087249,3825484
1991:Q1,23204884,26965024,3760140
1990:Q4,22652039,26386336,3734297
1990:Q3,22174447,25842077,3667630
1990:Q2,22335140,25939111,3603971
1990:Q1,22065632,25596504,3530872
1989:Q4,21971916,25434600,3462684
1989:Q3,21572299,24951533,3379234
1989:Q2,21032645,24327571,3294926
1989:Q1,20612300,23818838,3206537
1988:Q4,20176719,23338661,3161942
