Date,Cumulative,Value,Series
2000,9.482758621,9.482758621, US Securities Houses
2000,10.91954023,1.436781609, US Commercial Banks
2000,13.79310345,2.873563218, European LCFIs
2000,13.79310345,0, UK LCFIs
2001,4.597701149,4.597701149, US Securities Houses
2001,13.50574713,8.908045977, US Commercial Banks
2001,23.27586207,9.770114943, European LCFIs
2001,25.57471264,2.298850575, UK LCFIs
2002,17.52873563,17.52873563, US Securities Houses
2002,25.57471264,8.045977011, US Commercial Banks
2002,36.7816092,11.20689655, European LCFIs
2002,41.66666667,4.885057471, UK LCFIs
2003,38.2183908,38.2183908, US Securities Houses
2003,54.59770115,16.37931034, US Commercial Banks
2003,68.3908046,13.79310345, European LCFIs
2003,72.98850575,4.597701149, UK LCFIs
2004,85.05747126,85.05747126, US Securities Houses
2004,96.83908046,11.7816092, US Commercial Banks
2004,117.2413793,20.40229885, European LCFIs
2004,123.5632184,6.32183908, UK LCFIs
2005,118.1034483,118.1034483, US Securities Houses
2005,140.8045977,22.70114943, US Commercial Banks
2005,168.9655172,28.16091954, European LCFIs
2005,182.4712644,13.50574713, UK LCFIs
2006,118.3908046,118.3908046, US Securities Houses
2006,152.0114943,33.62068966, US Commercial Banks
2006,199.137931,47.12643678, European LCFIs
2006,227.0114943,27.87356322, UK LCFIs
2007 Q1,27.87356322,27.87356322, US Securities Houses
2007 Q1,36.20689655,8.333333333, US Commercial Banks
2007 Q1,44.54022989,8.333333333, European LCFIs
2007 Q1,49.13793103,4.597701149, UK LCFIs
2007 Q2,20.11494253,20.11494253, US Securities Houses
2007 Q2,27.5862069,7.471264368, US Commercial Banks
2007 Q2,30.74712644,3.16091954, European LCFIs
2007 Q2,37.35632184,6.609195402, UK LCFIs
2007 Q3,3.16091954,3.16091954, US Securities Houses
2007 Q3,3.448275862,0.287356322, US Commercial Banks
2007 Q3,5.459770115,2.011494253, European LCFIs
2007 Q3,6.609195402,1.149425287, UK LCFIs
