Year,Series,Value
1650,GDP Per Capita,897.0
1720,GDP Per Capita,1768.9856
1775,GDP Per Capita,2419.0
1800,GDP Per Capita,2545.488
1801,GDP Per Capita,2591.7695
1802,GDP Per Capita,2635.48
1803,GDP Per Capita,2590.484
1804,GDP Per Capita,2587.9128
1805,GDP Per Capita,2643.1936
1806,GDP Per Capita,2690.7607
1807,GDP Per Capita,2717.7583
1808,GDP Per Capita,2526.204
1809,GDP Per Capita,2652.1929
1810,GDP Per Capita,2725.472
1811,GDP Per Capita,2780.7527
1812,GDP Per Capita,2731.9
1813,GDP Per Capita,2762.7544
1814,GDP Per Capita,2815.464
1815,GDP Per Capita,2803.8936
1816,GDP Per Capita,2690.7607
1817,GDP Per Capita,2688.1897
1818,GDP Per Capita,2694.6177
1819,GDP Per Capita,2690.7607
1820,GDP Per Capita,2674.048
1821,GDP Per Capita,2715.1873
1822,GDP Per Capita,2791.0376
1823,GDP Per Capita,2760.183
1824,GDP Per Capita,2836.0337
1825,GDP Per Capita,2897.7424
1826,GDP Per Capita,2918.312
1827,GDP Per Capita,2929.8823
1828,GDP Per Capita,2929.8823
1829,GDP Per Capita,2833.4624
1830,GDP Per Capita,3039.1584
1831,GDP Per Capita,3225.5703
1832,GDP Per Capita,3342.56
1833,GDP Per Capita,3459.5496
1834,GDP Per Capita,3294.993
1835,GDP Per Capita,3419.696
1836,GDP Per Capita,3469.8345
1837,GDP Per Capita,3360.5583
1838,GDP Per Capita,3329.704
1839,GDP Per Capita,3491.6897
1840,GDP Per Capita,3319.4192
1841,GDP Per Capita,3252.568
1842,GDP Per Capita,3222.9993
1843,GDP Per Capita,3274.423
1844,GDP Per Capita,3453.1216
1845,GDP Per Capita,3505.8313
1846,GDP Per Capita,3526.401
1847,GDP Per Capita,3618.964
1848,GDP Per Capita,3712.8127
1849,GDP Per Capita,3616.3928
1850,GDP Per Capita,3631.82
1851,GDP Per Capita,3778.3784
1852,GDP Per Capita,3971.2185
1853,GDP Per Capita,4242.48
1854,GDP Per Capita,4254.0503
1855,GDP Per Capita,4161.4873
1856,GDP Per Capita,4247.6226
1857,GDP Per Capita,4156.3447
1858,GDP Per Capita,4176.9146
1859,GDP Per Capita,4288.7617
1860,GDP Per Capita,4401.8945
1861,GDP Per Capita,4311.9023
1862,GDP Per Capita,4446.8906
1863,GDP Per Capita,4733.579
1864,GDP Per Capita,4889.1367
1865,GDP Per Capita,4637.159
1866,GDP Per Capita,4599.877
1867,GDP Per Capita,4751.5776
1868,GDP Per Capita,4815.8574
1869,GDP Per Capita,4943.132
1870,GDP Per Capita,4803.0015
1871,GDP Per Capita,4918.7056
1872,GDP Per Capita,4991.985
1873,GDP Per Capita,5116.688
1874,GDP Per Capita,4964.9873
1875,GDP Per Capita,5105.1177
1876,GDP Per Capita,5049.837
1877,GDP Per Capita,5098.6895
1878,GDP Per Capita,5198.9663
1879,GDP Per Capita,5715.778
1880,GDP Per Capita,6255.7295
1881,GDP Per Capita,6317.4385
1882,GDP Per Capita,6557.8457
1883,GDP Per Capita,6559.1313
1884,GDP Per Capita,6523.1343
1885,GDP Per Capita,6424.143
1886,GDP Per Capita,6471.7104
1887,GDP Per Capita,6616.9834
1888,GDP Per Capita,6447.284
1889,GDP Per Capita,6705.6895
1890,GDP Per Capita,6664.5503
1891,GDP Per Capita,6811.109
1892,GDP Per Capita,7324.063
1893,GDP Per Capita,6834.2495
1894,GDP Per Capita,6510.2783
1895,GDP Per Capita,7159.5063
1896,GDP Per Capita,6885.674
1897,GDP Per Capita,7406.342
1898,GDP Per Capita,7426.911
1899,GDP Per Capita,7959.1494
1900,GDP Per Capita,8037.5713
1901,GDP Per Capita,8770.363
1902,GDP Per Capita,8684.228
1903,GDP Per Capita,8941.348
1904,GDP Per Capita,8663.658
1905,GDP Per Capita,9121.332
1906,GDP Per Capita,9980.113
1907,GDP Per Capita,9950.544
1908,GDP Per Capita,8975.977
1909,GDP Per Capita,9798.118
1910,GDP Per Capita,9636.782
1911,GDP Per Capita,9735.89
1912,GDP Per Capita,9976.567
1913,GDP Per Capita,10107.97
1914,GDP Per Capita,9096.372
1915,GDP Per Capita,9164.177
1916,GDP Per Capita,10222.32
1917,GDP Per Capita,9769.078
1918,GDP Per Capita,10471.306
1919,GDP Per Capita,10449.78
1920,GDP Per Capita,10152.927
1921,GDP Per Capita,9674.881
1922,GDP Per Capita,10009.715
1923,GDP Per Capita,11071.243
1924,GDP Per Capita,11126.713
1925,GDP Per Capita,11149.772
1926,GDP Per Capita,11647.768
1927,GDP Per Capita,11532.397
1928,GDP Per Capita,11451.069
1929,GDP Per Capita,11954.235
1930,GDP Per Capita,10694.982
1931,GDP Per Capita,9930.964
1932,GDP Per Capita,8380.505
1933,GDP Per Capita,8048.2246
1934,GDP Per Capita,8667.092
1935,GDP Per Capita,9680.839
1936,GDP Per Capita,10568.013
1937,GDP Per Capita,11295.099
1938,GDP Per Capita,10526.134
1939,GDP Per Capita,11171.448
1940,GDP Per Capita,12005.095
1941,GDP Per Capita,13553.401
1942,GDP Per Capita,14869.861
1943,GDP Per Capita,16050.218
1944,GDP Per Capita,16999.328
1945,GDP Per Capita,16477.553
1946,GDP Per Capita,14822.467
1947,GDP Per Capita,14311.547
1948,GDP Per Capita,14734.232
1949,GDP Per Capita,14196.672
1950,GDP Per Capita,15240.0
1951,GDP Per Capita,16125.0
1952,GDP Per Capita,16444.0
1953,GDP Per Capita,16917.0
1954,GDP Per Capita,16512.0
1955,GDP Per Capita,17370.0
1956,GDP Per Capita,17397.0
1957,GDP Per Capita,17406.0
1958,GDP Per Capita,16946.0
1959,GDP Per Capita,17900.0
1960,GDP Per Capita,18057.0
1961,GDP Per Capita,18175.0
1962,GDP Per Capita,18976.0
1963,GDP Per Capita,19514.0
1964,GDP Per Capita,20360.0
1965,GDP Per Capita,21390.0
1966,GDP Per Capita,22529.0
1967,GDP Per Capita,22842.0
1968,GDP Per Capita,23691.0
1969,GDP Per Capita,24195.0
1970,GDP Per Capita,23958.0
1971,GDP Per Capita,24394.0
1972,GDP Per Capita,25414.0
1973,GDP Per Capita,26602.0
1974,GDP Per Capita,26286.0
1975,GDP Per Capita,25956.0
1976,GDP Per Capita,27058.0
1977,GDP Per Capita,28001.0
1978,GDP Per Capita,29286.0
1979,GDP Per Capita,29949.0
1980,GDP Per Capita,29611.0
1981,GDP Per Capita,30056.0
1982,GDP Per Capita,29210.0
1983,GDP Per Capita,30158.0
1984,GDP Per Capita,32076.0
1985,GDP Per Capita,33023.0
1986,GDP Per Capita,33850.0
1987,GDP Per Capita,34730.0
1988,GDP Per Capita,35863.0
1989,GDP Per Capita,36756.0
1990,GDP Per Capita,36982.0
1991,GDP Per Capita,36463.957
1992,GDP Per Capita,37240.3
1993,GDP Per Capita,37761.535
1994,GDP Per Capita,38807.28
1995,GDP Per Capita,39390.625
1996,GDP Per Capita,40412.75
1997,GDP Per Capita,41722.67
1998,GDP Per Capita,43072.758
1999,GDP Per Capita,44575.848
2000,GDP Per Capita,45886.47
2001,GDP Per Capita,45878.008
2002,GDP Per Capita,46266.297
2003,GDP Per Capita,47157.996
2004,GDP Per Capita,48492.72
2005,GDP Per Capita,49654.76
2006,GDP Per Capita,50489.86
2007,GDP Per Capita,50901.746
2008,GDP Per Capita,50275.746
2009,GDP Per Capita,48452.934
2010,GDP Per Capita,49266.914
2011,GDP Per Capita,49675.0
2012,GDP Per Capita,50394.0
2013,GDP Per Capita,50863.0
2014,GDP Per Capita,51664.0
2015,GDP Per Capita,52591.0
2016,GDP Per Capita,53015.0
2017,GDP Per Capita,54007.77
2018,GDP Per Capita,55334.74
