,Date,month,yield,maturity
4665,2004,1 Mo,0.0206,1
9559,2004,2 Mo,0.0222,2
14453,2004,3 Mo,0.0222,3
19347,2004,4 Mo,0.024,4
24241,2004,6 Mo,0.024,6
29135,2004,1 Yr,0.026000000000000002,12
34029,2004,2 Yr,0.0301,24
38923,2004,3 Yr,0.032799999999999996,36
43817,2004,5 Yr,0.037200000000000004,60
48711,2004,7 Yr,0.0408,84
53605,2004,10 Yr,0.0438,120
58499,2004,20 Yr,0.0504,240
63393,2004,30 Yr,0.0504,360
4414,2005,1 Mo,0.039900000000000005,1
9308,2005,2 Mo,0.0397,2
14202,2005,3 Mo,0.0397,3
19096,2005,4 Mo,0.0432,4
23990,2005,6 Mo,0.0432,6
28884,2005,1 Yr,0.0436,12
33778,2005,2 Yr,0.044500000000000005,24
38672,2005,3 Yr,0.0444,36
43566,2005,5 Yr,0.044500000000000005,60
48460,2005,7 Yr,0.0447,84
53354,2005,10 Yr,0.0452,120
58248,2005,20 Yr,0.0483,240
63142,2005,30 Yr,0.0483,360
4163,2006,1 Mo,0.0521,1
9057,2006,2 Mo,0.050300000000000004,2
13951,2006,3 Mo,0.050300000000000004,3
18845,2006,4 Mo,0.050499999999999996,4
23739,2006,6 Mo,0.050499999999999996,6
28633,2006,1 Yr,0.0487,12
33527,2006,2 Yr,0.0452,24
38421,2006,3 Yr,0.0443,36
43315,2006,5 Yr,0.043899999999999995,60
48209,2006,7 Yr,0.043899999999999995,84
53103,2006,10 Yr,0.0443,120
57997,2006,20 Yr,0.0464,240
62891,2006,30 Yr,0.0454,360
3932,2007,1 Mo,0.039,1
8826,2007,2 Mo,0.0381,2
13720,2007,3 Mo,0.0381,3
18614,2007,4 Mo,0.0395,4
23508,2007,6 Mo,0.0395,6
28402,2007,1 Yr,0.038900000000000004,12
33296,2007,2 Yr,0.0377,24
38190,2007,3 Yr,0.038,36
43084,2007,5 Yr,0.04019999999999999,60
47978,2007,7 Yr,0.0416,84
52872,2007,10 Yr,0.0436,120
57766,2007,20 Yr,0.046900000000000004,240
62660,2007,30 Yr,0.0464,360
3663,2008,1 Mo,0.0009,1
8557,2008,2 Mo,0.0007000000000000001,2
13451,2008,3 Mo,0.0007000000000000001,3
18345,2008,4 Mo,0.0044,4
23239,2008,6 Mo,0.0044,6
28133,2008,1 Yr,0.008100000000000001,12
33027,2008,2 Yr,0.009000000000000001,24
37921,2008,3 Yr,0.0116,36
42815,2008,5 Yr,0.0171,60
47709,2008,7 Yr,0.0213,84
52603,2008,10 Yr,0.027200000000000002,120
57497,2008,20 Yr,0.0351,240
62391,2008,30 Yr,0.0322,360
3413,2009,1 Mo,0.0009,1
8307,2009,2 Mo,0.0006,2
13201,2009,3 Mo,0.0006,3
18095,2009,4 Mo,0.0015,4
22989,2009,6 Mo,0.0015,6
27883,2009,1 Yr,0.0026,12
32777,2009,2 Yr,0.0067,24
37671,2009,3 Yr,0.011399999999999999,36
