,Date,Value,Series
0,1970-01-01 00:00:00.000001999,61.56405990016638,Local
-1,1970-01-01 00:00:00.000001999,26.20632279534109,State
2,1970-01-01 00:00:00.000002000,66.13976705490848,Local
1,1970-01-01 00:00:00.000002000,28.702163061564036,State
4,1970-01-01 00:00:00.000002001,71.96339434276209,Local
3,1970-01-01 00:00:00.000002001,30.78202995008319,State
6,1970-01-01 00:00:00.000002002,79.86688851913476,Local
5,1970-01-01 00:00:00.000002002,34.94176372712146,State
8,1970-01-01 00:00:00.000002003,95.6738768718802,Local
7,1970-01-01 00:00:00.000002003,47.004991680532456,State
10,1970-01-01 00:00:00.000002004,101.08153078202996,Local
9,1970-01-01 00:00:00.000002004,48.66888519134774,State
12,1970-01-01 00:00:00.000002005,105.24126455906823,Local
11,1970-01-01 00:00:00.000002005,51.580698835274546,State
14,1970-01-01 00:00:00.000002006,109.81697171381032,Local
13,1970-01-01 00:00:00.000002006,54.07653910149748,State
16,1970-01-01 00:00:00.000002007,115.6405990016639,Local
15,1970-01-01 00:00:00.000002007,54.90848585690517,State
18,1970-01-01 00:00:00.000002008,122.71214642262895,Local
17,1970-01-01 00:00:00.000002008,58.65224625623958,State
20,1970-01-01 00:00:00.000002009,127.28785357737105,Local
19,1970-01-01 00:00:00.000002009,56.98835274542429,State
22,1970-01-01 00:00:00.000002010,135.19134775374377,Local
21,1970-01-01 00:00:00.000002010,61.148086522462556,State
24,1970-01-01 00:00:00.000002011,143.92678868552414,Local
23,1970-01-01 00:00:00.000002011,64.891846921797,State
26,1970-01-01 00:00:00.000002012,144.7587354409318,Local
25,1970-01-01 00:00:00.000002012,64.47587354409318,State
28,1970-01-01 00:00:00.000002013,147.25457570715474,Local
27,1970-01-01 00:00:00.000002013,63.64392678868554,State
30,1970-01-01 00:00:00.000002014,147.67054908485858,Local
29,1970-01-01 00:00:00.000002014,65.72379367720465,State
32,1970-01-01 00:00:00.000002015,146.4226289517471,Local
31,1970-01-01 00:00:00.000002015,64.05990016638935,State
34,1970-01-01 00:00:00.000002016,150.16638935108153,Local
33,1970-01-01 00:00:00.000002016,65.72379367720465,State
36,1970-01-01 00:00:00.000002017,153.49417637271216,Local
35,1970-01-01 00:00:00.000002017,61.980033277870206,State
38,1970-01-01 00:00:00.000002018,163.89351081530782,Local
37,1970-01-01 00:00:00.000002018,67.38768718802,State
40,1970-01-01 00:00:00.000002019,163.89351081530782,Local
39,1970-01-01 00:00:00.000002019,64.891846921797,State
42,1970-01-01 00:00:00.000002020,163.06156405990018,Local
41,1970-01-01 00:00:00.000002020,64.891846921797,State
44,1970-01-01 00:00:00.000002021,162.2296173044925,Local
43,1970-01-01 00:00:00.000002021,64.891846921797,State
46,1970-01-01 00:00:00.000002022,163.89351081530782,Local
45,1970-01-01 00:00:00.000002022,64.891846921797,State
48,1970-01-01 00:00:00.000002023,167.63727121464228,Local
47,1970-01-01 00:00:00.000002023,66.5557404326123,State
50,1970-01-01 00:00:00.000002024,173.04492512479203,Local
49,1970-01-01 00:00:00.000002024,69.05158069883527,State
52,1970-01-01 00:00:00.000002025,182.1963394342762,Local
51,1970-01-01 00:00:00.000002025,72.3793677204659,State
54,1970-01-01 00:00:00.000002026,193.0116472545757,Local
53,1970-01-01 00:00:00.000002026,76.955074875208,State
56,1970-01-01 00:00:00.000002027,205.0748752079867,Local
55,1970-01-01 00:00:00.000002027,81.53078202995009,State
