Date,Value,Series
1940,0.0810,Held by Government
1941,0.0800,Held by Government
1942,0.0780,Held by Government
1943,0.0810,Held by Government
1944,0.0900,Held by Government
1945,0.1100,Held by Government
1946,0.1280,Held by Government
1947,0.1370,Held by Government
1948,0.1370,Held by Government
1949,0.1380,Held by Government
1950,0.1360,Held by Government
1951,0.1250,Held by Government
1952,0.1240,Held by Government
1953,0.1250,Held by Government
1954,0.1200,Held by Government
1955,0.1180,Held by Government
1956,0.1150,Held by Government
1957,0.1140,Held by Government
1958,0.1130,Held by Government
1959,0.1050,Held by Government
1960,0.1000,Held by Government
1961,0.0990,Held by Government
1962,0.0940,Held by Government
1963,0.0910,Held by Government
1964,0.0890,Held by Government
1965,0.0870,Held by Government
1966,0.0830,Held by Government
1967,0.0880,Held by Government
1968,0.0880,Held by Government
1969,0.0890,Held by Government
1970,0.0930,Held by Government
1971,0.0940,Held by Government
1972,0.0930,Held by Government
1973,0.0930,Held by Government
1974,0.0950,Held by Government
1975,0.0920,Held by Government
1976,0.0850,Held by Government
TQ,0.0780,Held by Government
1977,0.0780,Held by Government
1978,0.0750,Held by Government
1979,0.0740,Held by Government
1980,0.0710,Held by Government
1981,0.0660,Held by Government
1982,0.0640,Held by Government
1983,0.0660,Held by Government
1984,0.0650,Held by Government
1985,0.0730,Held by Government
1986,0.0840,Held by Government
1987,0.0960,Held by Government
1988,0.1070,Held by Government
1989,0.1220,Held by Government
1990,0.1350,Held by Government
1991,0.1490,Held by Government
1992,0.1560,Held by Government
1993,0.1630,Held by Government
1994,0.1690,Held by Government
1995,0.1740,Held by Government
1996,0.1820,Held by Government
1997,0.1890,Held by Government
1998,0.1970,Held by Government
1999,0.2080,Held by Government
2000,0.2190,Held by Government
2001,0.2330,Held by Government
2002,0.2450,Held by Government
2003,0.2520,Held by Government
2004,0.2540,Held by Government
2005,0.2580,Held by Government
2006,0.2660,Held by Government
2007,0.2740,Held by Government
2008,0.2830,Held by Government
2009,0.2990,Held by Government
2010,0.3030,Held by Government
2011,0.3000,Held by Government
2012,0.2960,Held by Government
2013,0.2840,Held by Government
2014,0.2890,Held by Government
2015,0.2770,Held by Government
2016,0.2900,Held by Government
2017,0.2880,Held by Government
2018,0.2810,Held by Government
2019,0.2770,Held by Government
2020,0.2790,Held by Government
2021,0.2690,Held by Government
2022,0.2630,Held by Government
2023,0.2580,Held by Government
2024,0.2580,Held by Government
2025,0.2540,Held by Government
2026,0.2510,Held by Government
2027,0.2430,Held by Government
2028,0.2320,Held by Government
1940,0.4360,Held by Public
1941,0.4150,Held by Public
1942,0.4590,Held by Public
1943,0.6920,Held by Public
1944,0.8640,Held by Public
1945,1.0390,Held by Public
1946,1.0610,Held by Public
1947,0.9390,Held by Public
1948,0.8260,Held by Public
1949,0.7750,Held by Public
1950,0.7860,Held by Public
1951,0.6550,Held by Public
1952,0.6010,Held by Public
1953,0.5720,Held by Public
1954,0.5800,Held by Public
1955,0.5580,Held by Public
1956,0.5070,Held by Public
1957,0.4730,Held by Public
1958,0.4780,Held by Public
1959,0.4650,Held by Public
1960,0.4430,Held by Public
1961,0.4360,Held by Public
1962,0.4230,Held by Public
1963,0.4110,Held by Public
1964,0.3880,Held by Public
1965,0.3680,Held by Public
1966,0.3380,Held by Public
1967,0.3190,Held by Public
1968,0.3230,Held by Public
1969,0.2840,Held by Public
1970,0.2710,Held by Public
1971,0.2710,Held by Public
1972,0.2650,Held by Public
1973,0.2520,Held by Public
1974,0.2320,Held by Public
1975,0.2460,Held by Public
1976,0.2670,Held by Public
1977,0.2710,Held by Public
1978,0.2670,Held by Public
1979,0.2500,Held by Public
1980,0.2550,Held by Public
1981,0.2520,Held by Public
1982,0.2790,Held by Public
1983,0.3220,Held by Public
1984,0.3310,Held by Public
1985,0.3530,Held by Public
1986,0.3850,Held by Public
1987,0.3960,Held by Public
1988,0.3990,Held by Public
1989,0.3940,Held by Public
1990,0.4090,Held by Public
1991,0.4410,Held by Public
1992,0.4680,Held by Public
1993,0.4790,Held by Public
1994,0.4780,Held by Public
1995,0.4770,Held by Public
1996,0.4700,Held by Public
1997,0.4460,Held by Public
1998,0.4170,Held by Public
1999,0.3830,Held by Public
2000,0.3370,Held by Public
2001,0.3150,Held by Public
2002,0.3270,Held by Public
2003,0.3470,Held by Public
2004,0.3570,Held by Public
2005,0.3580,Held by Public
2006,0.3540,Held by Public
2007,0.3520,Held by Public
2008,0.3920,Held by Public
2009,0.5220,Held by Public
2010,0.6060,Held by Public
2011,0.6550,Held by Public
2012,0.7000,Held by Public
2013,0.7190,Held by Public
2014,0.7360,Held by Public
2015,0.7250,Held by Public
2016,0.7640,Held by Public
2017,0.7620,Held by Public
2018,0.7760,Held by Public
2019,0.7940,Held by Public
2020,0.9980,Held by Public
2021,0.9840,Held by Public
2022,0.9700,Held by Public
2023,0.9840,Held by Public
2024,1.0200,Held by Public
2025,1.0410,Held by Public
2026,1.0520,Held by Public
2027,1.0630,Held by Public
2028,1.0720,Held by Public
