,Year,Country_ID,Country_ISO3,RTA_count
0,1950,710,ZAF,2
1,1950,710,ZAF,2
2,1951,710,ZAF,2
3,1951,710,ZAF,2
4,1952,710,ZAF,2
5,1952,710,ZAF,2
6,1953,710,ZAF,2
7,1953,710,ZAF,2
8,1954,710,ZAF,2
9,1954,710,ZAF,2
10,2000,710,ZAF,16
11,2000,710,ZAF,16
12,2001,710,ZAF,27
13,2001,710,ZAF,27
14,2002,710,ZAF,27
15,2002,710,ZAF,27
16,2003,710,ZAF,27
17,2003,710,ZAF,27
18,2004,710,ZAF,27
19,2004,710,ZAF,27
20,2005,710,ZAF,27
21,2005,710,ZAF,27
22,2006,710,ZAF,27
23,2006,710,ZAF,27
24,2007,710,ZAF,27
25,2007,710,ZAF,27
26,2008,710,ZAF,27
27,2008,710,ZAF,27
28,2009,710,ZAF,29
29,2009,710,ZAF,29
30,2010,710,ZAF,29
31,2010,710,ZAF,29
32,2011,710,ZAF,29
33,2011,710,ZAF,29
34,2012,710,ZAF,29
35,2012,710,ZAF,29
36,2013,710,ZAF,29
37,2013,710,ZAF,29
38,2014,710,ZAF,29
39,2014,710,ZAF,29
40,2015,710,ZAF,29
41,2015,710,ZAF,29
42,2016,710,ZAF,30
43,2016,710,ZAF,30
44,2017,710,ZAF,44
45,2017,710,ZAF,44
46,2018,710,ZAF,44
47,2018,710,ZAF,44
48,2019,710,ZAF,44
49,2019,710,ZAF,44
50,2020,710,ZAF,44
51,2020,710,ZAF,44
52,2021,710,ZAF,44
53,2021,710,ZAF,44
54,2022,710,ZAF,44
55,2022,710,ZAF,44
56,2023,710,ZAF,44
57,2023,710,ZAF,44
58,1950,716,ZWE,2
59,1951,716,ZWE,2
60,1952,716,ZWE,2
61,1953,716,ZWE,2
62,1954,716,ZWE,2
63,1990,716,ZWE,43
64,1991,716,ZWE,43
65,1992,716,ZWE,43
66,1993,716,ZWE,43
67,1994,716,ZWE,44
68,1995,716,ZWE,58
69,1996,716,ZWE,58
70,1997,716,ZWE,58
71,1998,716,ZWE,58
72,1999,716,ZWE,58
73,2000,716,ZWE,61
74,2001,716,ZWE,63
75,2002,716,ZWE,63
76,2003,716,ZWE,63
77,2004,716,ZWE,63
78,2005,716,ZWE,63
79,2006,716,ZWE,63
80,2007,716,ZWE,63
81,2008,716,ZWE,63
82,2009,716,ZWE,63
83,2010,716,ZWE,64
84,2011,716,ZWE,64
85,2012,716,ZWE,64
86,2013,716,ZWE,90
87,2014,716,ZWE,90
88,2015,716,ZWE,90
89,2016,716,ZWE,90
90,2017,716,ZWE,90
91,2018,716,ZWE,90
92,2019,716,ZWE,90
93,2020,716,ZWE,91
94,2021,716,ZWE,91
95,2022,716,ZWE,91
96,2023,716,ZWE,91
97,1952,222,SLV,2
98,1953,222,SLV,2
99,1954,222,SLV,2
100,1955,222,SLV,2
101,1956,222,SLV,2
102,1957,222,SLV,2
103,1958,222,SLV,2
104,1959,222,SLV,2
105,1960,222,SLV,5
106,1961,222,SLV,5
107,1962,222,SLV,6
108,1963,222,SLV,6
109,1964,222,SLV,6
110,1965,222,SLV,6
