Country_ID,country_ids_str,Country_ISO3
710,470 752 894 276 203 716 450 690 300 710 233 516 705 440 826 372 710 191 454 not found 442 616 748 380 642 834 208 480 528 100 040 246 620 072 not found 703 250 426 428 724 056 348 196 508,ZAF
710,470 752 894 276 203 716 450 690 300 710 233 516 705 440 826 372 710 191 454 not found 442 616 748 380 642 834 208 480 528 100 040 246 620 072 not found 703 250 426 428 724 056 348 196 508,ZAF
716,702 203 716 404 450 710 233 231 440 191 360 434 442 072 504 104 703 324 426 729 348 012 894 108 076 068 372 608 616 380 218 170 100 040 484 250 204 056 704 705 174 300 408 516 410 454 834 788 528 620 192 604 862 428 032 262 152 508 024 470 780 752 458 288 276 690 800 356 826 120 642 748 368 180 706 586 480 208 646 246 364 050 144 764 724 558 566 232 196 328 818,ZWE
222,218 170 340 320 558 410 826 222 840 158 192 152 484 188 591 214,SLV
558,702 780 458 288 214 716 188 840 408 076 356 068 410 120 826 360 434 608 642 368 834 788 218 170 586 192 364 504 484 604 050 144 104 764 862 324 729 340 320 558 032 566 222 204 152 012 704 508 328 591 818,NIC
40,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,AUT
100,470 702 070 780 752 670 214 276 882 288 052 203 174 716 450 690 196 300 498 710 090 233 516 704 440 191 372 826 598 688 499 410 659 120 392 442 616 642 380 308 662 384 748 218 170 208 480 528 100 040 212 246 620 242 072 028 044 604 804 703 250 268 428 740 426 724 124 388 348 056 705 508 328 084,BGR
191,470 702 752 288 276 882 203 174 716 450 690 196 300 498 710 090 233 516 704 440 191 372 826 120 598 392 442 616 642 380 748 384 218 170 208 480 528 100 040 246 620 072 242 604 804 703 250 268 428 426 724 124 348 056 705 508,HRV
196,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,CYP
203,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,CZE
208,702 882 203 716 450 352 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 760 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 020 578 788 528 620 028 044 604 804 756 428 740 807 152 508 470 780 752 288 276 690 826 120 438 642 662 748 384 208 480 246 792 724 124 196 818 328 214,DNK
233,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,EST
246,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,FIN
300,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 020 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,GRC
348,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,HUN
372,702 882 203 716 450 352 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 760 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 020 578 788 528 620 028 044 604 804 756 428 740 807 152 508 470 780 752 288 276 690 826 120 438 642 662 748 384 208 480 246 792 724 124 196 818 328 214,IRL
428,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,LVA
440,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,LTU
470,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,MLT
616,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,POL
620,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 020 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,PRT
642,470 702 070 780 752 670 214 276 882 288 052 203 174 716 450 690 196 300 498 710 090 233 516 704 440 191 372 826 598 688 499 410 659 120 392 442 616 642 380 308 662 384 748 218 170 208 480 528 100 040 212 246 620 242 072 028 044 604 804 703 250 268 428 740 426 724 124 388 348 056 705 508 328 084,ROU
703,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,SVK
705,702 882 203 716 450 710 233 440 191 442 212 072 242 703 268 426 348 012 090 598 372 659 616 308 380 218 170 100 040 250 388 056 704 705 084 070 670 052 174 300 498 008 516 688 410 499 392 528 620 028 044 604 804 428 740 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 724 124 196 818 328 214,SVN
724,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 020 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,ESP
752,702 882 203 716 450 710 376 233 440 191 442 674 212 072 242 504 703 268 422 426 348 012 090 598 372 659 275 616 308 380 218 170 400 100 040 484 250 388 056 705 704 084 070 670 234 052 174 300 498 008 516 688 410 499 392 788 528 620 028 044 604 804 428 740 807 152 508 470 780 752 288 276 690 826 120 642 662 748 384 208 480 246 792 724 124 196 818 328 214,SWE
826,702 780 670 234 214 882 288 052 716 404 690 332 498 188 352 376 090 508 008 826 598 410 710 438 120 392 659 688 275 578 308 662 384 788 218 170 nan not found 480 400 212 242 792 504 028 604 044 484 804 756 268 422 740 320 340 558 124 222 388 807 152 704 084 328 591 818,GBR
