Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
Recreational Therapists,51330,15920.0,29-1125,407.0,6.108100000000001,0.0028
Emergency Management Directors,79180,11290.0,11-9161,455.0,6.12,0.003
Mental Health and Substance Abuse Social Workers,51240,107940.0,21-1023,179.0,7.6648,0.0031
Audiologists,82680,13940.0,29-1181,428.0,11.0455,0.0033
Occupational Therapists,93180,134980.0,29-1122,151.0,7.727200000000001,0.0035
Orthotists and Prosthetists,77070,9150.0,29-2091,471.0,7.521699999999999,0.0035
Healthcare Social Workers,60280,182420.0,21-1022,121.0,7.8881,0.0035
Oral and Maxillofacial Surgeons,#,4290.0,29-1022,516.0,11.642400000000002,0.0036
Dietitians and Nutritionists,66450,69880.0,29-1031,234.0,7.166,0.0039
Lodging Managers,61910,39870.0,11-9081,301.0,4.890299999999999,0.0039
Choreographers,50990,5400.0,27-2032,508.0,5.0,0.004
Sales Engineers,108530,59700.0,41-9031,248.0,6.2689,0.0041
Instructional Coordinators,66490,198660.0,25-9031,116.0,7.6997,0.0042
"Dentists, General",155040,120740.0,29-1021,163.0,9.987799999999998,0.0044
"Elementary School Teachers, Except Special Education",61690,1394200.0,25-2021,14.0,6.278899999999999,0.0044
"Medical Scientists, Except Epidemiologists",99930,110550.0,19-1042,175.0,9.9748,0.0045
Podiatrists,148720,9320.0,29-1081,470.0,11.1233,0.0046
Fabric and Apparel Patternmakers,60320,3070.0,51-6092,532.0,3.5125,0.0049
Set and Exhibit Designers,59990,9490.0,27-1027,465.0,7.141399999999999,0.0055
Human Resources Managers,130000,181360.0,11-3121,123.0,6.3051,0.0055
Recreation Workers,31680,270380.0,39-9032,92.0,4.7645,0.0061
Training and Development Managers,120000,39550.0,11-3131,302.0,6.6283,0.0063
Computer Systems Analysts,102240,505210.0,15-1211,43.0,5.7551000000000005,0.0065
Social and Community Service Managers,74240,162880.0,11-9151,132.0,6.306699999999999,0.0067
Curators,60380,11620.0,25-4012,450.0,8.7438,0.0068
Athletic Trainers,53840,29720.0,29-9091,334.0,6.7554,0.0071
Medical and Health Services Managers,104830,476750.0,11-9111,45.0,6.249499999999999,0.0073
"Preschool Teachers, Except Special Education",35330,415360.0,25-2011,58.0,4.5002,0.0074
Anthropologists and Archeologists,63940,7350.0,19-3091,487.0,8.8095,0.0077
"Special Education Teachers, Secondary School",63560,152490.0,25-2058,140.0,6.502000000000001,0.0077
"Secondary School Teachers, Except Special and Career/Technical Education",62360,1042090.0,25-2031,19.0,6.9694,0.0078
Clergy,55550,53140.0,21-2011,263.0,7.3916,0.0081
Foresters,64220,9430.0,19-1032,467.5,5.6608,0.0081
"Career/Technical Education Teachers, Secondary School",62500,88280.0,25-2032,207.0,5.7582,0.0088
Registered Nurses,81220,3072700.0,29-1141,4.0,5.1293,0.009
Rehabilitation Counselors,39990,82420.0,21-1015,214.0,6.154,0.0094
Forensic Science Technicians,63740,17590.0,19-4092,393.0,4.7967,0.0095
