Processor,Transistor count,Year,Designer,Process,Area (mm2),Transistor,Designer Country,Bits,Name,Details
"Intel 4004 (4-bit, 16-pin)","2,250",1971,Intel,"10,000 nm",12 mm2,188,United States,4-bit,Intel 4004,"4-bit, 16-pin"
"TMX 1795 (?-bit, 24-pin)","3,078[17]",1971,Texas Instruments,?,30.64 mm2,1005,United States,other,TMX 1795,"?-bit, 24-pin"
"Intel 8008 (8-bit, 18-pin)","3,500",1972,Intel,"10,000 nm",14 mm2,250,United States,8-bit,Intel 8008,"8-bit, 18-pin"
Toshiba TLCS-12 (12-bit),"11,000+[21]",1973,Toshiba,"6,000 nm",32 mm2,340,Japan,12-bit,Toshiba TLCS-12,12-bit
"Intel 4040 (4-bit, 16-pin)","3,000",1974,Intel,"10,000 nm",12 mm2,250,United States,4-bit,Intel 4040,"4-bit, 16-pin"
"Motorola 6800 (8-bit, 40-pin)","4,100",1974,Motorola,"6,000 nm",16 mm2,256,United States,8-bit,Motorola 6800,"8-bit, 40-pin"
"Intel 8080 (8-bit, 40-pin)","6,000",1974,Intel,"6,000 nm",20 mm2,300,United States,8-bit,Intel 8080,"8-bit, 40-pin"
"TMS 1000 (4-bit, 28-pin)","8,000[b]",1974[22],Texas Instruments,"8,000 nm",11 mm2,730,United States,4-bit,TMS 1000,"4-bit, 28-pin"
"MOS Technology 6502(8-bit, 40-pin)","4,528[c][23]",1975,MOS Technology,"8,000 nm",21 mm2,216,United States,8-bit,MOS Technology 6502,"8-bit, 40-pin"
"RCA 1802 (8-bit, 40-pin)","5,000",1976,RCA,"5,000 nm",27 mm2,185,United States,8-bit,RCA 1802,"8-bit, 40-pin"
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)","8,500[d]",1976,Zilog,"4,000 nm",18 mm2,470,United States,8-bit,Zilog Z80,"8-bit, 4-bitALU, 40-pin"
"Intel 8085 (8-bit, 40-pin)","6,500",1976,Intel,"3,000 nm",20 mm2,325,United States,8-bit,Intel 8085,"8-bit, 40-pin"
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)","9,000",1978,Motorola,"5,000 nm",21 mm2,430,United States,8-bit,Motorola 6809,"8-bitwith some 16-bit features, 40-pin"
"Intel 8086 (16-bit, 40-pin)","29,000[24]",1978,Intel,"3,000 nm",33 mm2,880,United States,16-bit,Intel 8086,"16-bit, 40-pin"
"Intel 8088 (16-bit, 8-bit data bus)","29,000",1979,Intel,"3,000 nm",33 mm2,880,United States,16-bit,Intel 8088,"16-bit, 8-bit data bus"
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)","68,000[26]",1979,Motorola,"3,500 nm",44 mm2,1550,United States,32-bit,Motorola 68000,"16/32-bit,32-bit registers, 16-bitALU"
WDC 65C02,"11,500[27]",1981,WDC,"3,000 nm",6 mm2,1920,United States,other,,
ROMP (32-bit),"45,000",1981,IBM,"2,000 nm",58.52 mm2,770,United States,32-bit,ROMP,32-bit
"Intel 80186 (16-bit, 68-pin)","55,000",1982,Intel,"3,000 nm",60 mm2,920,United States,16-bit,Intel 80186,"16-bit, 68-pin"
"Intel 80286 (16-bit, 68-pin)","134,000",1982,Intel,"1,500 nm",49 mm2,2730,United States,16-bit,Intel 80286,"16-bit, 68-pin"
WDC 65C816 (8/16-bit),"22,000[28]",1983,WDC,"3,000 nm[29]",9 mm2,2400,United States,16-bit,WDC 65C816,8/16-bit
Motorola 68020 (32-bit; 114 pins used),"190,000[30]",1984,Motorola,"2,000 nm",85 mm2,2200,United States,32-bit,Motorola 68020,32-bit; 114 pins used
"Intel 80386 (32-bit, 132-pin; no cache)","275,000",1985,Intel,"1,500 nm",104 mm2,2640,United States,32-bit,Intel 80386,"32-bit, 132-pin; no cache"
ARM 1 (32-bit; no cache),"25,000[30]",1985,Acorn,"3,000 nm",50 mm2,500,United Kingdom,32-bit,ARM 1,32-bit; no cache
"ARM 2 (32-bit, 84-pin; no cache)","27,000[36][30]",1986,Acorn,"2,000 nm",30.25 mm2,890,United Kingdom,32-bit,ARM 2,"32-bit, 84-pin; no cache"
"Motorola 68030 (32-bit, very small caches)","273,000",1987,Motorola,800 nm,102 mm2,2680,United States,32-bit,Motorola 68030,"32-bit, very small caches"
DEC WRL MultiTitan,"180,000[40]",1988,DEC WRL,"1,500 nm",61 mm2,2950,United States,other,,
"Intel i960CA (32-bit, cache)","600,000[42]",1989,Intel,800 nm,143 mm2,4200,United States,32-bit,Intel i960CA,"32-bit, cache"
"Intel 80486 (32-bit, 4 KB cache)","1,180,235",1989,Intel,"1,000 nm",173 mm2,6822,United States,32-bit,Intel 80486,"32-bit, 4KB cache"
"ARM 3 (32-bit, 4 KB cache)","310,000",1989,Acorn,"1,500 nm",87 mm2,3600,United Kingdom,32-bit,ARM 3,"32-bit, 4KB cache"
"POWER1 (9-chip module, 72 kB of cache)","6,900,000[44]",1990,IBM,"1,000 nm","1,283.61 mm2",5375,United States,other,POWER1,"9-chip module, 72 kB of cache"
"Motorola 68040 (32-bit, 8 KB caches)","1,200,000",1990,Motorola,650 nm,152 mm2,7900,United States,32-bit,Motorola 68040,"32-bit, 8KB caches"
"R4000 (64-bit, 16 KB of caches)","1,350,000",1991,MIPS,"1,000 nm",213 mm2,6340,United States,64-bit,R4000,"64-bit, 16KB of caches"
"Hitachi SH-1 (32-bit, no cache)","600,000[45]",1992[46],Hitachi,800 nm,100 mm2,6000,Japan,32-bit,Hitachi SH-1,"32-bit, no cache"
"Intel i960CF (32-bit, cache)","900,000[42]",1992,Intel,?,125 mm2,7200,United States,32-bit,Intel i960CF,"32-bit, cache"
"Alpha 21064 (64-bit, 290-pin; 16 KB of caches)","1,680,000",1992,DEC,750 nm,233.52 mm2,7190,United States,64-bit,Alpha 21064,"64-bit, 290-pin; 16KB of caches"
"Hitachi HARP-1 (32-bit, cache)","2,800,000[47]",1993,Hitachi,500 nm,267 mm2,10500,Japan,32-bit,HitachiHARP-1,"32-bit, cache"
"Pentium (32-bit, 16 KB of caches)","3,100,000",1993,Intel,800 nm,294 mm2,10500,United States,32-bit,Pentium,"32-bit, 16KB of caches"
"POWER2 (8-chip module, 288 kB of cache)","23,037,000[48]",1993,IBM,720 nm,"1,217.39 mm2",18923,United States,other,POWER2,"8-chip module, 288 kB of cache"
ARM700 (32-bit; 8 KB cache),"578,977[49]",1994,ARM,700 nm,68.51 mm2,8451,United Kingdom,32-bit,ARM700,32-bit; 8KB cache
"Motorola 68060 (32-bit, 16 KB of caches)","2,500,000",1994,Motorola,600 nm,218 mm2,11500,United States,32-bit,Motorola 68060,"32-bit, 16KB of caches"
"PowerPC 601 (32-bit, 32 KB of caches)","2,800,000[52]",1994,"Apple, IBM, Motorola",600 nm,121 mm2,23000,Multiple Countries,32-bit,PowerPC 601,"32-bit, 32KB of caches"
"PowerPC 603 (32-bit, 16 KB of caches)","1,600,000[53]",1994,"Apple, IBM, Motorola",500 nm,84.76 mm2,18900,Multiple Countries,32-bit,PowerPC 603,"32-bit, 16KB of caches"
"PowerPC 603e (32-bit, 32 KB of caches)","2,600,000[54]",1995,"Apple, IBM, Motorola",500 nm,98 mm2,26500,Multiple Countries,32-bit,PowerPC 603e,"32-bit, 32KB of caches"
"Alpha 21164 EV5 (64-bit, 112 kB cache)","9,300,000[55]",1995,DEC,500 nm,298.65 mm2,31140,United States,64-bit,Alpha 21164EV5,"64-bit, 112 kB cache"
