Category: All categories

Month,Bob Dylan: (Worldwide)
2004-01,43
2004-02,44
2004-03,46
2004-04,50
2004-05,46
2004-06,48
2004-07,41
2004-08,39
2004-09,41
2004-10,50
2004-11,44
2004-12,51
2005-01,43
2005-02,45
2005-03,45
2005-04,45
2005-05,46
2005-06,43
2005-07,43
2005-08,44
2005-09,70
2005-10,67
2005-11,64
2005-12,54
2006-01,45
2006-02,44
2006-03,46
2006-04,46
2006-05,50
2006-06,38
2006-07,47
2006-08,59
2006-09,74
2006-10,50
2006-11,43
2006-12,42
2007-01,37
2007-02,38
2007-03,38
2007-04,42
2007-05,39
2007-06,38
2007-07,33
2007-08,36
2007-09,39
2007-10,43
2007-11,42
2007-12,46
2008-01,43
2008-02,43
2008-03,46
2008-04,39
2008-05,45
2008-06,43
2008-07,37
2008-08,36
2008-09,35
2008-10,38
2008-11,35
2008-12,36
2009-01,35
2009-02,35
2009-03,42
2009-04,45
2009-05,45
2009-06,33
2009-07,34
2009-08,40
2009-09,32
2009-10,36
2009-11,33
2009-12,36
2010-01,30
2010-02,31
2010-03,31
2010-04,32
2010-05,34
2010-06,31
2010-07,28
2010-08,29
2010-09,30
2010-10,31
2010-11,31
2010-12,30
2011-01,30
2011-02,36
2011-03,34
2011-04,34
2011-05,47
2011-06,32
2011-07,29
2011-08,27
2011-09,26
2011-10,30
2011-11,28
2011-12,25
2012-01,23
2012-02,26
2012-03,27
2012-04,28
2012-05,28
2012-06,23
2012-07,28
2012-08,25
2012-09,35
2012-10,26
2012-11,23
2012-12,22
2013-01,20
2013-02,20
2013-03,20
2013-04,22
2013-05,23
2013-06,22
2013-07,23
2013-08,21
2013-09,19
2013-10,21
2013-11,25
2013-12,23
2014-01,20
2014-02,24
2014-03,20
2014-04,21
2014-05,21
2014-06,18
2014-07,18
2014-08,17
2014-09,17
2014-10,18
2014-11,20
2014-12,18
2015-01,18
2015-02,22
2015-03,18
2015-04,18
2015-05,20
2015-06,17
2015-07,17
2015-08,16
2015-09,15
2015-10,19
2015-11,17
2015-12,18
2016-01,16
2016-02,15
2016-03,16
2016-04,17
2016-05,23
2016-06,16
2016-07,14
2016-08,13
2016-09,14
2016-10,100
2016-11,29
2016-12,29
2017-01,19
2017-02,18
2017-03,18
2017-04,21
2017-05,18
2017-06,16
2017-07,14
2017-08,13
2017-09,15
2017-10,17
2017-11,16
2017-12,17
2018-01,15
2018-02,15
2018-03,17
2018-04,16
2018-05,16
2018-06,13
2018-07,13
2018-08,15
2018-09,13
2018-10,13
2018-11,17
2018-12,16
2019-01,14
2019-02,15
2019-03,15
2019-04,16
2019-05,15
2019-06,20
2019-07,18
2019-08,14
2019-09,15
2019-10,15
2019-11,17
2019-12,13
2020-01,13
2020-02,13
2020-03,16
2020-04,19
2020-05,20
2020-06,20
2020-07,15
2020-08,14
2020-09,12
2020-10,12
2020-11,12
2020-12,18
2021-01,12
2021-02,12
2021-03,11
2021-04,11
2021-05,22
2021-06,11
2021-07,12
2021-08,18
2021-09,12
2021-10,11
2021-11,11
2021-12,11
2022-01,12
2022-02,11
2022-03,11
2022-04,12
2022-05,12
2022-06,12
2022-07,12
2022-08,10
2022-09,10
2022-10,12
2022-11,11
2022-12,11
2023-01,11
2023-02,10
2023-03,11
2023-04,11
2023-05,10
2023-06,11
2023-07,10
2023-08,10
2023-09,10
2023-10,10
2023-11,10
2023-12,11
2024-01,11
2024-02,18
2024-03,16
2024-04,12
2024-05,11
2024-06,10
2024-07,14
2024-08,12
2024-09,12
2024-10,14
2024-11,13
2024-12,40
2025-01,54
2025-02,45
2025-03,49
2025-04,31
2025-05,25
2025-06,20
2025-07,20
2025-08,16
2025-09,17
2025-10,17
2025-11,16
