Category: All categories

Month,Bob Marley: (Worldwide)
2004-01,50
2004-02,58
2004-03,50
2004-04,54
2004-05,57
2004-06,46
2004-07,45
2004-08,45
2004-09,49
2004-10,52
2004-11,49
2004-12,47
2005-01,54
2005-02,68
2005-03,53
2005-04,55
2005-05,53
2005-06,47
2005-07,41
2005-08,42
2005-09,44
2005-10,50
2005-11,49
2005-12,48
2006-01,44
2006-02,49
2006-03,47
2006-04,46
2006-05,51
2006-06,40
2006-07,37
2006-08,38
2006-09,39
2006-10,40
2006-11,38
2006-12,36
2007-01,37
2007-02,40
2007-03,37
2007-04,38
2007-05,40
2007-06,37
2007-07,35
2007-08,33
2007-09,36
2007-10,33
2007-11,34
2007-12,42
2008-01,51
2008-02,51
2008-03,45
2008-04,49
2008-05,51
2008-06,47
2008-07,44
2008-08,45
2008-09,45
2008-10,44
2008-11,44
2008-12,43
2009-01,47
2009-02,48
2009-03,46
2009-04,48
2009-05,48
2009-06,46
2009-07,43
2009-08,43
2009-09,41
2009-10,43
2009-11,43
2009-12,40
2010-01,43
2010-02,48
2010-03,44
2010-04,46
2010-05,50
2010-06,45
2010-07,48
2010-08,43
2010-09,43
2010-10,45
2010-11,49
2010-12,47
2011-01,48
2011-02,54
2011-03,48
2011-04,52
2011-05,70
2011-06,49
2011-07,51
2011-08,54
2011-09,49
2011-10,48
2011-11,48
2011-12,50
2012-01,49
2012-02,63
2012-03,52
2012-04,57
2012-05,57
2012-06,52
2012-07,50
2012-08,54
2012-09,50
2012-10,45
2012-11,46
2012-12,43
2013-01,40
2013-02,63
2013-03,44
2013-04,43
2013-05,44
2013-06,44
2013-07,42
2013-08,40
2013-09,41
2013-10,40
2013-11,39
2013-12,38
2014-01,38
2014-02,44
2014-03,37
2014-04,38
2014-05,37
2014-06,34
2014-07,35
2014-08,36
2014-09,32
2014-10,38
2014-11,33
2014-12,32
2015-01,33
2015-02,45
2015-03,33
2015-04,33
2015-05,35
2015-06,31
2015-07,33
2015-08,31
2015-09,29
2015-10,29
2015-11,28
2015-12,30
2016-01,27
2016-02,30
2016-03,26
2016-04,31
2016-05,31
2016-06,25
2016-07,24
2016-08,24
2016-09,23
2016-10,22
2016-11,23
2016-12,24
2017-01,22
2017-02,29
2017-03,23
2017-04,25
2017-05,24
2017-06,21
2017-07,23
2017-08,21
2017-09,19
2017-10,20
2017-11,19
2017-12,22
2018-01,19
2018-02,23
2018-03,20
2018-04,20
2018-05,22
2018-06,19
2018-07,19
2018-08,19
2018-09,18
2018-10,18
2018-11,18
2018-12,18
2019-01,16
2019-02,21
2019-03,17
2019-04,18
2019-05,18
2019-06,18
2019-07,17
2019-08,17
2019-09,16
2019-10,15
2019-11,15
2019-12,16
2020-01,16
2020-02,20
2020-03,15
2020-04,19
2020-05,20
2020-06,18
2020-07,16
2020-08,15
2020-09,14
2020-10,14
2020-11,13
2020-12,13
2021-01,13
2021-02,17
2021-03,14
2021-04,14
2021-05,18
2021-06,13
2021-07,12
2021-08,14
2021-09,12
2021-10,12
2021-11,12
2021-12,11
2022-01,11
2022-02,15
2022-03,12
2022-04,12
2022-05,13
2022-06,12
2022-07,13
2022-08,12
2022-09,11
2022-10,10
2022-11,10
2022-12,13
2023-01,11
2023-02,13
2023-03,11
2023-04,11
2023-05,12
2023-06,11
2023-07,17
2023-08,13
2023-09,11
2023-10,10
2023-11,11
2023-12,14
2024-01,27
2024-02,100
2024-03,48
2024-04,30
2024-05,22
2024-06,16
2024-07,15
2024-08,16
2024-09,13
2024-10,12
2024-11,11
2024-12,13
2025-01,12
2025-02,16
2025-03,11
2025-04,11
2025-05,12
2025-06,10
2025-07,11
2025-08,12
2025-09,10
2025-10,10
2025-11,9
