Category: All categories

Month,Bruce Springsteen: (Worldwide)
2004-01,44
2004-02,35
2004-03,34
2004-04,31
2004-05,31
2004-06,31
2004-07,31
2004-08,48
2004-09,32
2004-10,40
2004-11,40
2004-12,31
2005-01,25
2005-02,31
2005-03,34
2005-04,100
2005-05,70
2005-06,49
2005-07,33
2005-08,30
2005-09,32
2005-10,29
2005-11,37
2005-12,31
2006-01,25
2006-02,25
2006-03,26
2006-04,50
2006-05,52
2006-06,35
2006-07,41
2006-08,37
2006-09,31
2006-10,40
2006-11,30
2006-12,26
2007-01,23
2007-02,21
2007-03,21
2007-04,22
2007-05,21
2007-06,26
2007-07,23
2007-08,45
2007-09,75
2007-10,86
2007-11,65
2007-12,72
2008-01,34
2008-02,32
2008-03,38
2008-04,43
2008-05,39
2008-06,47
2008-07,54
2008-08,36
2008-09,24
2008-10,27
2008-11,30
2008-12,31
2009-01,73
2009-02,92
2009-03,39
2009-04,43
2009-05,40
2009-06,52
2009-07,61
2009-08,37
2009-09,35
2009-10,39
2009-11,34
2009-12,30
2010-01,25
2010-02,22
2010-03,21
2010-04,23
2010-05,21
2010-06,21
2010-07,22
2010-08,23
2010-09,23
2010-10,25
2010-11,34
2010-12,31
2011-01,23
2011-02,20
2011-03,18
2011-04,20
2011-05,19
2011-06,34
2011-07,21
2011-08,18
2011-09,20
2011-10,19
2011-11,36
2011-12,35
2012-01,36
2012-02,42
2012-03,50
2012-04,44
2012-05,46
2012-06,51
2012-07,55
2012-08,37
2012-09,38
2012-10,27
2012-11,38
2012-12,47
2013-01,23
2013-02,25
2013-03,27
2013-04,23
2013-05,34
2013-06,39
2013-07,40
2013-08,28
2013-09,30
2013-10,21
2013-11,23
2013-12,24
2014-01,38
2014-02,36
2014-03,25
2014-04,26
2014-05,24
2014-06,21
2014-07,17
2014-08,16
2014-09,18
2014-10,15
2014-11,19
2014-12,23
2015-01,16
2015-02,16
2015-03,15
2015-04,16
2015-05,16
2015-06,15
2015-07,16
2015-08,18
2015-09,16
2015-10,15
2015-11,16
2015-12,41
2016-01,31
2016-02,53
2016-03,31
2016-04,31
2016-05,37
2016-06,35
2016-07,34
2016-08,24
2016-09,39
2016-10,22
2016-11,24
2016-12,22
2017-01,24
2017-02,25
2017-03,15
2017-04,15
2017-05,15
2017-06,15
2017-07,15
2017-08,18
2017-09,16
2017-10,19
2017-11,14
2017-12,18
2018-01,14
2018-02,14
2018-03,15
2018-04,13
2018-05,14
2018-06,17
2018-07,16
2018-08,15
2018-09,14
2018-10,13
2018-11,16
2018-12,29
2019-01,15
2019-02,13
2019-03,11
2019-04,14
2019-05,17
2019-06,22
2019-07,17
2019-08,20
2019-09,22
2019-10,22
2019-11,18
2019-12,19
2020-01,17
2020-02,14
2020-03,13
2020-04,20
2020-05,17
2020-06,16
2020-07,14
2020-08,14
2020-09,16
2020-10,25
2020-11,18
2020-12,21
2021-01,17
2021-02,28
2021-03,12
2021-04,12
2021-05,12
2021-06,15
2021-07,15
2021-08,16
2021-09,15
2021-10,17
2021-11,14
2021-12,17
2022-01,13
2022-02,11
2022-03,10
2022-04,12
2022-05,21
2022-06,26
2022-07,27
2022-08,13
2022-09,14
2022-10,15
2022-11,23
2022-12,17
2023-01,14
2023-02,29
2023-03,24
2023-04,24
2023-05,39
2023-06,31
2023-07,34
2023-08,23
2023-09,20
2023-10,14
2023-11,24
2023-12,14
2024-01,13
2024-02,18
2024-03,19
2024-04,18
2024-05,30
2024-06,28
2024-07,29
2024-08,18
2024-09,17
2024-10,29
2024-11,18
2024-12,13
2025-01,11
2025-02,10
2025-03,11
2025-04,13
2025-05,35
2025-06,37
2025-07,18
2025-08,14
2025-09,17
2025-10,48
2025-11,33
