Year,value,forecast
2022-01-01,4.839085157989298,March 2025
2023-01-01,0.3824371800819071,March 2025
2024-01-01,0.935022022089127,March 2025
2025-01-01,0.9715930646410298,March 2025
2026-01-01,1.861721625169377,March 2025
2027-01-01,1.7903562019752517,March 2025
2028-01-01,1.7226260686957318,March 2025
2029-01-01,1.8008155741350285,March 2025
2022-01-01,5.149703902177771,November 2025
2023-01-01,0.27165002615943123,November 2025
2024-01-01,1.1264226986473114,November 2025
2025-01-01,1.4833428018599548,November 2025
2026-01-01,1.3714665245198043,November 2025
2027-01-01,1.542638112197059,November 2025
2028-01-01,1.4674361505844447,November 2025
2029-01-01,1.5230852346862944,November 2025
2030-01-01,1.549363741962173,November 2025
