name,value
North Dakota,2
South Dakota,2.1
Vermont,2.2
Maryland,2.5
Nebraska,2.5
New Hampshire,2.6
Kansas,2.7
Minnesota,2.7
Utah,2.8
Wyoming,2.8
Iowa,2.9
Massachusetts,2.9
Virginia,2.9
Alabama,3
Mississippi,3
Wisconsin,3
Georgia,3.1
Hawaii,3.1
South Carolina,3.1
Florida,3.2
Tennessee,3.2
Idaho,3.3
Maine,3.3
Missouri,3.3
Montana,3.3
Pennsylvania,3.4
Arkansas,3.5
Indiana,3.5
North Carolina,3.5
Oklahoma,3.5
Colorado,3.7
Arizona,3.8
New Mexico,3.8
Ohio,3.8
Delaware,3.9
Michigan,3.9
Texas,3.9
Rhode Island,4
Oregon,4.2
New York,4.3
West Virginia,4.3
Louisiana,4.4
Connecticut,4.5
Kentucky,4.5
Alaska,4.6
Illinois,4.8
New Jersey,4.8
Washington,4.8
Nevada,5.1
District of Columbia,5.2
California,5.3
,
