Country Name,Country Code,Year,GDP pc
United Kingdom,GBR,1990-01-01,17091.3051155726
"Korea, Rep.",KOR,1990-01-01,8355.3327739747
United States,USA,1990-01-01,23888.6000088133
United Kingdom,GBR,1991-01-01,17420.4212113977
"Korea, Rep.",KOR,1991-01-01,9474.64259647045
United States,USA,1991-01-01,24342.2589048189
United Kingdom,GBR,1992-01-01,17840.5510277811
"Korea, Rep.",KOR,1992-01-01,10184.8556645893
United States,USA,1992-01-01,25418.9907763319
United Kingdom,GBR,1993-01-01,18673.348462135
"Korea, Rep.",KOR,1993-01-01,11030.7119484601
United States,USA,1993-01-01,26387.2937338171
United Kingdom,GBR,1994-01-01,19755.2550837302
"Korea, Rep.",KOR,1994-01-01,12187.2549659273
United States,USA,1994-01-01,27694.853416234
United Kingdom,GBR,1995-01-01,20595.7082090064
"Korea, Rep.",KOR,1995-01-01,13502.5827420794
United States,USA,1995-01-01,28690.8757013347
United Kingdom,GBR,1996-01-01,21946.108059434
"Korea, Rep.",KOR,1996-01-01,14694.0962445008
United States,USA,1996-01-01,29967.7127181749
United Kingdom,GBR,1997-01-01,23069.3890783783
"Korea, Rep.",KOR,1997-01-01,15721.7056576921
United States,USA,1997-01-01,31459.1389804773
United Kingdom,GBR,1998-01-01,23688.3819751261
"Korea, Rep.",KOR,1998-01-01,14974.6595747118
United States,USA,1998-01-01,32853.6769523009
United Kingdom,GBR,1999-01-01,24493.5013657365
"Korea, Rep.",KOR,1999-01-01,16807.1294764195
United States,USA,1999-01-01,34515.3902272076
United Kingdom,GBR,2000-01-01,26531.5844868141
"Korea, Rep.",KOR,2000-01-01,18538.8355325592
United States,USA,2000-01-01,36329.9560727102
United Kingdom,GBR,2001-01-01,27912.6365939756
"Korea, Rep.",KOR,2001-01-01,19724.4259457229
United States,USA,2001-01-01,37133.623113437
United Kingdom,GBR,2002-01-01,29089.0536770407
"Korea, Rep.",KOR,2002-01-01,21396.8377455369
United States,USA,2002-01-01,37997.7596573051
United Kingdom,GBR,2003-01-01,30317.3936051543
"Korea, Rep.",KOR,2003-01-01,22095.870826347
United States,USA,2003-01-01,39490.2749557007
United Kingdom,GBR,2004-01-01,32054.7727127522
"Korea, Rep.",KOR,2004-01-01,23773.8286536781
United States,USA,2004-01-01,41724.6316287624
United Kingdom,GBR,2005-01-01,32726.1331883772
"Korea, Rep.",KOR,2005-01-01,25186.8675668092
United States,USA,2005-01-01,44123.4070679055
United Kingdom,GBR,2006-01-01,34732.8212955537
"Korea, Rep.",KOR,2006-01-01,26884.2673283358
United States,USA,2006-01-01,46302.0008800056
United Kingdom,GBR,2007-01-01,35519.7049007137
"Korea, Rep.",KOR,2007-01-01,29064.9180846867
United States,USA,2007-01-01,48050.2237771135
United Kingdom,GBR,2008-01-01,36744.7913584035
"Korea, Rep.",KOR,2008-01-01,29946.0774891302
United States,USA,2008-01-01,48570.0459804586
United Kingdom,GBR,2009-01-01,35024.7133840576
"Korea, Rep.",KOR,2009-01-01,29508.3815060615
United States,USA,2009-01-01,47194.9433547336
United Kingdom,GBR,2010-01-01,36492.0881209493
"Korea, Rep.",KOR,2010-01-01,31736.6284370925
United States,USA,2010-01-01,48650.6431283336
United Kingdom,GBR,2011-01-01,37224.3787645256
"Korea, Rep.",KOR,2011-01-01,32546.7536531234
United States,USA,2011-01-01,50065.9665041742
United Kingdom,GBR,2012-01-01,38343.0869033484
"Korea, Rep.",KOR,2012-01-01,33557.1287196434
United States,USA,2012-01-01,51784.4185738837
United Kingdom,GBR,2013-01-01,39954.2191450769
"Korea, Rep.",KOR,2013-01-01,34244.3121393117
United States,USA,2013-01-01,53291.1276891406
United Kingdom,GBR,2014-01-01,41278.1275079919
"Korea, Rep.",KOR,2014-01-01,35324.4976704773
United States,USA,2014-01-01,55123.8497869046
United Kingdom,GBR,2015-01-01,42496.8542909218
"Korea, Rep.",KOR,2015-01-01,37902.4004037578
United States,USA,2015-01-01,56762.7294515989
United Kingdom,GBR,2016-01-01,44082.1164678494
"Korea, Rep.",KOR,2016-01-01,39575.4542830031
United States,USA,2016-01-01,57866.7449341091
United Kingdom,GBR,2017-01-01,46048.2000506645
"Korea, Rep.",KOR,2017-01-01,40957.4180587145
United States,USA,2017-01-01,59907.7542608847
United Kingdom,GBR,2018-01-01,47090.4848967293
"Korea, Rep.",KOR,2018-01-01,43044.2917633371
United States,USA,2018-01-01,62823.3094381973
United Kingdom,GBR,2019-01-01,49191.2100377292
"Korea, Rep.",KOR,2019-01-01,43410.3022035098
United States,USA,2019-01-01,65120.3946628653
United Kingdom,GBR,2020-01-01,45756.6510715223
"Korea, Rep.",KOR,2020-01-01,44694.7336959843
United States,USA,2020-01-01,63528.6343027508
United Kingdom,GBR,2021-01-01,50361.2737562531
"Korea, Rep.",KOR,2021-01-01,47068.5364026964
United States,USA,2021-01-01,70219.472454115
United Kingdom,GBR,2022-01-01,54929.8346212468
"Korea, Rep.",KOR,2022-01-01,50330.5381644066
United States,USA,2022-01-01,76329.5822652032
