year,series,value,series_rank
1820,Above $30,537628,1
1830,Above $30,585831,1
1840,Above $30,576336,1
1850,Above $30,485850,1
1860,Above $30,874791,1
1870,Above $30,1750428,1
1880,Above $30,2129437,1
1890,Above $30,3057339,1
1900,Above $30,5009029,1
1910,Above $30,11633345,1
1920,Above $30,15460822,1
1930,Above $30,22298407,1
1940,Above $30,26559130,1
1950,Above $30,62560937,1
1960,Above $30,99194870,1
1970,Above $30,188787349,1
1980,Above $30,407363050,1
1981,Above $30,417396285,1
1982,Above $30,422257594,1
1983,Above $30,430665087,1
1984,Above $30,440982850,1
1985,Above $30,456112864,1
1986,Above $30,480419803,1
1987,Above $30,491206425,1
1988,Above $30,516022373,1
1989,Above $30,538232618,1
1990,Above $30,548829472,1
1991,Above $30,550884840,1
1992,Above $30,561451735,1
1993,Above $30,562893434,1
1994,Above $30,580649274,1
1995,Above $30,601414975,1
1996,Above $30,614776947,1
1997,Above $30,629190862,1
1998,Above $30,642466083,1
1999,Above $30,654311918,1
2000,Above $30,686546498,1
2001,Above $30,701863157,1
2002,Above $30,712058818,1
2003,Above $30,737521610,1
2004,Above $30,756378069,1
2005,Above $30,781003780,1
2006,Above $30,802424660,1
2007,Above $30,849914034,1
2008,Above $30,853227365,1
2009,Above $30,857695735,1
2010,Above $30,900304735,1
2011,Above $30,919622004,1
2012,Above $30,933892291,1
2013,Above $30,952120466,1
2014,Above $30,974634657,1
2015,Above $30,1008244711,1
2016,Above $30,1043825082,1
2017,Above $30,1061663145,1
2018,Above $30,1097261334,1
1820,$10-$30,7143444,2
1830,$10-$30,8085936,2
1840,$10-$30,9229552,2
1850,$10-$30,10391368,2
1860,$10-$30,14710723,2
1870,$10-$30,20549919,2
1880,$10-$30,27537884,2
1890,$10-$30,40823876,2
1900,$10-$30,56948415,2
1910,$10-$30,83704179,2
1920,$10-$30,110103902,2
1930,$10-$30,135647386,2
1940,$10-$30,164059989,2
1950,$10-$30,221379700,2
1960,$10-$30,326492339,2
1970,$10-$30,544467001,2
1980,$10-$30,774477988,2
1981,$10-$30,776004944,2
1982,$10-$30,776744633,2
1983,$10-$30,776413412,2
1984,$10-$30,770914352,2
1985,$10-$30,777262363,2
1986,$10-$30,784885036,2
1987,$10-$30,786675500,2
1988,$10-$30,785156507,2
1989,$10-$30,767943656,2
1990,$10-$30,761983601,2
1991,$10-$30,749493376,2
1992,$10-$30,743673274,2
1993,$10-$30,716896112,2
1994,$10-$30,719819840,2
1995,$10-$30,729929809,2
1996,$10-$30,720966438,2
1997,$10-$30,724787203,2
1998,$10-$30,732950900,2
1999,$10-$30,718489746,2
2000,$10-$30,742452155,2
2001,$10-$30,762384505,2
2002,$10-$30,796170088,2
2003,$10-$30,821435366,2
2004,$10-$30,874049928,2
2005,$10-$30,939726754,2
2006,$10-$30,995158835,2
2007,$10-$30,1051294783,2
2008,$10-$30,1129951862,2
2009,$10-$30,1182868301,2
2010,$10-$30,1246190841,2
2011,$10-$30,1335491329,2
2012,$10-$30,1416710175,2
2013,$10-$30,1514087349,2
2014,$10-$30,1594623920,2
2015,$10-$30,1655402710,2
2016,$10-$30,1703662655,2
2017,$10-$30,1773498635,2
2018,$10-$30,1825109097,2
1820,$5-$10,29523314,3
1830,$5-$10,33032595,3
1840,$5-$10,37482730,3
1850,$5-$10,42552653,3
1860,$5-$10,49955096,3
1870,$5-$10,57874647,3
1880,$5-$10,72213691,3
1890,$5-$10,94607477,3
1900,$5-$10,116256349,3
1910,$5-$10,144523318,3
1920,$5-$10,169525501,3
1930,$5-$10,200386650,3
1940,$5-$10,234456142,3
1950,$5-$10,253513075,3
1960,$5-$10,373036995,3
1970,$5-$10,432348469,3
1980,$5-$10,420847029,3
1981,$5-$10,421371422,3
1982,$5-$10,433797145,3
1983,$5-$10,433812335,3
1984,$5-$10,454151696,3
1985,$5-$10,466971726,3
1986,$5-$10,490147573,3
1987,$5-$10,496132588,3
1988,$5-$10,500448462,3
1989,$5-$10,510961424,3
1990,$5-$10,540843814,3
1991,$5-$10,567098240,3
1992,$5-$10,582732088,3
1993,$5-$10,614625113,3
1994,$5-$10,623858243,3
1995,$5-$10,653011611,3
1996,$5-$10,699091609,3
1997,$5-$10,728181515,3
1998,$5-$10,741638980,3
1999,$5-$10,776556363,3
2000,$5-$10,823760439,3
2001,$5-$10,875095553,3
2002,$5-$10,946531789,3
2003,$5-$10,978363142,3
2004,$5-$10,1030398010,3
2005,$5-$10,1088931859,3
2006,$5-$10,1128799631,3
2007,$5-$10,1183788085,3
2008,$5-$10,1204577662,3
2009,$5-$10,1262027971,3
2010,$5-$10,1317083850,3
2011,$5-$10,1379665434,3
2012,$5-$10,1420627336,3
2013,$5-$10,1521889518,3
2014,$5-$10,1579875498,3
2015,$5-$10,1621409508,3
2016,$5-$10,1651225958,3
2017,$5-$10,1697235300,3
2018,$5-$10,1750841555,3
1820,$1.90-$5,169391904,4
1830,$1.90-$5,181653002,4
1840,$1.90-$5,188946658,4
1850,$1.90-$5,197089462,4
1860,$1.90-$5,206453158,4
1870,$1.90-$5,222033767,4
1880,$1.90-$5,249911840,4
1890,$1.90-$5,300269990,4
1900,$1.90-$5,351322715,4
1910,$1.90-$5,424909500,4
1920,$1.90-$5,453016439,4
1930,$1.90-$5,500767959,4
1940,$1.90-$5,599876339,4
1950,$1.90-$5,641816469,4
1960,$1.90-$5,714894165,4
1970,$1.90-$5,691633087,4
1980,$1.90-$5,810123074,4
1981,$1.90-$5,916951493,4
1982,$1.90-$5,977969346,4
1983,$1.90-$5,1068287975,4
1984,$1.90-$5,1195345579,4
1985,$1.90-$5,1340988170,4
1986,$1.90-$5,1401974300,4
1987,$1.90-$5,1469106550,4
1988,$1.90-$5,1461068145,4
1989,$1.90-$5,1471452360,4
1990,$1.90-$5,1513385260,4
1991,$1.90-$5,1582580269,4
1992,$1.90-$5,1678402417,4
1993,$1.90-$5,1789440814,4
1994,$1.90-$5,1855594089,4
1995,$1.90-$5,1953349004,4
1996,$1.90-$5,2095035060,4
1997,$1.90-$5,2095548655,4
1998,$1.90-$5,2075906428,4
1999,$1.90-$5,2208844532,4
2000,$1.90-$5,2250529946,4
2001,$1.90-$5,2286021210,4
2002,$1.90-$5,2311916757,4
2003,$1.90-$5,2341325622,4
2004,$1.90-$5,2386773280,4
2005,$1.90-$5,2434746826,4
2006,$1.90-$5,2412749814,4
2007,$1.90-$5,2416837164,4
2008,$1.90-$5,2411203196,4
2009,$1.90-$5,2437688593,4
2010,$1.90-$5,2453903465,4
2011,$1.90-$5,2465853784,4
2012,$1.90-$5,2458092796,4
2013,$1.90-$5,2458039093,4
2014,$1.90-$5,2422721649,4
2015,$1.90-$5,2373553159,4
2016,$1.90-$5,2416951245,4
2017,$1.90-$5,2467193642,4
2018,$1.90-$5,2478844936,4
1820,<$1.90,794510917,5
1830,<$1.90,851972581,5
1840,<$1.90,889888153,5
1850,<$1.90,921709511,5
1860,<$1.90,918913757,5
1870,<$1.90,932738016,5
1880,<$1.90,960484161,5
1890,<$1.90,984556622,5
1900,<$1.90,1003118531,5
1910,<$1.90,1048021179,5
1920,<$1.90,1101719442,5
1930,<$1.90,1155943907,5
1940,<$1.90,1208816805,5
1950,<$1.90,1347646043,5
1960,<$1.90,1528357605,5
1970,<$1.90,1827633088,5
1980,<$1.90,2039792780,5
1981,<$1.90,1986783909,5
1982,<$1.90,1981925720,5
1983,<$1.90,1972120282,5
1984,<$1.90,1901089349,5
1985,<$1.90,1802762559,5
1986,<$1.90,1764740811,5
1987,<$1.90,1758289520,5
1988,<$1.90,1821371194,5
1989,<$1.90,1891229486,5
1990,<$1.90,1910112534,5
1991,<$1.90,1901953666,5
1992,<$1.90,1880659686,5
1993,<$1.90,1846386629,5
1994,<$1.90,1819230274,5
1995,<$1.90,1745716482,5
1996,<$1.90,1645955501,5
1997,<$1.90,1680855643,5
1998,<$1.90,1746762032,5
1999,<$1.90,1667136985,5
2000,<$1.90,1626546144,5
2001,<$1.90,1574685701,5
2002,<$1.90,1498777807,5
2003,<$1.90,1476842145,5
2004,<$1.90,1366239327,5
2005,<$1.90,1273831209,5
2006,<$1.90,1247193794,5
