country,country_code,value,series
Afghanistan,AFG,12147948.0,Annual CO2 emissions
Africa,,1416626600.0,Annual CO2 emissions
Africa (GCP),,1416608800.0,Annual CO2 emissions
Albania,ALB,4954730.0,Annual CO2 emissions
Algeria,DZA,176345140.0,Annual CO2 emissions
Andorra,AND,368645.0,Annual CO2 emissions
Angola,AGO,16070269.0,Annual CO2 emissions
Anguilla,AIA,138967.0,Annual CO2 emissions
Antigua and Barbuda,ATG,602192.0,Annual CO2 emissions
Argentina,ARG,192864430.0,Annual CO2 emissions
Armenia,ARM,6407760.0,Annual CO2 emissions
Aruba,ABW,865874.0,Annual CO2 emissions
Asia,,21772347000.0,Annual CO2 emissions
Asia (GCP),,19102590000.0,Annual CO2 emissions
Asia (excl. China and India),,7545927700.0,Annual CO2 emissions
Australia,AUS,392279260.0,Annual CO2 emissions
Austria,AUT,61488424.0,Annual CO2 emissions
Azerbaijan,AZE,38062656.0,Annual CO2 emissions
Bahamas,BHS,2120000.0,Annual CO2 emissions
Bahrain,BHR,37795670.0,Annual CO2 emissions
Bangladesh,BGD,102103340.0,Annual CO2 emissions
Barbados,BRB,1232837.0,Annual CO2 emissions
Belarus,BLR,58801130.0,Annual CO2 emissions
Belgium,BEL,89605360.0,Annual CO2 emissions
Belize,BLZ,725231.0,Annual CO2 emissions
Benin,BEN,8432160.0,Annual CO2 emissions
Bermuda,BMU,445408.0,Annual CO2 emissions
Bhutan,BTN,1055528.0,Annual CO2 emissions
Bolivia,BOL,21493740.0,Annual CO2 emissions
Bonaire Sint Eustatius and Saba,BES,110461.0,Annual CO2 emissions
Bosnia and Herzegovina,BIH,19735710.0,Annual CO2 emissions
Botswana,BWA,7467293.0,Annual CO2 emissions
Brazil,BRA,483477300.0,Annual CO2 emissions
British Virgin Islands,VGB,156784.0,Annual CO2 emissions
Brunei,BRN,10753688.0,Annual CO2 emissions
Bulgaria,BGR,46147496.0,Annual CO2 emissions
Burkina Faso,BFA,5962168.0,Annual CO2 emissions
Burundi,BDI,798451.0,Annual CO2 emissions
Cambodia,KHM,19955042.0,Annual CO2 emissions
Cameroon,CMR,9572651.0,Annual CO2 emissions
Canada,CAN,547943900.0,Annual CO2 emissions
Cape Verde,CPV,568778.0,Annual CO2 emissions
Central African Republic,CAF,226226.0,Annual CO2 emissions
Central America (GCP),,161835580.0,Annual CO2 emissions
Chad,TCD,2369204.0,Annual CO2 emissions
Chile,CHL,84377720.0,Annual CO2 emissions
China,CHN,11396777000.0,Annual CO2 emissions
Colombia,COL,99717870.0,Annual CO2 emissions
