date,series,value
1997-01-01,Goods,264.637
1998-01-01,Goods,278.202
1999-01-01,Goods,291.682
2000-01-01,Goods,302.782
2001-01-01,Goods,317.427
2002-01-01,Goods,325.896
2003-01-01,Goods,340.238
2004-01-01,Goods,351.679
2005-01-01,Goods,360.258
2006-01-01,Goods,375.783
2007-01-01,Goods,391.065
2008-01-01,Goods,402.514
2009-01-01,Goods,399.49
2010-01-01,Goods,413.243
2011-01-01,Goods,429.133
2012-01-01,Goods,440.752
2013-01-01,Goods,463.222
2014-01-01,Goods,469.501
2015-01-01,Goods,477.161
2016-01-01,Goods,496.83
2017-01-01,Goods,519.879
2018-01-01,Goods,539.831
2019-01-01,Goods,554.218
2020-01-01,Goods,524.149
2021-01-01,Goods,562.31
2022-01-01,Goods,633.45
2023-01-01,Goods,662.592
1997-01-01,Services,344.204
1998-01-01,Services,363.167
1999-01-01,Services,379.322
2000-01-01,Services,399.293
2001-01-01,Services,410.755
2002-01-01,Services,426.025
2003-01-01,Services,445.531
2004-01-01,Services,471.607
2005-01-01,Services,501.99
2006-01-01,Services,520.243
2007-01-01,Services,547.784
2008-01-01,Services,564.319
2009-01-01,Services,546.152
2010-01-01,Services,561.569
2011-01-01,Services,583.09
2012-01-01,Services,608.171
2013-01-01,Services,638.9
2014-01-01,Services,678.846
2015-01-01,Services,699.316
2016-01-01,Services,736.661
2017-01-01,Services,758.81
2018-01-01,Services,783.871
2019-01-01,Services,802.8
2020-01-01,Services,673.81
2021-01-01,Services,757.123
2022-01-01,Services,886.487
2023-01-01,Services,959.871
