year,survey_name,region,application_method,crop_group,chemical_group,area_treated,weight_applied
1990,Arable crops,Eastern,OT,Cereals,Fungicides,4608478.249999996,1645427.809999999
1990,Arable crops,Eastern,OT,Cereals,Growth regulators,836859.36,923962.809999999
1990,Arable crops,Eastern,OT,Cereals,Herbicides,3464791.429999998,3216268.979999999
1990,Arable crops,Eastern,OT,Cereals,Insecticides,1221252.31,123480.76
1990,Arable crops,Eastern,OT,Cereals,Molluscicides,77523.25,20811.41
1990,Arable crops,Eastern,OT,Oilseeds,Fungicides,226062.25,119733.79
1990,Arable crops,Eastern,OT,Oilseeds,Growth regulators,1887.14,2172.81
1990,Arable crops,Eastern,OT,Oilseeds,Herbicides,351926.55,260479.76
1990,Arable crops,Eastern,OT,Oilseeds,Insecticides,239658.19,18882.38
1990,Arable crops,Eastern,OT,Oilseeds,Molluscicides,10421.82,4646.2300000000005
1990,Arable crops,Eastern,OT,Potatoes,Fungicides,473511.3,403483.95
1990,Arable crops,Eastern,OT,Potatoes,Growth regulators,2452.14,9527.38
1990,Arable crops,Eastern,OT,Potatoes,Herbicides,111439.57999999999,82199.81
1990,Arable crops,Eastern,OT,Potatoes,Insecticides,111661.92,75500.72
1990,Arable crops,Eastern,OT,Potatoes,Molluscicides,16283.06,3540.7
1990,Arable crops,Eastern,OT,Potatoes,Others,25865.32,3461998.9
1990,Arable crops,Eastern,OT,Pulses,Fungicides,153760.9599999999,88901.14999999989
1990,Arable crops,Eastern,OT,Pulses,Growth regulators,1961.9299999999998,940.44
1990,Arable crops,Eastern,OT,Pulses,Herbicides,220950.8899999999,174135.10999999978
1990,Arable crops,Eastern,OT,Pulses,Insecticides,105393.16,12807.58
1990,Arable crops,Eastern,OT,Sugar beet,Fungicides,41281.950000000004,190735.71000000002
1990,Arable crops,Eastern,OT,Sugar beet,Herbicides,818503.15,488323.35
1990,Arable crops,Eastern,OT,Sugar beet,Insecticides,262490.79000000004,74786.74
1990,Arable crops,Eastern,OT,Sugar beet,Molluscicides,1431.41,232.26
1990,Arable crops,Eastern,ST,Cereals,Fungicides,1310134.33,35632.62
1990,Arable crops,Eastern,ST,Cereals,Insecticides,57698.97,6378.7300000000005
1990,Arable crops,Eastern,ST,Oilseeds,Fungicides,245064.3,2590.96
1990,Arable crops,Eastern,ST,Oilseeds,Insecticides,116807.78,10174.11
1990,Arable crops,Eastern,ST,Potatoes,Fungicides,44408.7,11434.82
1990,Arable crops,Eastern,ST,Pulses,Fungicides,54123.6399999999,7294.91
