date,Natural Change,Net Migration
2023,1,670
2024,76,599
2025,77,528
2026,72,457
2027,66,386
2028,58,315
2029,49,315
2030,40,315
2031,31,315
2032,23,315
2033,14,315
2034,6,315
2035,-2,315
2036,-8,315
2037,-12,315
2038,-15,315
2039,-17,315
2040,-19,315
2041,-22,315
2042,-25,315
2043,-28,315
2044,-31,315
2045,-36,315
2046,-43,315
2047,-49,315
2048,-57,315
2049,-65,315
2050,-72,315
2051,-80,315
2052,-88,315
2053,-95,315
2054,-102,315
2055,-107,315
2056,-112,315
2057,-115,315
2058,-118,315
2059,-119,315
2060,-120,315
2061,-120,315
2062,-119,315
2063,-118,315
2064,-117,315
2065,-115,315
2066,-114,315
2067,-113,315
2068,-113,315
2069,-113,315
2070,-114,315
2071,-116,315
2072,-118,315
2073,-121,315
2074,-126,315
2075,-130,315
2076,-136,315
2077,-142,315
2078,-148,315
2079,-154,315
2080,-160,315
2081,-167,315
2082,-172,315
2083,-178,315
2084,-183,315
2085,-188,315
2086,-192,315
2087,-195,315
2088,-198,315
2089,-201,315
2090,-203,315
2091,-204,315
2092,-205,315
2093,-206,315
2094,-206,315
2095,-206,315
2096,-206,315
2097,-206,315
2098,-206,315
2099,-207,315
2100,-207,315
2101,-207,315
2102,-207,315
2103,-207,315
2104,-207,315
2105,-207,315
2106,-207,315
2107,-206,315
2108,-205,315
2109,-204,315
2110,-203,315
2111,-201,315
2112,-200,315
2113,-198,315
2114,-196,315
2115,-194,315
2116,-193,315
2117,-191,315
2118,-190,315
2119,-190,315
2120,-190,315
2121,-198,315
