scheme,total_paid,num_recipients
Basic payment scheme - UK funded,35843861.89,5479
Agri-environment-climate - UK funded,9358736.38,514
Young farmers - UK funded,339854.5,147
Investment in forest area development and viability - UK funded,187084.08,130
Investments in physical assets - UK funded,136817.62,10
Greening - UK payments - UK funded,64230.22,37
"Forest environmental, climate and conservation - UK funded",15993.470000000001,4
Investment in forest area development and viability,12559.6,4
School milk scheme - UK funded,10762.04,3
Payments to areas facing natural constraints - UK funded,5015.5,3
Reimbursement of financial discipline,4360.04,37
Other direct aids - UK funded,630.61,1
