msa_name,cities,city_count
Greater Manchester,"Manchester, Salford",2
West Midlands,"Birmingham, Coventry, Wolverhampton, Lichfield",4
North East,"Newcastle-upon-Tyne, Sunderland, Durham",3
Liverpool City Region,"Liverpool",1
South Yorkshire,"Sheffield, Doncaster",2
West Yorkshire,"Leeds, Bradford, Wakefield",3
West of England,"Bristol, Bath",2
Lancashire,"Lancaster, Preston",2
Tees Valley,,0
York & North Yorkshire,"York, Ripon",2
Hull & East Yorkshire,"Kingston-upon-Hull",1
Greater Lincolnshire,"Lincoln",1
East Midlands,"Nottingham, Derby",3
Cambridgeshire & Peterborough,"Cambridge, Peterborough, Ely",3
Sussex & Brighton,"Brighton & Hove, Chichester",2
Hampshire & Solent,"Portsmouth, Southampton, Winchester",3
Cheshire & Warrington,"Chester",1
Cumbria,"Carlisle",1
Greater Essex,"Chelmsford, Colchester, Southend-on-Sea",3
Norfolk & Suffolk,"Norwich",1
