msa_name,tier,n_oas,n_urban,n_rural,pct_urban,pct_rural,n_Urban: Nearer to a major town or city,pct_Urban: Nearer to a major town or city,n_Larger rural: Nearer to a major town or city,pct_Larger rural: Nearer to a major town or city,n_Urban: Further from a major town or city,pct_Urban: Further from a major town or city,n_Smaller rural: Nearer to a major town or city,pct_Smaller rural: Nearer to a major town or city,n_Larger rural: Further from a major town or city,pct_Larger rural: Further from a major town or city,n_Smaller rural: Further from a major town or city,pct_Smaller rural: Further from a major town or city,rank_rural,rank_urban
Cambridgeshire and Peterborough,Existing,2741,1804,937,65.8,34.2,1439,52.5,393,14.3,365.0,13.3,316,11.5,120.0,4.4,108.0,3.9,4,16
Cheshire & Warrington,DPP,3172,2570,602,81.0,19.0,2464,77.7,247,7.8,106.0,3.3,307,9.7,,,48.0,1.5,9,11
East Midlands,Existing,7173,5679,1494,79.2,20.8,5479,76.4,699,9.7,200.0,2.8,497,6.9,154.0,2.1,144.0,2.0,6,13
Greater Essex,DPP,5906,4694,1212,79.5,20.5,4575,77.5,566,9.6,119.0,2.0,460,7.8,85.0,1.4,101.0,1.7,8,12
Greater Lincolnshire,Existing,3553,2094,1459,58.9,41.1,1612,45.4,442,12.4,482.0,13.6,377,10.6,250.0,7.0,390.0,11.0,3,17
Greater Manchester,Established,8966,8874,92,99.0,1.0,8874,99.0,41,0.5,,,51,0.6,,,,,18,1
Hampshire & Solent,DPP,5942,5038,904,84.8,15.2,4960,83.5,327,5.5,78.0,1.3,453,7.6,40.0,0.7,84.0,1.4,12,8
Hull and East Yorkshire,Existing,2024,1534,490,75.8,24.2,1357,67.0,172,8.5,177.0,8.7,125,6.2,95.0,4.7,98.0,4.8,5,15
Lancashire,Established,4982,4134,848,83.0,17.0,3779,75.9,412,8.3,355.0,7.1,327,6.6,47.0,0.9,62.0,1.2,11,9
Liverpool City Region,Established,5186,5129,57,98.9,1.1,5129,98.9,29,0.6,,,28,0.5,,,,,17,3
Norfolk & Suffolk,DPP,5582,3049,2533,54.6,45.4,1778,31.9,379,6.8,1271.0,22.8,536,9.6,668.0,12.0,950.0,17.0,1,19
North East,Established,6806,5390,1416,79.2,20.8,5340,78.5,756,11.1,50.0,0.7,287,4.2,189.0,2.8,184.0,2.7,6,13
South Yorkshire,Established,1892,1637,255,86.5,13.5,1637,86.5,176,9.3,,,79,4.2,,,,,13,7
Sussex & Brighton,DPP,5573,4608,965,82.7,17.3,4445,79.8,302,5.4,163.0,2.9,449,8.1,70.0,1.3,144.0,2.6,10,10
Tees Valley,Existing,2294,2055,239,89.6,10.4,2055,89.6,156,6.8,,,76,3.3,3.0,0.1,4.0,0.2,15,5
West Midlands,Established,8735,8650,85,99.0,1.0,8650,99.0,62,0.7,,,23,0.3,,,,,18,1
West Yorkshire,Established,7345,6556,789,89.3,10.7,6509,88.6,484,6.6,47.0,0.6,279,3.8,20.0,0.3,6.0,0.1,14,6
West of England,Established,2921,2674,247,91.5,8.5,2674,91.5,110,3.8,,,127,4.3,,,10.0,0.3,16,4
York and North Yorkshire,Existing,2765,1563,1202,56.5,43.5,1142,41.3,287,10.4,421.0,15.2,416,15.0,190.0,6.9,309.0,11.2,2,18
