IRR_3dim_rank,msa_name,IRR_3dim,IRR_ruc,IRR_ruc_rank,IRR,IRR_rank,norm_population,norm_density,norm_pct_urban,norm_ruc_score,norm_distance,pop_2024,density_2024,pct_urban,pop_weighted_rurality_score
1,Cumbria,1.0,1.0,1,0.924,1,1.0,1.0,1.0,1.0,0.695,510680,75.5,50.057,47.7
2,York & North Yorkshire,0.784,0.805,2,0.711,3,0.735,0.922,0.868,0.695,0.32,844571,101.6,56.528,33.3
3,Greater Lincolnshire,0.688,0.72,3,0.704,4,0.585,0.801,0.819,0.676,0.61,1120749,160.6,58.936,32.4
4,Norfolk & Suffolk,0.654,0.717,4,0.756,2,0.358,0.76,0.907,0.843,1.0,1726590,188.0,54.622,40.3
5,Hull & East Yorkshire,0.65,0.606,6,0.641,6,0.888,0.68,0.475,0.381,0.522,631285,255.0,75.791,18.5
6,Cambridgeshire & Peterborough,0.618,0.633,5,0.684,5,0.682,0.659,0.678,0.513,0.717,933972,275.5,65.815,24.7
7,Cheshire & Warrington,0.476,0.449,7,0.451,9,0.641,0.533,0.368,0.254,0.263,1008341,444.8,81.021,12.5
8,Tees Valley,0.43,0.37,8,0.435,10,0.824,0.348,0.193,0.117,0.375,712858,896.6,89.582,6.0
9,Lancashire,0.376,0.364,10,0.389,13,0.397,0.491,0.328,0.242,0.342,1601645,522.4,82.979,11.9
10,Sussex & Brighton,0.373,0.363,11,0.416,11,0.347,0.521,0.334,0.25,0.46,1759789,465.2,82.684,12.3
11,Greater Essex,0.353,0.364,9,0.402,12,0.299,0.489,0.399,0.271,0.422,1929610,526.7,79.478,13.3
12,Hampshire & Solent,0.349,0.343,13,0.462,8,0.301,0.497,0.326,0.248,0.724,1920959,509.7,83.048,12.2
13,North East,0.33,0.348,12,0.327,14,0.11,0.618,0.405,0.261,0.175,2760678,321.7,79.195,12.8
14,West of England,0.324,0.281,15,0.484,7,0.538,0.341,0.153,0.093,0.902,1225337,923.8,91.544,4.9
15,South Yorkshire,0.295,0.258,16,0.262,16,0.457,0.341,0.147,0.087,0.103,1430623,922.1,91.848,4.6
16,East Midlands,0.266,0.301,14,0.285,15,0.0,0.524,0.405,0.273,0.21,3400821,460.8,79.172,13.4
17,West Yorkshire,0.187,0.19,17,0.181,17,0.176,0.272,0.199,0.114,0.076,2435236,1200.1,89.258,5.9
18,Liverpool City Region,0.17,0.128,18,0.138,18,0.395,0.112,0.003,0.002,0.041,1607084,2197.6,98.901,0.6
19,Greater Manchester,0.053,0.04,19,0.046,19,0.064,0.094,0.001,0.002,0.027,3009664,2358.7,98.974,0.6
20,West Midlands,0.02,0.015,20,0.015,20,0.06,0.0,0.0,0.0,0.0,3036605,3367.6,99.027,0.5
