district,LAD25CD,LAD25NM,msa_name
SL6,E06000040,,
SE1,E09000028,,
RG12,E06000036,,
SO4,E07000091,New Forest,Hampshire & Solent
PR2,E07000123,Preston,Lancashire
E14,E09000030,,
CM7,E07000067,Braintree,Greater Essex
E1,E09000030,,
BL1,E08000001,Bolton,Greater Manchester
RH10,E07000226,Crawley,Sussex & Brighton
NW1,E09000007,,
RG1,E06000038,,
BN1,E06000043,Brighton and Hove,Sussex & Brighton
BN2,E06000043,Brighton and Hove,Sussex & Brighton
CR0,E09000008,,
NW10,E09000005,,
CM1,E07000070,Chelmsford,Greater Essex
E17,E09000031,,
NW3,E09000007,,
SO2,E06000045,Southampton,Hampshire & Solent
OX16,E07000177,,
SW6,E09000013,,
PO19,E07000225,Chichester,Sussex & Brighton
NN3,E06000062,,
BA2,E06000022,Bath and North East Somerset,West of England
M33,E08000009,Trafford,Greater Manchester
SW19,E09000024,,
BN3,E06000043,Brighton and Hove,Sussex & Brighton
ST5,E07000195,,
N1,E09000019,,
DE3,E06000015,Derby,East Midlands
BA1,E06000022,Bath and North East Somerset,West of England
SW11,E09000032,,
SL1,E06000039,,
OX4,E07000178,,
ST4,E06000021,,
M20,E08000003,Manchester,Greater Manchester
M28,E08000006,Salford,Greater Manchester
TQ12,E07000045,Teignbridge,Devon and Torbay
YO3,E06000014,York,York & North Yorkshire
SO1,E06000045,Southampton,Hampshire & Solent
PR1,E07000123,Preston,Lancashire
OX8,E07000181,,
WD3,E07000102,,
SE18,E09000011,,
SN2,E06000030,,
YO1,E06000014,York,York & North Yorkshire
BS15,E06000025,South Gloucestershire,West of England
LU7,E06000056,,
WR11,E07000238,,
W2,E09000033,,
OX9,E07000179,,
YO25,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
M27,E08000006,Salford,Greater Manchester
IG1,E09000026,,
M25,E08000002,Bury,Greater Manchester
M22,E08000003,Manchester,Greater Manchester
PE19,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
YO8,E06000065,North Yorkshire,York & North Yorkshire
CB1,E07000008,Cambridge,Cambridgeshire & Peterborough
CV37,E07000221,,
CR2,E09000008,,
BR3,E09000006,,
WA8,E06000006,Halton,Liverpool City Region
LE11,E07000130,,
TN23,E07000105,,
W1A,E09000033,,
GU21,E07000217,,
SK10,E06000049,Cheshire East,Cheshire & Warrington
RH12,E07000227,Horsham,Sussex & Brighton
CW1,E06000049,Cheshire East,Cheshire & Warrington
NG9,E07000172,Broxtowe,East Midlands
LE2,E06000016,,
WA5,E06000007,Warrington,Cheshire & Warrington
SE15,E09000028,,
NN11,E06000062,,
NN8,E06000061,,
PE2,E06000031,Peterborough,Cambridgeshire & Peterborough
CV6,E08000026,Coventry,West Midlands
BB5,E07000120,Hyndburn,Lancashire
W5,E09000009,,
GL7,E07000079,,
SK8,E08000007,Stockport,Greater Manchester
PE1,E06000031,Peterborough,Cambridgeshire & Peterborough
BH21,E06000059,,
EX4,E07000041,Exeter,Devon and Torbay
PR5,E07000126,South Ribble,Lancashire
BB2,E06000008,Blackburn with Darwen,Lancashire
ST6,E06000021,,
DH1,E06000047,County Durham,North East
DL1,E06000005,Darlington,Tees Valley
PR8,E08000014,Sefton,Liverpool City Region
AL1,E07000240,,
SW18,E09000032,,
BH23,E06000058,,
SE16,E09000028,,
RG14,E06000037,,
CH1,E06000050,Cheshire West and Chester,Cheshire & Warrington
CO10,E07000200,Babergh,Norfolk & Suffolk
E6,E09000025,,
SK9,E06000049,Cheshire East,Cheshire & Warrington
WA7,E06000006,Halton,Liverpool City Region
DE2,E06000015,Derby,East Midlands
GL4,E07000081,,
BS99,E06000023,"Bristol, City of",West of England
SL4,E06000040,,
M9,E08000003,Manchester,Greater Manchester
LA1,E07000121,Lancaster,Lancashire
NE61,E06000057,Northumberland,North East
GL51,E07000078,,
SG1,E07000243,,
BS12,E06000025,South Gloucestershire,West of England
WF1,E08000036,Wakefield,West Yorkshire
NG17,E07000170,Ashfield,East Midlands
ST3,E06000021,,
HA9,E09000005,,
RG11,E06000041,,
WA4,E06000007,Warrington,Cheshire & Warrington
SW15,E09000032,,
LE5,E06000016,,
GU14,E07000092,Rushmoor,Hampshire & Solent
OX14,E07000180,,
RG21,E07000084,Basingstoke and Deane,Hampshire & Solent
WA15,E08000009,Trafford,Greater Manchester
BA14,E06000054,,
LE4,E06000016,,
GU1,E07000209,,
HD1,E08000034,Kirklees,West Yorkshire
TF1,E06000020,,
WS11,E07000192,,
FY8,E07000119,Fylde,Lancashire
N16,E09000012,,
SO5,E07000086,Eastleigh,Hampshire & Solent
CR9,E09000008,,
BB9,E07000122,Pendle,Lancashire
CV3,E08000026,Coventry,West Midlands
S70,E08000016,,
TA1,E06000066,,
RH13,E07000227,Horsham,Sussex & Brighton
SK6,E08000007,Stockport,Greater Manchester
M34,E08000008,Tameside,Greater Manchester
PR7,E07000118,Chorley,Lancashire
HD7,E08000034,Kirklees,West Yorkshire
SO15,E06000045,Southampton,Hampshire & Solent
SW2,E09000022,,
SN15,E06000054,,
IP14,E07000203,Mid Suffolk,Norfolk & Suffolk
OL16,E08000005,Rochdale,Greater Manchester
W3,E09000009,,
PO21,E07000224,Arun,Sussex & Brighton
BB4,E07000125,Rossendale,Lancashire
BD23,E06000065,North Yorkshire,York & North Yorkshire
ME14,E07000110,,
IP1,E07000202,Ipswich,Norfolk & Suffolk
BN11,E07000229,Worthing,Sussex & Brighton
PE17,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
WA10,E08000013,St. Helens,Liverpool City Region
HA4,E09000017,,
BL3,E08000001,Bolton,Greater Manchester
CM2,E07000070,Chelmsford,Greater Essex
BR1,E09000006,,
FY1,E06000009,Blackpool,Lancashire
M24,E08000005,Rochdale,Greater Manchester
CW11,E06000049,Cheshire East,Cheshire & Warrington
PE28,E07000011,Huntingdonshire,Cambridgeshire & Peterborough
EX14,E07000040,East Devon,Devon and Torbay
HG1,E06000065,North Yorkshire,York & North Yorkshire
SO50,E07000086,Eastleigh,Hampshire & Solent
DE1,E06000015,Derby,East Midlands
CO15,E07000076,Tendring,Greater Essex
EN5,E09000003,,
TA6,E06000066,,
OX7,E07000181,,
LS12,E08000035,Leeds,West Yorkshire
M40,E08000003,Manchester,Greater Manchester
SW9,E09000022,,
NE3,E08000021,Newcastle upon Tyne,North East
RH1,E07000211,,
SK14,E08000008,Tameside,Greater Manchester
HA3,E09000015,,
S6,E08000019,,
UB3,E09000017,,
HA8,E09000003,,
CT9,E07000114,,
NG7,E06000018,Nottingham,East Midlands
WD6,E07000098,,
EX2,E07000041,Exeter,Devon and Torbay
W4,E09000018,,
HA1,E09000015,,
RH16,E07000228,Mid Sussex,Sussex & Brighton
BS1,E06000023,"Bristol, City of",West of England
HX3,E08000033,Calderdale,West Yorkshire
NN4,E06000062,,
NW11,E09000003,,
RG24,E07000084,Basingstoke and Deane,Hampshire & Solent
N17,E09000014,,
L69,E08000012,Liverpool,Liverpool City Region
NG8,E06000018,Nottingham,East Midlands
SN3,E06000030,,
GU2,E07000209,,
M21,E08000003,Manchester,Greater Manchester
LS1,E08000035,Leeds,West Yorkshire
M8,E08000003,Manchester,Greater Manchester
PE11,E07000140,South Holland,Greater Lincolnshire
ME15,E07000110,,
EN1,E09000010,,
HX1,E08000033,Calderdale,West Yorkshire
LU1,E06000032,,
DN4,E08000017,Doncaster,South Yorkshire
CO4,E07000071,Colchester,Greater Essex
