town_code,town_name,gcse_cohort,n_graduates,pct_graduates,Share of graduates who moved for HE and stayed afterwards,Share of graduates who moved for HE and returned afterwads,Share of graduates who moved for HE and moved elsewhere afterwards,Share of graduates who stayed during HE but moved elsewhere afterwards,Share of graduates who remained in town or city during and afterwards,Share of graduates who moved town or city by 2018-19 (movers),Share of graduates who moved TTWA for HE ,Share of graduate movers who moved TTWA by 2018-19,Share of graduate movers who moved town or city but remained in the same TTWA by 2018-19,Share of graduate movers who moved region by 2018-19,retention_rate,inward_rate,net_gain_rate,population,area_type,region,TTWA code,ttwa_name,TTWA type,Job density flag,deprivation_flag,university_flag,pct_level4_2011,education_score,nong_retention_rate,is_ynyca
E34004346,Catterick Garrison BUA,315,75,0.238,,,0.467,,,0.667,0.933,0.8,,0.8,0.333,0.079,-0.4,11804.0,Small,Yorkshire and The Humber,E30000246,Northallerton,Majority Rural,Residential,Lower deprivation,No University,0.25,-4.76,0.278,True
E35001121,Cross Hills BUASD,400,165,0.413,,0.364,0.424,,,0.545,0.879,0.889,,0.5,0.424,0.08,-0.364,7564.0,Small,Yorkshire and The Humber,E30000039,Skipton,Majority Rural,Mixed,Lower deprivation,No University,0.33,3.49,0.517,True
E34002712,Filey BUA,320,65,0.203,,0.385,0.385,,,0.538,0.923,0.857,,,0.462,,,6530.0,Small,Yorkshire and The Humber,E30000259,Scarborough,Majority Town & City (Small),Residential,Higher deprivation,No University,0.2,-2.14,0.55,True
E35000975,Harrogate BUASD,3035,1325,0.437,0.102,0.506,0.313,,0.023,0.43,0.936,0.904,0.096,0.693,0.543,0.096,-0.238,73576.0,Medium,Yorkshire and The Humber,E30000214,Harrogate,Majority Town & City (Large),Working,Lower deprivation,No University,0.41,4.42,0.758,True
E34003244,Haxby BUA,425,205,0.482,,0.439,0.39,,,0.512,0.878,0.714,0.286,0.524,0.463,0.094,-0.341,11894.0,Small,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Residential,Lower deprivation,No University,0.35,4.05,0.607,True
E35000906,Knaresborough BUASD,775,340,0.439,,0.485,0.382,,,0.456,0.956,0.839,0.161,0.581,0.515,0.065,-0.338,15484.0,Small,Yorkshire and The Humber,E30000214,Harrogate,Majority Town & City (Large),Working,Lower deprivation,No University,0.4,4.54,0.58,True
E34000922,Northallerton BUA,745,245,0.329,0.122,0.49,0.306,,,0.469,0.918,0.87,,0.609,0.51,0.067,-0.286,16832.0,Small,Yorkshire and The Humber,E30000246,Northallerton,Majority Rural,Working,Mid Deprivation,No University,0.3,-1.44,0.644,True
E35000424,Norton-on-Derwent BUASD,300,75,0.25,,0.467,0.333,,,0.4,0.933,0.833,,,0.533,0.1,-0.067,7049.0,Small,Yorkshire and The Humber,E30000238,Malton,Majority Rural,Working,Mid Deprivation,No University,0.19,-1.47,0.636,True
E35000343,Pickering BUASD,290,110,0.379,,0.364,0.455,,,0.591,0.955,0.846,,0.385,0.409,,,6588.0,Small,Yorkshire and The Humber,E30000238,Malton,Majority Rural,Working,Mid Deprivation,No University,0.28,5.07,0.667,True
E34000762,Richmond BUA,430,205,0.477,,0.317,0.512,,,0.634,0.976,0.846,,0.692,0.341,0.058,-0.561,8413.0,Small,Yorkshire and The Humber,E30000246,Northallerton,Majority Rural,Mixed,Lower deprivation,No University,0.38,4.58,0.6,True
E34002624,Ripon BUA,725,235,0.324,0.149,0.426,0.362,,,0.532,0.936,0.88,,0.56,0.447,0.041,-0.404,16363.0,Small,Yorkshire and The Humber,E30000214,Harrogate,Majority Town & City (Large),Mixed,Lower deprivation,No University,0.31,2.46,0.667,True
E34004408,Scarborough BUA,2835,785,0.277,0.108,0.51,0.306,,0.032,0.433,0.943,0.926,0.074,0.603,0.541,0.056,-0.248,61749.0,Medium,Yorkshire and The Humber,E30000259,Scarborough,Majority Town & City (Small),Working,Higher deprivation,No University,0.26,-1.69,0.747,True
E35001160,Selby BUASD,810,170,0.21,,0.471,0.353,,,0.471,0.824,0.688,0.313,0.375,0.5,0.117,0.059,17511.0,Small,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Working,Higher deprivation,No University,0.2,-5.45,0.62,True
E34003205,Sherburn in Elmet BUA,370,115,0.311,,0.435,0.435,,,0.522,0.826,0.833,,0.5,0.478,0.135,-0.087,6657.0,Small,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Working,Lower deprivation,No University,0.27,-1.05,0.609,True
E34003174,Skipton BUA,725,260,0.359,,0.5,0.327,,,0.404,0.942,0.905,,0.667,0.558,0.12,-0.115,14623.0,Small,Yorkshire and The Humber,E30000039,Skipton,Majority Rural,Working,Mid Deprivation,No University,0.34,0.24,0.673,True
E34004162,Strensall BUA,335,140,0.418,,0.393,0.429,,,0.536,0.857,0.667,0.333,0.467,0.429,0.075,-0.393,6047.0,Small,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Residential,Lower deprivation,No University,0.39,5.57,0.571,True
E34000969,Tadcaster BUA,345,125,0.362,,0.48,0.36,,,0.44,0.84,0.909,,0.545,0.52,,,6480.0,Small,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Working,Lower deprivation,No University,0.3,1.59,0.72,True
E34002254,Thirsk BUA,455,135,0.297,,0.481,0.296,,,0.444,0.926,0.917,,0.75,0.519,0.121,-0.074,9953.0,Small,Yorkshire and The Humber,E30000246,Northallerton,Majority Rural,Residential,Mid Deprivation,No University,0.28,-1.76,0.667,True
E34003687,Whitby BUA,565,140,0.248,,0.464,0.393,,,0.5,0.964,0.929,,0.643,0.464,0.053,-0.321,13213.0,Small,Yorkshire and The Humber,E30000147,Whitby,Majority Town & City (Small),Working,Higher deprivation,No University,0.21,0.23,0.722,True
E35000051,York BUASD,5220,1640,0.314,0.091,0.47,0.241,0.027,0.128,0.366,0.817,0.883,0.117,0.717,0.61,0.447,1.034,152841.0,Large,Yorkshire and The Humber,E30000294,York,Majority Town & City (Large),Working,Lower deprivation,University,0.36,0.52,0.766,True
