LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01013335,York 012A,E06000014,York,6410,2,1658,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.004897866844352,7.919792266731611,Inland
E01013336,York 012B,E06000014,York,23406,7,1525,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.0523779662392636,7.474464646261252,Inland
E01013337,York 012C,E06000014,York,30290,9,1657,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.5394559799513394,7.874651432343944,Inland
E01013338,York 012D,E06000014,York,28421,9,2340,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,2.7909565955822475,8.397530223121157,Inland
E01013339,York 012E,E06000014,York,32632,10,1633,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.139135521144163,8.816210955484891,Inland
E01013340,York 024A,E06000014,York,33007,10,1247,50.0,100.0,Larger rural: Nearer to a major town or city,Rural,York,4.5805751011852385,3.265778928702499,Coastal (≤5 km)
E01013341,York 024B,E06000014,York,27585,9,1361,50.0,100.0,Larger rural: Nearer to a major town or city,Rural,York,5.01735881807001,2.7215611610821604,Coastal (≤5 km)
E01013342,York 024C,E06000014,York,26370,8,1512,59.0,100.0,Smaller rural: Nearer to a major town or city,Rural,York,7.5945898180068685,0.9534707089503274,Coastal (≤5 km)
E01013343,York 009A,E06000014,York,24400,8,1914,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,0.9188234981459071,8.653468839741736,Inland
E01013344,York 007A,E06000014,York,27153,9,1444,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,0.7183494431515972,8.04116560729661,Inland
E01013345,York 009B,E06000014,York,24978,8,1723,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.0716201698433634,8.665971441493282,Inland
E01013346,York 007B,E06000014,York,22735,7,1631,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.3744038608944051,8.41652667463674,Inland
E01013347,York 009C,E06000014,York,4223,2,1607,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.4708152001559802,9.093758517080326,Inland
E01013348,York 010A,E06000014,York,28389,9,1831,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.420851950576025,9.145838603425958,Inland
E01013349,York 009D,E06000014,York,3992,2,1384,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.5572145484763495,9.028667789185544,Inland
E01013350,York 009E,E06000014,York,7567,3,1656,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,1.6219313724836157,9.325670619754144,Inland
E01013351,York 020A,E06000014,York,30315,9,1938,56.42857142857143,100.0,Larger rural: Nearer to a major town or city,Rural,York,7.70544863174386,11.261907923779821,Inland
E01013352,York 020B,E06000014,York,30599,10,1712,50.0,100.0,Larger rural: Nearer to a major town or city,Rural,York,6.384682946960846,10.839154996433452,Inland
E01013353,York 022A,E06000014,York,14599,5,1646,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.529824494172284,5.159365816233097,Inland
E01013354,York 022B,E06000014,York,32934,10,1354,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,4.671587302343967,5.376428580219867,Inland
E01013355,York 022C,E06000014,York,31582,10,1834,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,4.112830833988516,4.484766787769894,Coastal (≤5 km)
E01013356,York 022D,E06000014,York,28137,9,1335,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.937071846503431,5.349556761365243,Inland
E01013357,York 021A,E06000014,York,33130,10,2324,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.3809601413144765,4.72436029613347,Coastal (≤5 km)
E01013358,York 021B,E06000014,York,32781,10,1492,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,2.5461872433261408,5.766036413144793,Inland
E01013359,York 022E,E06000014,York,16568,5,1569,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,3.0113517987177145,5.781334283706521,Inland
E01013360,York 019A,E06000014,York,32763,10,1793,0.0,0.0,Urban: Nearer to a major town or city,Urban,York,2.4868984067335416,5.864850483130641,Inland
