dpp_area,lad25_code,lad25_name,lad22_code,lad22_name
Cheshire & Warrington,E06000049,Cheshire East,E06000049,Cheshire East
Cheshire & Warrington,E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester
Cheshire & Warrington,E06000007,Warrington,E06000007,Warrington
Cumbria,E06000063,Cumberland,,
Cumbria,E06000064,Westmorland and Furness,,
Cumbria,,,E07000026,Allerdale
Cumbria,,,E07000027,Barrow-in-Furness
Cumbria,,,E07000028,Carlisle
Cumbria,,,E07000029,Copeland
Cumbria,,,E07000030,Eden
Cumbria,,,E07000031,South Lakeland
Sussex & Brighton,E06000043,Brighton and Hove,E06000043,Brighton and Hove
Sussex & Brighton,E07000061,Eastbourne,E07000061,Eastbourne
Sussex & Brighton,E07000062,Hastings,E07000062,Hastings
Sussex & Brighton,E07000063,Lewes,E07000063,Lewes
Sussex & Brighton,E07000064,Rother,E07000064,Rother
Sussex & Brighton,E07000065,Wealden,E07000065,Wealden
Sussex & Brighton,E07000223,Adur,E07000223,Adur
Sussex & Brighton,E07000224,Arun,E07000224,Arun
Sussex & Brighton,E07000225,Chichester,E07000225,Chichester
Sussex & Brighton,E07000226,Crawley,E07000226,Crawley
Sussex & Brighton,E07000227,Horsham,E07000227,Horsham
Sussex & Brighton,E07000228,Mid Sussex,E07000228,Mid Sussex
Sussex & Brighton,E07000229,Worthing,E07000229,Worthing
Hampshire & Solent,E06000044,Portsmouth,E06000044,Portsmouth
Hampshire & Solent,E06000045,Southampton,E06000045,Southampton
Hampshire & Solent,E06000046,Isle of Wight,E06000046,Isle of Wight
Hampshire & Solent,E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane
Hampshire & Solent,E07000085,East Hampshire,E07000085,East Hampshire
Hampshire & Solent,E07000086,Eastleigh,E07000086,Eastleigh
Hampshire & Solent,E07000087,Fareham,E07000087,Fareham
Hampshire & Solent,E07000088,Gosport,E07000088,Gosport
Hampshire & Solent,E07000089,Hart,E07000089,Hart
Hampshire & Solent,E07000090,Havant,E07000090,Havant
Hampshire & Solent,E07000091,New Forest,E07000091,New Forest
Hampshire & Solent,E07000092,Rushmoor,E07000092,Rushmoor
Hampshire & Solent,E07000093,Test Valley,E07000093,Test Valley
Hampshire & Solent,E07000094,Winchester,E07000094,Winchester
Greater Essex,E07000066,Basildon,E07000066,Basildon
Greater Essex,E07000067,Braintree,E07000067,Braintree
Greater Essex,E07000068,Brentwood,E07000068,Brentwood
Greater Essex,E07000069,Castle Point,E07000069,Castle Point
Greater Essex,E07000070,Chelmsford,E07000070,Chelmsford
Greater Essex,E07000071,Colchester,E07000071,Colchester
Greater Essex,E07000072,Epping Forest,E07000072,Epping Forest
Greater Essex,E07000073,Harlow,E07000073,Harlow
Greater Essex,E07000074,Maldon,E07000074,Maldon
Greater Essex,E07000075,Rochford,E07000075,Rochford
Greater Essex,E06000033,Southend-on-Sea,E06000033,Southend-on-Sea
Greater Essex,E07000076,Tendring,E07000076,Tendring
Greater Essex,E06000034,Thurrock,E06000034,Thurrock
Greater Essex,E07000077,Uttlesford,E07000077,Uttlesford
Norfolk & Suffolk,E07000143,Breckland,E07000143,Breckland
Norfolk & Suffolk,E07000144,Broadland,E07000144,Broadland
Norfolk & Suffolk,E07000145,Great Yarmouth,E07000145,Great Yarmouth
Norfolk & Suffolk,E07000146,King's Lynn and West Norfolk,E07000146,King's Lynn and West Norfolk
Norfolk & Suffolk,E07000147,North Norfolk,E07000147,North Norfolk
Norfolk & Suffolk,E07000148,Norwich,E07000148,Norwich
Norfolk & Suffolk,E07000149,South Norfolk,E07000149,South Norfolk
Norfolk & Suffolk,E07000200,Babergh,E07000200,Babergh
Norfolk & Suffolk,E07000202,Ipswich,E07000202,Ipswich
Norfolk & Suffolk,E07000203,Mid Suffolk,E07000203,Mid Suffolk
Norfolk & Suffolk,E07000244,East Suffolk,E07000244,East Suffolk
Norfolk & Suffolk,E07000245,West Suffolk,E07000245,West Suffolk
