Country,ISO3,Group,Count
United Kingdom,GBR,UK,23764
Italy,ITA,EU,2561
France,FRA,EU,2341
Germany,DEU,EU,1844
Spain,ESP,EU,1750
Netherlands,NLD,EU,1183
China,CHN,Non-EU,1182
United States,USA,Non-EU,927
Belgium,BEL,EU,856
Poland,POL,EU,800
Ireland,IRL,EU,793
Thailand,THA,Non-EU,590
South Africa,ZAF,Non-EU,500
Greece,GRC,EU,411
India,IND,Non-EU,392
Australia,AUS,Non-EU,331
Portugal,PRT,EU,314
Switzerland,CHE,Non-EU,304
Chile,CHL,Non-EU,286
Morocco,MAR,Non-EU,285
New Zealand,NZL,Non-EU,272
Denmark,DNK,EU,244
Türkiye,TUR,Non-EU,234
Vietnam,VNM,Non-EU,224
Hungary,HUN,EU,210
Mexico,MEX,Non-EU,198
Sweden,SWE,EU,192
Japan,JPN,Non-EU,186
Peru,PER,Non-EU,181
Israel,ISR,Non-EU,180
Kenya,KEN,Non-EU,177
Argentina,ARG,Non-EU,169
Brazil,BRA,Non-EU,169
Egypt,EGY,Non-EU,167
Canada,CAN,Non-EU,158
Austria,AUT,EU,136
Czechia,CZE,EU,134
Indonesia,IDN,Non-EU,92
Colombia,COL,Non-EU,88
South Korea,KOR,Non-EU,81
Pakistan,PAK,Non-EU,75
Bulgaria,BGR,EU,74
Senegal,SEN,Non-EU,69
Malaysia,MYS,Non-EU,66
Honduras,HND,Non-EU,58
Jamaica,JAM,Non-EU,56
Philippines,PHL,Non-EU,55
Ecuador,ECU,Non-EU,54
Iceland,ISL,Non-EU,54
Norway,NOR,Non-EU,52
Guatemala,GTM,Non-EU,50
Dominican Republic,DOM,Non-EU,48
Taiwan,TWN,Non-EU,47
Cyprus,CYP,EU,47
Jordan,JOR,Non-EU,43
Seychelles,SYC,Non-EU,43
Ethiopia,ETH,Non-EU,42
Mauritius,MUS,Non-EU,40
Finland,FIN,EU,37
Costa Rica,CRI,Non-EU,37
Namibia,NAM,Non-EU,36
Zimbabwe,ZWE,Non-EU,35
Zambia,ZMB,Non-EU,33
Sri Lanka,LKA,Non-EU,32
Gambia,GMB,Non-EU,31
Lithuania,LTU,EU,30
Slovenia,SVN,EU,29
Tunisia,TUN,Non-EU,29
Romania,ROU,EU,29
Ghana,GHA,Non-EU,28
Nicaragua,NIC,Non-EU,24
Tanzania,TZA,Non-EU,21
Mozambique,MOZ,Non-EU,21
Madagascar,MDG,Non-EU,21
Singapore,SGP,Non-EU,20
Saudi Arabia,SAU,Non-EU,20
Maldives,MDV,Non-EU,18
Côte d'Ivoire,CIV,Non-EU,18
Ukraine,UKR,Non-EU,18
Croatia,HRV,EU,17
Jersey,JEY,Non-EU,17
Hong Kong,HKG,Non-EU,15
Barbados,BRB,Non-EU,15
Panama,PAN,Non-EU,15
Serbia,SRB,Non-EU,13
Uruguay,URY,Non-EU,12
Nigeria,NGA,Non-EU,12
Trinidad and Tobago,TTO,Non-EU,11
Cuba,CUB,Non-EU,10
Latvia,LVA,EU,9
Slovakia,SVK,EU,9
Luxembourg,LUX,EU,8
Rwanda,RWA,Non-EU,7
Cameroon,CMR,Non-EU,6
North Macedonia,MKD,Non-EU,6
United Arab Emirates,ARE,Non-EU,6
Burkina Faso,BFA,Non-EU,6
Guyana,GUY,Non-EU,6
Venezuela,VEN,Non-EU,5
Eswatini,SWZ,Non-EU,5
Belize,BLZ,Non-EU,5
Lebanon,LBN,Non-EU,4
Liechtenstein,LIE,Non-EU,4
Moldova,MDA,Non-EU,4
Estonia,EST,EU,4
Fiji,FJI,Non-EU,4
Bolivia,BOL,Non-EU,3
Mali,MLI,Non-EU,3
San Marino,SMR,Non-EU,3
Bermuda,BMU,Non-EU,3
Papua New Guinea,PNG,Non-EU,3
Russia,RUS,Non-EU,3
Iran,IRN,Non-EU,3
Malta,MLT,EU,2
Uganda,UGA,Non-EU,2
Georgia,GEO,Non-EU,2
Oman,OMN,Non-EU,2
Paraguay,PRY,Non-EU,1
Cambodia,KHM,Non-EU,1
St. Lucia,LCA,Non-EU,1
Martinique,MTQ,Non-EU,1
Guinea,GIN,Non-EU,1
El Salvador,SLV,Non-EU,1
Palestine,PSE,Non-EU,1
